"","reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
"1",2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.01,-9.6485723712831
"2",2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.025,5.16179528405379
"3",2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.05,17.3693986824737
"4",2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.1,32.5609230539989
"5",2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.15,42.5676366534821
"6",2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.2,50.332891930826
"7",2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.25,57.1350875382309
"8",2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.3,63.4216309441271
"9",2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.35,68.9318555203312
"10",2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.4,74.2408116528666
"11",2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.45,79.3889669512231
"12",2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.5,84.5728898878537
"13",2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.55,89.6672829898364
"14",2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.6,94.8054230511288
"15",2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.65,100.173036026378
"16",2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.7,105.668648862437
"17",2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.75,111.630633060239
"18",2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.8,118.198526353731
"19",2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.85,126.420741574679
"20",2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.9,136.272253780688
"21",2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.95,150.799372627674
"22",2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.975,163.038415217383
"23",2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.99,178.07225789131
"24",2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.01,-48.1064666000527
"25",2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.025,-27.8334657168765
"26",2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.05,-9.13853134141511
"27",2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.1,10.9543392138709
"28",2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.15,25.0393766701787
"29",2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.2,36.3768069534654
"30",2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.25,45.9700870549358
"31",2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.3,54.2973550581128
"32",2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.35,62.0679798766864
"33",2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.4,69.584782979336
"34",2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.45,76.9898336660383
"35",2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.5,84.1878177525993
"36",2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.55,91.41993707272
"37",2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.6,98.8362747858781
"38",2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.65,106.495533438787
"39",2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.7,114.635524624039
"40",2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.75,123.197108872963
"41",2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.8,132.592552884696
"42",2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.85,143.616743768206
"43",2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.9,157.648562845708
"44",2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.95,178.795863616672
"45",2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.975,197.063388550173
"46",2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.99,218.197185264438
"47",2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.01,-80.668350507567
"48",2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.025,-54.9980212075242
"49",2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.05,-32.5143952745899
"50",2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.1,-7.03303639824969
"51",2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.15,9.87410309420769
"52",2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.2,24.2014314466084
"53",2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.25,35.9703002405689
"54",2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.3,46.4668865049997
"55",2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.35,56.0627124385557
"56",2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.4,65.2044941244204
"57",2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.45,74.4103524954765
"58",2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.5,83.0722062434011
"59",2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.55,92.2846578983573
"60",2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.6,101.344481723121
"61",2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.65,110.572944569076
"62",2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.7,120.524261417344
"63",2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.75,130.877637712463
"64",2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.8,143.05259253807
"65",2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.85,156.491223282617
"66",2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.9,173.853201799234
"67",2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.95,198.678082373412
"68",2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.975,221.289313149831
"69",2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.99,247.789520127464
"70",2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.01,-102.983854163974
"71",2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.025,-74.1315429856283
"72",2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.05,-49.0975182141961
"73",2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.1,-19.8532145773796
"74",2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.15,0.0675818221416387
"75",2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.2,15.8878575575051
"76",2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.25,29.4136403034281
"77",2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.3,41.6970377939169
"78",2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.35,53.0399708055331
"79",2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.4,63.9940356414144
"80",2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.45,74.1690574942096
"81",2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.5,84.5636762757176
"82",2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.55,94.8001752232303
"83",2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.6,104.80346287293
"84",2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.65,115.35641184143
"85",2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.7,126.544431784573
"86",2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.75,138.61267718081
"87",2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.8,152.552603999137
"88",2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.85,168.542601784975
"89",2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.9,188.231056365849
"90",2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.95,218.895839141442
"91",2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.975,244.23055564365
"92",2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.99,272.861794421163
"93",2023-12-09,0,"wk inc flu hosp",2023-12-09,"02","quantile",0.01,-9.54196607635525
"94",2023-12-09,0,"wk inc flu hosp",2023-12-09,"02","quantile",0.025,-6.79839557688464
"95",2023-12-09,0,"wk inc flu hosp",2023-12-09,"02","quantile",0.05,-4.60574342485995
"96",2023-12-09,0,"wk inc flu hosp",2023-12-09,"02","quantile",0.1,-2.01536961412787
"97",2023-12-09,0,"wk inc flu hosp",2023-12-09,"02","quantile",0.15,-0.18962937037634
"98",2023-12-09,0,"wk inc flu hosp",2023-12-09,"02","quantile",0.2,1.24427811480309
"99",2023-12-09,0,"wk inc flu hosp",2023-12-09,"02","quantile",0.25,2.47660647971607
"100",2023-12-09,0,"wk inc flu hosp",2023-12-09,"02","quantile",0.3,3.60009504529878
"101",2023-12-09,0,"wk inc flu hosp",2023-12-09,"02","quantile",0.35,4.63091293665754
"102",2023-12-09,0,"wk inc flu hosp",2023-12-09,"02","quantile",0.4,5.61573683874136
"103",2023-12-09,0,"wk inc flu hosp",2023-12-09,"02","quantile",0.45,6.57626610199418
"104",2023-12-09,0,"wk inc flu hosp",2023-12-09,"02","quantile",0.5,7.48844292754362
"105",2023-12-09,0,"wk inc flu hosp",2023-12-09,"02","quantile",0.55,8.40274849176943
"106",2023-12-09,0,"wk inc flu hosp",2023-12-09,"02","quantile",0.6,9.32348650144522
"107",2023-12-09,0,"wk inc flu hosp",2023-12-09,"02","quantile",0.65,10.2730688038452
"108",2023-12-09,0,"wk inc flu hosp",2023-12-09,"02","quantile",0.7,11.3011507066355
"109",2023-12-09,0,"wk inc flu hosp",2023-12-09,"02","quantile",0.75,12.4177963121194
"110",2023-12-09,0,"wk inc flu hosp",2023-12-09,"02","quantile",0.8,13.6815071905181
"111",2023-12-09,0,"wk inc flu hosp",2023-12-09,"02","quantile",0.85,15.1269154499826
