"","reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
"1",2024-04-06,0,"wk inc flu hosp",2024-04-06,"01","quantile",0.01,19.7385714363594
"2",2024-04-06,0,"wk inc flu hosp",2024-04-06,"01","quantile",0.025,23.6248303514193
"3",2024-04-06,0,"wk inc flu hosp",2024-04-06,"01","quantile",0.05,27.4484080400136
"4",2024-04-06,0,"wk inc flu hosp",2024-04-06,"01","quantile",0.1,32.4525362160477
"5",2024-04-06,0,"wk inc flu hosp",2024-04-06,"01","quantile",0.15,36.4711257102218
"6",2024-04-06,0,"wk inc flu hosp",2024-04-06,"01","quantile",0.2,40.0552312962142
"7",2024-04-06,0,"wk inc flu hosp",2024-04-06,"01","quantile",0.25,43.4368904363092
"8",2024-04-06,0,"wk inc flu hosp",2024-04-06,"01","quantile",0.3,46.4949657534934
"9",2024-04-06,0,"wk inc flu hosp",2024-04-06,"01","quantile",0.35,49.6427927390709
"10",2024-04-06,0,"wk inc flu hosp",2024-04-06,"01","quantile",0.4,52.7913907582689
"11",2024-04-06,0,"wk inc flu hosp",2024-04-06,"01","quantile",0.45,55.9880090472085
"12",2024-04-06,0,"wk inc flu hosp",2024-04-06,"01","quantile",0.5,59.3470385420029
"13",2024-04-06,0,"wk inc flu hosp",2024-04-06,"01","quantile",0.55,62.8593768533598
"14",2024-04-06,0,"wk inc flu hosp",2024-04-06,"01","quantile",0.6,66.6867581469762
"15",2024-04-06,0,"wk inc flu hosp",2024-04-06,"01","quantile",0.65,70.8621513414365
"16",2024-04-06,0,"wk inc flu hosp",2024-04-06,"01","quantile",0.7,75.6499207467312
"17",2024-04-06,0,"wk inc flu hosp",2024-04-06,"01","quantile",0.75,81.3869757838883
"18",2024-04-06,0,"wk inc flu hosp",2024-04-06,"01","quantile",0.8,88.1380398258572
"19",2024-04-06,0,"wk inc flu hosp",2024-04-06,"01","quantile",0.85,96.577364987996
"20",2024-04-06,0,"wk inc flu hosp",2024-04-06,"01","quantile",0.9,108.50710360854
"21",2024-04-06,0,"wk inc flu hosp",2024-04-06,"01","quantile",0.95,127.909804016426
"22",2024-04-06,0,"wk inc flu hosp",2024-04-06,"01","quantile",0.975,147.684066887233
"23",2024-04-06,0,"wk inc flu hosp",2024-04-06,"01","quantile",0.99,176.492540406089
