"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"01","quantile",0.01,0
2024-03-23,0,"wk inc flu hosp",2024-03-23,"01","quantile",0.01,0
2024-03-23,1,"wk inc flu hosp",2024-03-30,"01","quantile",0.01,0
2024-03-23,2,"wk inc flu hosp",2024-04-06,"01","quantile",0.01,0
2024-03-23,3,"wk inc flu hosp",2024-04-13,"01","quantile",0.01,0
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"01","quantile",0.025,4.09497855001683
2024-03-23,0,"wk inc flu hosp",2024-03-23,"01","quantile",0.025,2.49951299755188
2024-03-23,1,"wk inc flu hosp",2024-03-30,"01","quantile",0.025,0
2024-03-23,2,"wk inc flu hosp",2024-04-06,"01","quantile",0.025,0
2024-03-23,3,"wk inc flu hosp",2024-04-13,"01","quantile",0.025,0
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"01","quantile",0.05,14.5405775680268
2024-03-23,0,"wk inc flu hosp",2024-03-23,"01","quantile",0.05,12.7800285019099
2024-03-23,1,"wk inc flu hosp",2024-03-30,"01","quantile",0.05,0
2024-03-23,2,"wk inc flu hosp",2024-04-06,"01","quantile",0.05,0
2024-03-23,3,"wk inc flu hosp",2024-04-13,"01","quantile",0.05,0
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"01","quantile",0.1,25.9550615845506
2024-03-23,0,"wk inc flu hosp",2024-03-23,"01","quantile",0.1,23.9833058374837
2024-03-23,1,"wk inc flu hosp",2024-03-30,"01","quantile",0.1,10.4072393538802
2024-03-23,2,"wk inc flu hosp",2024-04-06,"01","quantile",0.1,2.73022374274746
2024-03-23,3,"wk inc flu hosp",2024-04-13,"01","quantile",0.1,0
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"01","quantile",0.15,33.463823035985
2024-03-23,0,"wk inc flu hosp",2024-03-23,"01","quantile",0.15,31.1976696791365
2024-03-23,1,"wk inc flu hosp",2024-03-30,"01","quantile",0.15,19.7211866821042
2024-03-23,2,"wk inc flu hosp",2024-04-06,"01","quantile",0.15,12.7146854807253
2024-03-23,3,"wk inc flu hosp",2024-04-13,"01","quantile",0.15,9.13738288498711
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"01","quantile",0.2,39.3624073250448
2024-03-23,0,"wk inc flu hosp",2024-03-23,"01","quantile",0.2,37.1151988765587
2024-03-23,1,"wk inc flu hosp",2024-03-30,"01","quantile",0.2,27.052826525288
2024-03-23,2,"wk inc flu hosp",2024-04-06,"01","quantile",0.2,20.2739774196367
2024-03-23,3,"wk inc flu hosp",2024-04-13,"01","quantile",0.2,17.4639188343421
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"01","quantile",0.25,44.3518033236081
2024-03-23,0,"wk inc flu hosp",2024-03-23,"01","quantile",0.25,42.0819132797462
2024-03-23,1,"wk inc flu hosp",2024-03-30,"01","quantile",0.25,33.3401236982856
2024-03-23,2,"wk inc flu hosp",2024-04-06,"01","quantile",0.25,27.1616663334681
2024-03-23,3,"wk inc flu hosp",2024-04-13,"01","quantile",0.25,24.3995221796807
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"01","quantile",0.3,48.8517299469959
2024-03-23,0,"wk inc flu hosp",2024-03-23,"01","quantile",0.3,46.6197137887746
2024-03-23,1,"wk inc flu hosp",2024-03-30,"01","quantile",0.3,38.9984484975837
2024-03-23,2,"wk inc flu hosp",2024-04-06,"01","quantile",0.3,33.3706948031787
2024-03-23,3,"wk inc flu hosp",2024-04-13,"01","quantile",0.3,30.5839294175336
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"01","quantile",0.35,52.9681024909406
2024-03-23,0,"wk inc flu hosp",2024-03-23,"01","quantile",0.35,50.8697478767172
2024-03-23,1,"wk inc flu hosp",2024-03-30,"01","quantile",0.35,44.1095390727881
2024-03-23,2,"wk inc flu hosp",2024-04-06,"01","quantile",0.35,38.9775837747914
2024-03-23,3,"wk inc flu hosp",2024-04-13,"01","quantile",0.35,36.5120023659005
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"01","quantile",0.4,57.0388805759336
2024-03-23,0,"wk inc flu hosp",2024-03-23,"01","quantile",0.4,54.8124391037716
2024-03-23,1,"wk inc flu hosp",2024-03-30,"01","quantile",0.4,49.0074596200233
2024-03-23,2,"wk inc flu hosp",2024-04-06,"01","quantile",0.4,44.2488804125531
2024-03-23,3,"wk inc flu hosp",2024-04-13,"01","quantile",0.4,42.1998584530713
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"01","quantile",0.45,60.8892418904762
2024-03-23,0,"wk inc flu hosp",2024-03-23,"01","quantile",0.45,58.657568503509
2024-03-23,1,"wk inc flu hosp",2024-03-30,"01","quantile",0.45,53.7557727286298
2024-03-23,2,"wk inc flu hosp",2024-04-06,"01","quantile",0.45,49.3528043289999
2024-03-23,3,"wk inc flu hosp",2024-04-13,"01","quantile",0.45,47.7784982026448
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"01","quantile",0.5,64.5945460014357
2024-03-23,0,"wk inc flu hosp",2024-03-23,"01","quantile",0.5,62.5264386668937
2024-03-23,1,"wk inc flu hosp",2024-03-30,"01","quantile",0.5,58.3556717671263
2024-03-23,2,"wk inc flu hosp",2024-04-06,"01","quantile",0.5,54.5578070636492
2024-03-23,3,"wk inc flu hosp",2024-04-13,"01","quantile",0.5,53.1328608395038
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"01","quantile",0.55,68.3300167853771
2024-03-23,0,"wk inc flu hosp",2024-03-23,"01","quantile",0.55,66.291969778903
2024-03-23,1,"wk inc flu hosp",2024-03-30,"01","quantile",0.55,63.0423966971951
2024-03-23,2,"wk inc flu hosp",2024-04-06,"01","quantile",0.55,59.6549666367888
2024-03-23,3,"wk inc flu hosp",2024-04-13,"01","quantile",0.55,58.4231143126226
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"01","quantile",0.6,72.0243542032827
2024-03-23,0,"wk inc flu hosp",2024-03-23,"01","quantile",0.6,70.1823824266603
2024-03-23,1,"wk inc flu hosp",2024-03-30,"01","quantile",0.6,67.6374304914809
2024-03-23,2,"wk inc flu hosp",2024-04-06,"01","quantile",0.6,64.9343323056344
2024-03-23,3,"wk inc flu hosp",2024-04-13,"01","quantile",0.6,63.7792368083776
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"01","quantile",0.65,76.0370145698075
2024-03-23,0,"wk inc flu hosp",2024-03-23,"01","quantile",0.65,74.2332865629784
2024-03-23,1,"wk inc flu hosp",2024-03-30,"01","quantile",0.65,72.6575678777345
2024-03-23,2,"wk inc flu hosp",2024-04-06,"01","quantile",0.65,70.4393703185741
2024-03-23,3,"wk inc flu hosp",2024-04-13,"01","quantile",0.65,69.6689722354177
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"01","quantile",0.7,80.2328426358551
2024-03-23,0,"wk inc flu hosp",2024-03-23,"01","quantile",0.7,78.309358865511
2024-03-23,1,"wk inc flu hosp",2024-03-30,"01","quantile",0.7,78.200201874073
2024-03-23,2,"wk inc flu hosp",2024-04-06,"01","quantile",0.7,76.2707873249626
2024-03-23,3,"wk inc flu hosp",2024-04-13,"01","quantile",0.7,75.6728801696022
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"01","quantile",0.75,84.8042011442602
2024-03-23,0,"wk inc flu hosp",2024-03-23,"01","quantile",0.75,82.8672785652052
2024-03-23,1,"wk inc flu hosp",2024-03-30,"01","quantile",0.75,83.8858454225297
2024-03-23,2,"wk inc flu hosp",2024-04-06,"01","quantile",0.75,82.6345070314815
2024-03-23,3,"wk inc flu hosp",2024-04-13,"01","quantile",0.75,82.5915332303444
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"01","quantile",0.8,89.8757663365532
2024-03-23,0,"wk inc flu hosp",2024-03-23,"01","quantile",0.8,87.9605883451221
2024-03-23,1,"wk inc flu hosp",2024-03-30,"01","quantile",0.8,90.6619185816136
2024-03-23,2,"wk inc flu hosp",2024-04-06,"01","quantile",0.8,89.5830172964765
2024-03-23,3,"wk inc flu hosp",2024-04-13,"01","quantile",0.8,90.2716202955646
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"01","quantile",0.85,95.7851440961276
2024-03-23,0,"wk inc flu hosp",2024-03-23,"01","quantile",0.85,93.8520479040337
2024-03-23,1,"wk inc flu hosp",2024-03-30,"01","quantile",0.85,98.2512900150649
2024-03-23,2,"wk inc flu hosp",2024-04-06,"01","quantile",0.85,98.2846225060555
2024-03-23,3,"wk inc flu hosp",2024-04-13,"01","quantile",0.85,99.3039240078724
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"01","quantile",0.9,103.295256176192
2024-03-23,0,"wk inc flu hosp",2024-03-23,"01","quantile",0.9,101.693082936991
2024-03-23,1,"wk inc flu hosp",2024-03-30,"01","quantile",0.9,107.625050478655
2024-03-23,2,"wk inc flu hosp",2024-04-06,"01","quantile",0.9,109.398575419527
2024-03-23,3,"wk inc flu hosp",2024-04-13,"01","quantile",0.9,110.742573714911
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"01","quantile",0.95,114.90797753323
2024-03-23,0,"wk inc flu hosp",2024-03-23,"01","quantile",0.95,113.51962534108
2024-03-23,1,"wk inc flu hosp",2024-03-30,"01","quantile",0.95,122.315759409884
2024-03-23,2,"wk inc flu hosp",2024-04-06,"01","quantile",0.95,125.940440837555
2024-03-23,3,"wk inc flu hosp",2024-04-13,"01","quantile",0.95,128.493850502107
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"01","quantile",0.975,124.355526739264
2024-03-23,0,"wk inc flu hosp",2024-03-23,"01","quantile",0.975,123.844915965172
2024-03-23,1,"wk inc flu hosp",2024-03-30,"01","quantile",0.975,135.640467417382
2024-03-23,2,"wk inc flu hosp",2024-04-06,"01","quantile",0.975,140.049401498595
2024-03-23,3,"wk inc flu hosp",2024-04-13,"01","quantile",0.975,145.074819771765
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"01","quantile",0.99,137.836860163041
2024-03-23,0,"wk inc flu hosp",2024-03-23,"01","quantile",0.99,135.850134277545
2024-03-23,1,"wk inc flu hosp",2024-03-30,"01","quantile",0.99,151.209641216281
2024-03-23,2,"wk inc flu hosp",2024-04-06,"01","quantile",0.99,159.708128532172
2024-03-23,3,"wk inc flu hosp",2024-04-13,"01","quantile",0.99,163.641173207077
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"02","quantile",0.01,0
2024-03-23,0,"wk inc flu hosp",2024-03-23,"02","quantile",0.01,0
2024-03-23,1,"wk inc flu hosp",2024-03-30,"02","quantile",0.01,0
2024-03-23,2,"wk inc flu hosp",2024-04-06,"02","quantile",0.01,0
2024-03-23,3,"wk inc flu hosp",2024-04-13,"02","quantile",0.01,0
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"02","quantile",0.025,0
2024-03-23,0,"wk inc flu hosp",2024-03-23,"02","quantile",0.025,0
2024-03-23,1,"wk inc flu hosp",2024-03-30,"02","quantile",0.025,0
2024-03-23,2,"wk inc flu hosp",2024-04-06,"02","quantile",0.025,0
2024-03-23,3,"wk inc flu hosp",2024-04-13,"02","quantile",0.025,0
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"02","quantile",0.05,0
2024-03-23,0,"wk inc flu hosp",2024-03-23,"02","quantile",0.05,0
2024-03-23,1,"wk inc flu hosp",2024-03-30,"02","quantile",0.05,0
2024-03-23,2,"wk inc flu hosp",2024-04-06,"02","quantile",0.05,0
2024-03-23,3,"wk inc flu hosp",2024-04-13,"02","quantile",0.05,0
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"02","quantile",0.1,2.13306904032094
2024-03-23,0,"wk inc flu hosp",2024-03-23,"02","quantile",0.1,1.99313882306244
2024-03-23,1,"wk inc flu hosp",2024-03-30,"02","quantile",0.1,0.26407297390226
2024-03-23,2,"wk inc flu hosp",2024-04-06,"02","quantile",0.1,0
2024-03-23,3,"wk inc flu hosp",2024-04-13,"02","quantile",0.1,0
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"02","quantile",0.15,3.61343918334342
2024-03-23,0,"wk inc flu hosp",2024-03-23,"02","quantile",0.15,3.50512430078416
2024-03-23,1,"wk inc flu hosp",2024-03-30,"02","quantile",0.15,2.2162525738681
2024-03-23,2,"wk inc flu hosp",2024-04-06,"02","quantile",0.15,1.40364303585364
2024-03-23,3,"wk inc flu hosp",2024-04-13,"02","quantile",0.15,1.01704123402943
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"02","quantile",0.2,4.80560681822431
2024-03-23,0,"wk inc flu hosp",2024-03-23,"02","quantile",0.2,4.71751381763772
