"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2023-11-11,-1,"wk inc flu hosp",2023-11-04,"Alabama","quantile",0.01,0
2023-11-11,0,"wk inc flu hosp",2023-11-11,"Alabama","quantile",0.01,0
2023-11-11,1,"wk inc flu hosp",2023-11-18,"Alabama","quantile",0.01,0
2023-11-11,2,"wk inc flu hosp",2023-11-25,"Alabama","quantile",0.01,0
2023-11-11,3,"wk inc flu hosp",2023-12-02,"Alabama","quantile",0.01,0
2023-11-11,-1,"wk inc flu hosp",2023-11-04,"Alabama","quantile",0.025,7.21880675
2023-11-11,0,"wk inc flu hosp",2023-11-11,"Alabama","quantile",0.025,14.1955125
2023-11-11,1,"wk inc flu hosp",2023-11-18,"Alabama","quantile",0.025,4.7104525
2023-11-11,2,"wk inc flu hosp",2023-11-25,"Alabama","quantile",0.025,0
2023-11-11,3,"wk inc flu hosp",2023-12-02,"Alabama","quantile",0.025,0
2023-11-11,-1,"wk inc flu hosp",2023-11-04,"Alabama","quantile",0.05,19.89012
2023-11-11,0,"wk inc flu hosp",2023-11-11,"Alabama","quantile",0.05,27.029195
2023-11-11,1,"wk inc flu hosp",2023-11-18,"Alabama","quantile",0.05,18.669915
2023-11-11,2,"wk inc flu hosp",2023-11-25,"Alabama","quantile",0.05,11.88444
2023-11-11,3,"wk inc flu hosp",2023-12-02,"Alabama","quantile",0.05,10.87331
2023-11-11,-1,"wk inc flu hosp",2023-11-04,"Alabama","quantile",0.1,33.56377
2023-11-11,0,"wk inc flu hosp",2023-11-11,"Alabama","quantile",0.1,41.35089
2023-11-11,1,"wk inc flu hosp",2023-11-18,"Alabama","quantile",0.1,34.08323
2023-11-11,2,"wk inc flu hosp",2023-11-25,"Alabama","quantile",0.1,28.1756
2023-11-11,3,"wk inc flu hosp",2023-12-02,"Alabama","quantile",0.1,28.40126
2023-11-11,-1,"wk inc flu hosp",2023-11-04,"Alabama","quantile",0.15,42.778515
2023-11-11,0,"wk inc flu hosp",2023-11-11,"Alabama","quantile",0.15,51.20207
2023-11-11,1,"wk inc flu hosp",2023-11-18,"Alabama","quantile",0.15,44.604305
2023-11-11,2,"wk inc flu hosp",2023-11-25,"Alabama","quantile",0.15,39.309255
2023-11-11,3,"wk inc flu hosp",2023-12-02,"Alabama","quantile",0.15,40.461405
2023-11-11,-1,"wk inc flu hosp",2023-11-04,"Alabama","quantile",0.2,50.01476
2023-11-11,0,"wk inc flu hosp",2023-11-11,"Alabama","quantile",0.2,58.91556
2023-11-11,1,"wk inc flu hosp",2023-11-18,"Alabama","quantile",0.2,53.1891
2023-11-11,2,"wk inc flu hosp",2023-11-25,"Alabama","quantile",0.2,48.23202
2023-11-11,3,"wk inc flu hosp",2023-12-02,"Alabama","quantile",0.2,49.83148
2023-11-11,-1,"wk inc flu hosp",2023-11-04,"Alabama","quantile",0.25,56.006875
2023-11-11,0,"wk inc flu hosp",2023-11-11,"Alabama","quantile",0.25,65.5264
2023-11-11,1,"wk inc flu hosp",2023-11-18,"Alabama","quantile",0.25,60.47475
2023-11-11,2,"wk inc flu hosp",2023-11-25,"Alabama","quantile",0.25,56.03865
2023-11-11,3,"wk inc flu hosp",2023-12-02,"Alabama","quantile",0.25,58.4797
2023-11-11,-1,"wk inc flu hosp",2023-11-04,"Alabama","quantile",0.3,61.63673
2023-11-11,0,"wk inc flu hosp",2023-11-11,"Alabama","quantile",0.3,71.66607
2023-11-11,1,"wk inc flu hosp",2023-11-18,"Alabama","quantile",0.3,66.81696
2023-11-11,2,"wk inc flu hosp",2023-11-25,"Alabama","quantile",0.3,62.95893
2023-11-11,3,"wk inc flu hosp",2023-12-02,"Alabama","quantile",0.3,66.14107
2023-11-11,-1,"wk inc flu hosp",2023-11-04,"Alabama","quantile",0.35,66.797355
2023-11-11,0,"wk inc flu hosp",2023-11-11,"Alabama","quantile",0.35,77.254115
2023-11-11,1,"wk inc flu hosp",2023-11-18,"Alabama","quantile",0.35,72.884565
2023-11-11,2,"wk inc flu hosp",2023-11-25,"Alabama","quantile",0.35,69.457785
2023-11-11,3,"wk inc flu hosp",2023-12-02,"Alabama","quantile",0.35,73.27876
2023-11-11,-1,"wk inc flu hosp",2023-11-04,"Alabama","quantile",0.4,71.69194
2023-11-11,0,"wk inc flu hosp",2023-11-11,"Alabama","quantile",0.4,82.49048
2023-11-11,1,"wk inc flu hosp",2023-11-18,"Alabama","quantile",0.4,78.54276
2023-11-11,2,"wk inc flu hosp",2023-11-25,"Alabama","quantile",0.4,75.70398
2023-11-11,3,"wk inc flu hosp",2023-12-02,"Alabama","quantile",0.4,80.25462
2023-11-11,-1,"wk inc flu hosp",2023-11-04,"Alabama","quantile",0.45,76.43504
2023-11-11,0,"wk inc flu hosp",2023-11-11,"Alabama","quantile",0.45,87.704465
2023-11-11,1,"wk inc flu hosp",2023-11-18,"Alabama","quantile",0.45,83.96953
2023-11-11,2,"wk inc flu hosp",2023-11-25,"Alabama","quantile",0.45,81.973525
2023-11-11,3,"wk inc flu hosp",2023-12-02,"Alabama","quantile",0.45,87.233365
2023-11-11,-1,"wk inc flu hosp",2023-11-04,"Alabama","quantile",0.5,80.97715
2023-11-11,0,"wk inc flu hosp",2023-11-11,"Alabama","quantile",0.5,92.57835
2023-11-11,1,"wk inc flu hosp",2023-11-18,"Alabama","quantile",0.5,89.6702
2023-11-11,2,"wk inc flu hosp",2023-11-25,"Alabama","quantile",0.5,88.2386
2023-11-11,3,"wk inc flu hosp",2023-12-02,"Alabama","quantile",0.5,94.6262
2023-11-11,-1,"wk inc flu hosp",2023-11-04,"Alabama","quantile",0.55,85.546715
2023-11-11,0,"wk inc flu hosp",2023-11-11,"Alabama","quantile",0.55,97.75954
2023-11-11,1,"wk inc flu hosp",2023-11-18,"Alabama","quantile",0.55,95.640085
2023-11-11,2,"wk inc flu hosp",2023-11-25,"Alabama","quantile",0.55,94.50109
2023-11-11,3,"wk inc flu hosp",2023-12-02,"Alabama","quantile",0.55,101.71735
2023-11-11,-1,"wk inc flu hosp",2023-11-04,"Alabama","quantile",0.6,90.09758
2023-11-11,0,"wk inc flu hosp",2023-11-11,"Alabama","quantile",0.6,102.7992
2023-11-11,1,"wk inc flu hosp",2023-11-18,"Alabama","quantile",0.6,101.3294
2023-11-11,2,"wk inc flu hosp",2023-11-25,"Alabama","quantile",0.6,101.16
2023-11-11,3,"wk inc flu hosp",2023-12-02,"Alabama","quantile",0.6,109.2944
2023-11-11,-1,"wk inc flu hosp",2023-11-04,"Alabama","quantile",0.65,94.98007
2023-11-11,0,"wk inc flu hosp",2023-11-11,"Alabama","quantile",0.65,108.15015
2023-11-11,1,"wk inc flu hosp",2023-11-18,"Alabama","quantile",0.65,107.1007
2023-11-11,2,"wk inc flu hosp",2023-11-25,"Alabama","quantile",0.65,107.826
2023-11-11,3,"wk inc flu hosp",2023-12-02,"Alabama","quantile",0.65,117.07385
2023-11-11,-1,"wk inc flu hosp",2023-11-04,"Alabama","quantile",0.7,100.0846
2023-11-11,0,"wk inc flu hosp",2023-11-11,"Alabama","quantile",0.7,113.894
2023-11-11,1,"wk inc flu hosp",2023-11-18,"Alabama","quantile",0.7,113.5283
2023-11-11,2,"wk inc flu hosp",2023-11-25,"Alabama","quantile",0.7,115.2053
2023-11-11,3,"wk inc flu hosp",2023-12-02,"Alabama","quantile",0.7,125.9332
2023-11-11,-1,"wk inc flu hosp",2023-11-04,"Alabama","quantile",0.75,105.756
2023-11-11,0,"wk inc flu hosp",2023-11-11,"Alabama","quantile",0.75,119.984
2023-11-11,1,"wk inc flu hosp",2023-11-18,"Alabama","quantile",0.75,120.65375
2023-11-11,2,"wk inc flu hosp",2023-11-25,"Alabama","quantile",0.75,123.34325
2023-11-11,3,"wk inc flu hosp",2023-12-02,"Alabama","quantile",0.75,136.205
2023-11-11,-1,"wk inc flu hosp",2023-11-04,"Alabama","quantile",0.8,112.1328
2023-11-11,0,"wk inc flu hosp",2023-11-11,"Alabama","quantile",0.8,127.0538
2023-11-11,1,"wk inc flu hosp",2023-11-18,"Alabama","quantile",0.8,128.515
2023-11-11,2,"wk inc flu hosp",2023-11-25,"Alabama","quantile",0.8,132.7096
2023-11-11,3,"wk inc flu hosp",2023-12-02,"Alabama","quantile",0.8,148.317
2023-11-11,-1,"wk inc flu hosp",2023-11-04,"Alabama","quantile",0.85,119.07575
2023-11-11,0,"wk inc flu hosp",2023-11-11,"Alabama","quantile",0.85,135.22075
2023-11-11,1,"wk inc flu hosp",2023-11-18,"Alabama","quantile",0.85,137.61275
2023-11-11,2,"wk inc flu hosp",2023-11-25,"Alabama","quantile",0.85,144.53345
2023-11-11,3,"wk inc flu hosp",2023-12-02,"Alabama","quantile",0.85,163.96115
2023-11-11,-1,"wk inc flu hosp",2023-11-04,"Alabama","quantile",0.9,128.2981
2023-11-11,0,"wk inc flu hosp",2023-11-11,"Alabama","quantile",0.9,145.6711
2023-11-11,1,"wk inc flu hosp",2023-11-18,"Alabama","quantile",0.9,150.0064
2023-11-11,2,"wk inc flu hosp",2023-11-25,"Alabama","quantile",0.9,159.8428
2023-11-11,3,"wk inc flu hosp",2023-12-02,"Alabama","quantile",0.9,186.2909
2023-11-11,-1,"wk inc flu hosp",2023-11-04,"Alabama","quantile",0.95,142.25015
2023-11-11,0,"wk inc flu hosp",2023-11-11,"Alabama","quantile",0.95,161.1574
2023-11-11,1,"wk inc flu hosp",2023-11-18,"Alabama","quantile",0.95,169.43405
2023-11-11,2,"wk inc flu hosp",2023-11-25,"Alabama","quantile",0.95,188.48415
2023-11-11,3,"wk inc flu hosp",2023-12-02,"Alabama","quantile",0.95,228.4873
2023-11-11,-1,"wk inc flu hosp",2023-11-04,"Alabama","quantile",0.975,154.7617
2023-11-11,0,"wk inc flu hosp",2023-11-11,"Alabama","quantile",0.975,174.629625
2023-11-11,1,"wk inc flu hosp",2023-11-18,"Alabama","quantile",0.975,188.676075
2023-11-11,2,"wk inc flu hosp",2023-11-25,"Alabama","quantile",0.975,218.99425
2023-11-11,3,"wk inc flu hosp",2023-12-02,"Alabama","quantile",0.975,280.08705
2023-11-11,-1,"wk inc flu hosp",2023-11-04,"Alabama","quantile",0.99,168.57405
2023-11-11,0,"wk inc flu hosp",2023-11-11,"Alabama","quantile",0.99,191.84242
2023-11-11,1,"wk inc flu hosp",2023-11-18,"Alabama","quantile",0.99,216.0274
2023-11-11,2,"wk inc flu hosp",2023-11-25,"Alabama","quantile",0.99,268.32015
2023-11-11,3,"wk inc flu hosp",2023-12-02,"Alabama","quantile",0.99,379.2095
2023-11-11,-1,"wk inc flu hosp",2023-11-04,"Alaska","quantile",0.01,18.860011
2023-11-11,0,"wk inc flu hosp",2023-11-11,"Alaska","quantile",0.01,20.751772
2023-11-11,1,"wk inc flu hosp",2023-11-18,"Alaska","quantile",0.01,21.133418
2023-11-11,2,"wk inc flu hosp",2023-11-25,"Alaska","quantile",0.01,20.089456
2023-11-11,3,"wk inc flu hosp",2023-12-02,"Alaska","quantile",0.01,18.065893
2023-11-11,-1,"wk inc flu hosp",2023-11-04,"Alaska","quantile",0.025,25.96789
2023-11-11,0,"wk inc flu hosp",2023-11-11,"Alaska","quantile",0.025,27.4636775
2023-11-11,1,"wk inc flu hosp",2023-11-18,"Alaska","quantile",0.025,28.1784275
2023-11-11,2,"wk inc flu hosp",2023-11-25,"Alaska","quantile",0.025,27.9643875
2023-11-11,3,"wk inc flu hosp",2023-12-02,"Alaska","quantile",0.025,26.69819
2023-11-11,-1,"wk inc flu hosp",2023-11-04,"Alaska","quantile",0.05,31.24883
