"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2023-12-09,-1,"wk inc flu hosp",2023-12-02,"01","quantile",0.01,19.5357521478081
2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.01,21.2117196822798
2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.01,13.9524777991159
2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.01,11.3995609812828
2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.01,8.85596076225221
2023-12-09,-1,"wk inc flu hosp",2023-12-02,"01","quantile",0.025,24.7816495735125
2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.025,27.0178746033755
2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.025,19.4453263325437
2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.025,15.9566293411199
2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.025,13.0206093409367
2023-12-09,-1,"wk inc flu hosp",2023-12-02,"01","quantile",0.05,30.0427118401571
2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.05,33.1252951107811
2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.05,25.5459352074571
2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.05,22.4186511469193
2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.05,18.5943721434124
2023-12-09,-1,"wk inc flu hosp",2023-12-02,"01","quantile",0.1,37.8666069606626
2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.1,41.9181418822037
2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.1,35.454502864984
2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.1,32.8545852904109
2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.1,28.5823117602003
2023-12-09,-1,"wk inc flu hosp",2023-12-02,"01","quantile",0.15,44.4364712547647
2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.15,48.9055092296255
2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.15,44.1281933436384
2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.15,43.1111414993373
2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.15,38.2264390079858
2023-12-09,-1,"wk inc flu hosp",2023-12-02,"01","quantile",0.2,50.0804489359235
2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.2,55.4998538184745
2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.2,52.8608383765608
2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.2,53.4465048000129
2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.2,49.0329778735299
2023-12-09,-1,"wk inc flu hosp",2023-12-02,"01","quantile",0.25,55.7392269435346
2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.25,61.7028685386746
2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.25,61.7827852424101
2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.25,64.8439347194166
2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.25,60.448535789133
2023-12-09,-1,"wk inc flu hosp",2023-12-02,"01","quantile",0.3,61.179154750964
2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.3,67.9329656618816
2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.3,71.3203129756511
2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.3,77.2650748684884
2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.3,73.2896875159855
2023-12-09,-1,"wk inc flu hosp",2023-12-02,"01","quantile",0.35,66.7548477004335
2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.35,74.3311496003187
2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.35,81.6349597321052
2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.35,90.8764334772234
2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.35,88.3060430975607
2023-12-09,-1,"wk inc flu hosp",2023-12-02,"01","quantile",0.4,72.304500981501
2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.4,80.9865166443648
2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.4,92.6599851468046
2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.4,106.151442777123
2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.4,105.127921121619
2023-12-09,-1,"wk inc flu hosp",2023-12-02,"01","quantile",0.45,78.3300427362948
2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.45,87.8630883687737
2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.45,104.756676732102
2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.45,123.70614581404
2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.45,125.72908582531
2023-12-09,-1,"wk inc flu hosp",2023-12-02,"01","quantile",0.5,84.6639666416249
2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.5,95.3199309983087
2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.5,118.053264780885
2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.5,144.427884727453
2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.5,149.03524552071
2023-12-09,-1,"wk inc flu hosp",2023-12-02,"01","quantile",0.55,91.7172740889372
2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.55,103.409250849184
2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.55,133.057395197514
2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.55,167.898358958178
2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.55,177.813539895891
2023-12-09,-1,"wk inc flu hosp",2023-12-02,"01","quantile",0.6,99.3194336099501
2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.6,112.124215139496
2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.6,150.647610140207
2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.6,196.710187722743
2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.6,214.008107085853
2023-12-09,-1,"wk inc flu hosp",2023-12-02,"01","quantile",0.65,107.913625838368
2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.65,121.937789699441
2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.65,170.922605791977
2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.65,230.444371856154
2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.65,260.649581018184
2023-12-09,-1,"wk inc flu hosp",2023-12-02,"01","quantile",0.7,117.621767948308
2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.7,133.897328590321
2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.7,196.078836493593
2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.7,276.713421794879
2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.7,322.783556320375
2023-12-09,-1,"wk inc flu hosp",2023-12-02,"01","quantile",0.75,129.272462242412
2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.75,147.536287038488
2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.75,227.860246397598
2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.75,336.580926050775
2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.75,405.581244661323
2023-12-09,-1,"wk inc flu hosp",2023-12-02,"01","quantile",0.8,143.504398926073
2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.8,164.623396282861
2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.8,271.30610360238
2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.8,426.99503749109
2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.8,536.781806101654
2023-12-09,-1,"wk inc flu hosp",2023-12-02,"01","quantile",0.85,161.528778762667
2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.85,187.396711412659
2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.85,331.17321705103
2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.85,559.383868040293
2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.85,746.663628884134
2023-12-09,-1,"wk inc flu hosp",2023-12-02,"01","quantile",0.9,188.118221720236
2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.9,220.284191255182
2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.9,427.393121686439
2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.9,804.885303856216
2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.9,1177.08597583168
2023-12-09,-1,"wk inc flu hosp",2023-12-02,"01","quantile",0.95,237.706688760161
2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.95,279.735275932576
2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.95,635.489525078109
2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.95,1380.96443978845
2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.95,2338.0014198638
2023-12-09,-1,"wk inc flu hosp",2023-12-02,"01","quantile",0.975,288.841731378555
2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.975,341.986646711504
2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.975,902.868778116793
2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.975,2294.05091744565
2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.975,4544.17111695194
2023-12-09,-1,"wk inc flu hosp",2023-12-02,"01","quantile",0.99,363.176162456762
2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.99,445.800087449915
2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.99,1429.70791636744
2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.99,4488.93379953768
