"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2024-04-06,-1,"wk inc flu hosp",2024-03-30,"Alabama","quantile",0.01,8.78909587120147
2024-04-06,0,"wk inc flu hosp",2024-04-06,"Alabama","quantile",0.01,8.12967137515361
2024-04-06,1,"wk inc flu hosp",2024-04-13,"Alabama","quantile",0.01,7.23434564300935
2024-04-06,2,"wk inc flu hosp",2024-04-20,"Alabama","quantile",0.01,6.10050139096728
2024-04-06,3,"wk inc flu hosp",2024-04-27,"Alabama","quantile",0.01,5.46859157924028
2024-04-06,-1,"wk inc flu hosp",2024-03-30,"Alabama","quantile",0.025,11.5010513653591
2024-04-06,0,"wk inc flu hosp",2024-04-06,"Alabama","quantile",0.025,10.0709299553627
2024-04-06,1,"wk inc flu hosp",2024-04-13,"Alabama","quantile",0.025,9.21703576355451
2024-04-06,2,"wk inc flu hosp",2024-04-20,"Alabama","quantile",0.025,8.12439640606337
2024-04-06,3,"wk inc flu hosp",2024-04-27,"Alabama","quantile",0.025,7.44227228117516
2024-04-06,-1,"wk inc flu hosp",2024-03-30,"Alabama","quantile",0.05,13.995085288789
2024-04-06,0,"wk inc flu hosp",2024-04-06,"Alabama","quantile",0.05,12.3605321646689
2024-04-06,1,"wk inc flu hosp",2024-04-13,"Alabama","quantile",0.05,11.0248218390181
2024-04-06,2,"wk inc flu hosp",2024-04-20,"Alabama","quantile",0.05,10.266277817662
2024-04-06,3,"wk inc flu hosp",2024-04-27,"Alabama","quantile",0.05,9.49679528893888
2024-04-06,-1,"wk inc flu hosp",2024-03-30,"Alabama","quantile",0.1,17.6341515131439
2024-04-06,0,"wk inc flu hosp",2024-04-06,"Alabama","quantile",0.1,15.6246245029812
2024-04-06,1,"wk inc flu hosp",2024-04-13,"Alabama","quantile",0.1,13.6267493552658
2024-04-06,2,"wk inc flu hosp",2024-04-20,"Alabama","quantile",0.1,12.7144359905944
2024-04-06,3,"wk inc flu hosp",2024-04-27,"Alabama","quantile",0.1,12.0472449951659
2024-04-06,-1,"wk inc flu hosp",2024-03-30,"Alabama","quantile",0.15,20.549616056773
2024-04-06,0,"wk inc flu hosp",2024-04-06,"Alabama","quantile",0.15,18.3225633779254
2024-04-06,1,"wk inc flu hosp",2024-04-13,"Alabama","quantile",0.15,16.1381504680687
2024-04-06,2,"wk inc flu hosp",2024-04-20,"Alabama","quantile",0.15,14.6852769737806
