"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2023-12-23,-1,"wk inc flu hosp",2023-12-16,"01","quantile",0.01,45.7921932301809
2023-12-23,0,"wk inc flu hosp",2023-12-23,"01","quantile",0.01,50.6121260316218
2023-12-23,1,"wk inc flu hosp",2023-12-30,"01","quantile",0.01,33.4998698702505
2023-12-23,2,"wk inc flu hosp",2024-01-06,"01","quantile",0.01,23.4653917177017
2023-12-23,3,"wk inc flu hosp",2024-01-13,"01","quantile",0.01,20.3659327205115
2023-12-23,-1,"wk inc flu hosp",2023-12-16,"01","quantile",0.025,60.2097586101202
2023-12-23,0,"wk inc flu hosp",2023-12-23,"01","quantile",0.025,66.0690861812015
2023-12-23,1,"wk inc flu hosp",2023-12-30,"01","quantile",0.025,48.3518951707418
2023-12-23,2,"wk inc flu hosp",2024-01-06,"01","quantile",0.025,36.7101868174161
2023-12-23,3,"wk inc flu hosp",2024-01-13,"01","quantile",0.025,31.2070622905399
2023-12-23,-1,"wk inc flu hosp",2023-12-16,"01","quantile",0.05,74.3620777856726
2023-12-23,0,"wk inc flu hosp",2023-12-23,"01","quantile",0.05,82.4975328389916
2023-12-23,1,"wk inc flu hosp",2023-12-30,"01","quantile",0.05,65.7824383613021
2023-12-23,2,"wk inc flu hosp",2024-01-06,"01","quantile",0.05,53.1477869761329
2023-12-23,3,"wk inc flu hosp",2024-01-13,"01","quantile",0.05,47.4722819888269
2023-12-23,-1,"wk inc flu hosp",2023-12-16,"01","quantile",0.1,95.8015312227148
2023-12-23,0,"wk inc flu hosp",2023-12-23,"01","quantile",0.1,106.655943150098
2023-12-23,1,"wk inc flu hosp",2023-12-30,"01","quantile",0.1,96.1757001466798
2023-12-23,2,"wk inc flu hosp",2024-01-06,"01","quantile",0.1,81.4495867424812
2023-12-23,3,"wk inc flu hosp",2024-01-13,"01","quantile",0.1,77.5585814117167
2023-12-23,-1,"wk inc flu hosp",2023-12-16,"01","quantile",0.15,113.180273042263
2023-12-23,0,"wk inc flu hosp",2023-12-23,"01","quantile",0.15,127.578698338593
2023-12-23,1,"wk inc flu hosp",2023-12-30,"01","quantile",0.15,123.795781728277
2023-12-23,2,"wk inc flu hosp",2024-01-06,"01","quantile",0.15,110.678062753727
2023-12-23,3,"wk inc flu hosp",2024-01-13,"01","quantile",0.15,109.331082190012
2023-12-23,-1,"wk inc flu hosp",2023-12-16,"01","quantile",0.2,129.766705704934
2023-12-23,0,"wk inc flu hosp",2023-12-23,"01","quantile",0.2,146.953740490175
2023-12-23,1,"wk inc flu hosp",2023-12-30,"01","quantile",0.2,152.168080873038
2023-12-23,2,"wk inc flu hosp",2024-01-06,"01","quantile",0.2,141.904401936927
2023-12-23,3,"wk inc flu hosp",2024-01-13,"01","quantile",0.2,144.837874533291
2023-12-23,-1,"wk inc flu hosp",2023-12-16,"01","quantile",0.25,145.620700788002
2023-12-23,0,"wk inc flu hosp",2023-12-23,"01","quantile",0.25,166.216127152342
2023-12-23,1,"wk inc flu hosp",2023-12-30,"01","quantile",0.25,181.988561175217
2023-12-23,2,"wk inc flu hosp",2024-01-06,"01","quantile",0.25,176.38228265929
2023-12-23,3,"wk inc flu hosp",2024-01-13,"01","quantile",0.25,186.685772150433
2023-12-23,-1,"wk inc flu hosp",2023-12-16,"01","quantile",0.3,161.03959061262
2023-12-23,0,"wk inc flu hosp",2023-12-23,"01","quantile",0.3,185.712919696264
2023-12-23,1,"wk inc flu hosp",2023-12-30,"01","quantile",0.3,214.218433153393
2023-12-23,2,"wk inc flu hosp",2024-01-06,"01","quantile",0.3,215.78143192866
2023-12-23,3,"wk inc flu hosp",2024-01-13,"01","quantile",0.3,236.480471592786
2023-12-23,-1,"wk inc flu hosp",2023-12-16,"01","quantile",0.35,177.403841662947
2023-12-23,0,"wk inc flu hosp",2023-12-23,"01","quantile",0.35,205.333125815463
2023-12-23,1,"wk inc flu hosp",2023-12-30,"01","quantile",0.35,250.84732084685
2023-12-23,2,"wk inc flu hosp",2024-01-06,"01","quantile",0.35,260.521627885
2023-12-23,3,"wk inc flu hosp",2024-01-13,"01","quantile",0.35,294.677714165904
2023-12-23,-1,"wk inc flu hosp",2023-12-16,"01","quantile",0.4,194.370958171373
2023-12-23,0,"wk inc flu hosp",2023-12-23,"01","quantile",0.4,226.155133169325
2023-12-23,1,"wk inc flu hosp",2023-12-30,"01","quantile",0.4,291.061817531214
2023-12-23,2,"wk inc flu hosp",2024-01-06,"01","quantile",0.4,314.329323954215
2023-12-23,3,"wk inc flu hosp",2024-01-13,"01","quantile",0.4,368.401402505851
2023-12-23,-1,"wk inc flu hosp",2023-12-16,"01","quantile",0.45,212.152178982833
2023-12-23,0,"wk inc flu hosp",2023-12-23,"01","quantile",0.45,249.033231072922
2023-12-23,1,"wk inc flu hosp",2023-12-30,"01","quantile",0.45,336.642097691501
2023-12-23,2,"wk inc flu hosp",2024-01-06,"01","quantile",0.45,376.12553238636
2023-12-23,3,"wk inc flu hosp",2024-01-13,"01","quantile",0.45,459.378636354978
2023-12-23,-1,"wk inc flu hosp",2023-12-16,"01","quantile",0.5,231.366734010441
2023-12-23,0,"wk inc flu hosp",2023-12-23,"01","quantile",0.5,273.484797169797
2023-12-23,1,"wk inc flu hosp",2023-12-30,"01","quantile",0.5,388.686723136579
2023-12-23,2,"wk inc flu hosp",2024-01-06,"01","quantile",0.5,451.601676236834
2023-12-23,3,"wk inc flu hosp",2024-01-13,"01","quantile",0.5,573.890059288742
2023-12-23,-1,"wk inc flu hosp",2023-12-16,"01","quantile",0.55,252.446706923301
2023-12-23,0,"wk inc flu hosp",2023-12-23,"01","quantile",0.55,301.414589005812
2023-12-23,1,"wk inc flu hosp",2023-12-30,"01","quantile",0.55,449.308187875483
2023-12-23,2,"wk inc flu hosp",2024-01-06,"01","quantile",0.55,541.804152932513
2023-12-23,3,"wk inc flu hosp",2024-01-13,"01","quantile",0.55,724.404134112908
2023-12-23,-1,"wk inc flu hosp",2023-12-16,"01","quantile",0.6,276.72938595858
2023-12-23,0,"wk inc flu hosp",2023-12-23,"01","quantile",0.6,331.849597630116
2023-12-23,1,"wk inc flu hosp",2023-12-30,"01","quantile",0.6,523.286863967527
2023-12-23,2,"wk inc flu hosp",2024-01-06,"01","quantile",0.6,658.36823521386
2023-12-23,3,"wk inc flu hosp",2024-01-13,"01","quantile",0.6,918.171902269467
2023-12-23,-1,"wk inc flu hosp",2023-12-16,"01","quantile",0.65,303.055214584889
2023-12-23,0,"wk inc flu hosp",2023-12-23,"01","quantile",0.65,366.940967872229
2023-12-23,1,"wk inc flu hosp",2023-12-30,"01","quantile",0.65,616.1330317413
2023-12-23,2,"wk inc flu hosp",2024-01-06,"01","quantile",0.65,806.254764604195
2023-12-23,3,"wk inc flu hosp",2024-01-13,"01","quantile",0.65,1179.88366371618
2023-12-23,-1,"wk inc flu hosp",2023-12-16,"01","quantile",0.7,334.101525463932
2023-12-23,0,"wk inc flu hosp",2023-12-23,"01","quantile",0.7,408.778827461354
2023-12-23,1,"wk inc flu hosp",2023-12-30,"01","quantile",0.7,727.665828015601
2023-12-23,2,"wk inc flu hosp",2024-01-06,"01","quantile",0.7,1011.79131619144
2023-12-23,3,"wk inc flu hosp",2024-01-13,"01","quantile",0.7,1558.90743175519
2023-12-23,-1,"wk inc flu hosp",2023-12-16,"01","quantile",0.75,371.393838451824
2023-12-23,0,"wk inc flu hosp",2023-12-23,"01","quantile",0.75,459.509021940035
2023-12-23,1,"wk inc flu hosp",2023-12-30,"01","quantile",0.75,880.324632415615
2023-12-23,2,"wk inc flu hosp",2024-01-06,"01","quantile",0.75,1297.74581311851
2023-12-23,3,"wk inc flu hosp",2024-01-13,"01","quantile",0.75,2107.23095861454
2023-12-23,-1,"wk inc flu hosp",2023-12-16,"01","quantile",0.8,417.459249316609
2023-12-23,0,"wk inc flu hosp",2023-12-23,"01","quantile",0.8,523.900217703853
2023-12-23,1,"wk inc flu hosp",2023-12-30,"01","quantile",0.8,1091.91227911966
2023-12-23,2,"wk inc flu hosp",2024-01-06,"01","quantile",0.8,1729.641968248
2023-12-23,3,"wk inc flu hosp",2024-01-13,"01","quantile",0.8,3046.47206551841
2023-12-23,-1,"wk inc flu hosp",2023-12-16,"01","quantile",0.85,479.518395089592
2023-12-23,0,"wk inc flu hosp",2023-12-23,"01","quantile",0.85,613.170671351612
2023-12-23,1,"wk inc flu hosp",2023-12-30,"01","quantile",0.85,1406.44055096999
2023-12-23,2,"wk inc flu hosp",2024-01-06,"01","quantile",0.85,2429.55824710232
2023-12-23,3,"wk inc flu hosp",2024-01-13,"01","quantile",0.85,4737.30491779055
2023-12-23,-1,"wk inc flu hosp",2023-12-16,"01","quantile",0.9,569.118325704439
2023-12-23,0,"wk inc flu hosp",2023-12-23,"01","quantile",0.9,749.088298001501
2023-12-23,1,"wk inc flu hosp",2023-12-30,"01","quantile",0.9,1947.02828131924
2023-12-23,2,"wk inc flu hosp",2024-01-06,"01","quantile",0.9,3823.1856550291
2023-12-23,3,"wk inc flu hosp",2024-01-13,"01","quantile",0.9,8647.08996967763
2023-12-23,-1,"wk inc flu hosp",2023-12-16,"01","quantile",0.95,741.38076941195
2023-12-23,0,"wk inc flu hosp",2023-12-23,"01","quantile",0.95,998.995824618202
2023-12-23,1,"wk inc flu hosp",2023-12-30,"01","quantile",0.95,3227.92395961059
2023-12-23,2,"wk inc flu hosp",2024-01-06,"01","quantile",0.95,7890.50916350962
2023-12-23,3,"wk inc flu hosp",2024-01-13,"01","quantile",0.95,22995.1073028485
2023-12-23,-1,"wk inc flu hosp",2023-12-16,"01","quantile",0.975,932.344187920617
2023-12-23,0,"wk inc flu hosp",2023-12-23,"01","quantile",0.975,1298.81989642971
2023-12-23,1,"wk inc flu hosp",2023-12-30,"01","quantile",0.975,5250.14791533294
2023-12-23,2,"wk inc flu hosp",2024-01-06,"01","quantile",0.975,15733.7866689851
2023-12-23,3,"wk inc flu hosp",2024-01-13,"01","quantile",0.975,59221.6644480127
2023-12-23,-1,"wk inc flu hosp",2023-12-16,"01","quantile",0.99,1228.19037033688
2023-12-23,0,"wk inc flu hosp",2023-12-23,"01","quantile",0.99,1828.49356529914
2023-12-23,1,"wk inc flu hosp",2023-12-30,"01","quantile",0.99,9574.56552913481
2023-12-23,2,"wk inc flu hosp",2024-01-06,"01","quantile",0.99,40175.2160274356
2023-12-23,3,"wk inc flu hosp",2024-01-13,"01","quantile",0.99,236069.432313186
2023-12-23,-1,"wk inc flu hosp",2023-12-16,"02","quantile",0.01,0
2023-12-23,0,"wk inc flu hosp",2023-12-23,"02","quantile",0.01,0
2023-12-23,1,"wk inc flu hosp",2023-12-30,"02","quantile",0.01,0
2023-12-23,2,"wk inc flu hosp",2024-01-06,"02","quantile",0.01,0
2023-12-23,3,"wk inc flu hosp",2024-01-13,"02","quantile",0.01,0
2023-12-23,-1,"wk inc flu hosp",2023-12-16,"02","quantile",0.025,0.132806017209836
2023-12-23,0,"wk inc flu hosp",2023-12-23,"02","quantile",0.025,0.153955458687571
2023-12-23,1,"wk inc flu hosp",2023-12-30,"02","quantile",0.025,0
2023-12-23,2,"wk inc flu hosp",2024-01-06,"02","quantile",0.025,0
2023-12-23,3,"wk inc flu hosp",2024-01-13,"02","quantile",0.025,0
2023-12-23,-1,"wk inc flu hosp",2023-12-16,"02","quantile",0.05,0.456795152071739
2023-12-23,0,"wk inc flu hosp",2023-12-23,"02","quantile",0.05,0.473849554445007
2023-12-23,1,"wk inc flu hosp",2023-12-30,"02","quantile",0.05,0.0948140647639595
2023-12-23,2,"wk inc flu hosp",2024-01-06,"02","quantile",0.05,0
2023-12-23,3,"wk inc flu hosp",2024-01-13,"02","quantile",0.05,0
2023-12-23,-1,"wk inc flu hosp",2023-12-16,"02","quantile",0.1,0.953722578229985
2023-12-23,0,"wk inc flu hosp",2023-12-23,"02","quantile",0.1,0.972400315555647
2023-12-23,1,"wk inc flu hosp",2023-12-30,"02","quantile",0.1,0.569852390687088
2023-12-23,2,"wk inc flu hosp",2024-01-06,"02","quantile",0.1,0.422418049940859
2023-12-23,3,"wk inc flu hosp",2024-01-13,"02","quantile",0.1,0.305112815229576
2023-12-23,-1,"wk inc flu hosp",2023-12-16,"02","quantile",0.15,1.38145780804502
2023-12-23,0,"wk inc flu hosp",2023-12-23,"02","quantile",0.15,1.39052443000215
