"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"01","quantile",0.01,0
2023-11-18,0,"wk inc flu hosp",2023-11-18,"01","quantile",0.01,0
2023-11-18,1,"wk inc flu hosp",2023-11-25,"01","quantile",0.01,0
2023-11-18,2,"wk inc flu hosp",2023-12-02,"01","quantile",0.01,0
2023-11-18,3,"wk inc flu hosp",2023-12-09,"01","quantile",0.01,0
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"01","quantile",0.025,7.84526369068677
2023-11-18,0,"wk inc flu hosp",2023-11-18,"01","quantile",0.025,13.8258438101525
2023-11-18,1,"wk inc flu hosp",2023-11-25,"01","quantile",0.025,8.06952223802612
2023-11-18,2,"wk inc flu hosp",2023-12-02,"01","quantile",0.025,6.15522695427937
2023-11-18,3,"wk inc flu hosp",2023-12-09,"01","quantile",0.025,9.61804333117569
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"01","quantile",0.05,19.1497000961787
2023-11-18,0,"wk inc flu hosp",2023-11-18,"01","quantile",0.05,27.1611075597815
2023-11-18,1,"wk inc flu hosp",2023-11-25,"01","quantile",0.05,26.3952382833932
2023-11-18,2,"wk inc flu hosp",2023-12-02,"01","quantile",0.05,25.5367080110162
2023-11-18,3,"wk inc flu hosp",2023-12-09,"01","quantile",0.05,33.3533627514761
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"01","quantile",0.1,31.7183873543039
2023-11-18,0,"wk inc flu hosp",2023-11-18,"01","quantile",0.1,43.3712258674127
2023-11-18,1,"wk inc flu hosp",2023-11-25,"01","quantile",0.1,47.314937736705
2023-11-18,2,"wk inc flu hosp",2023-12-02,"01","quantile",0.1,51.3411117170765
2023-11-18,3,"wk inc flu hosp",2023-12-09,"01","quantile",0.1,64.1612677301729
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"01","quantile",0.15,40.3973347063645
2023-11-18,0,"wk inc flu hosp",2023-11-18,"01","quantile",0.15,54.6763149730254
2023-11-18,1,"wk inc flu hosp",2023-11-25,"01","quantile",0.15,63.2661145134172
2023-11-18,2,"wk inc flu hosp",2023-12-02,"01","quantile",0.15,71.8982053713297
2023-11-18,3,"wk inc flu hosp",2023-12-09,"01","quantile",0.15,91.0466836329594
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"01","quantile",0.2,47.1979050411146
2023-11-18,0,"wk inc flu hosp",2023-11-18,"01","quantile",0.2,63.9808955271918
2023-11-18,1,"wk inc flu hosp",2023-11-25,"01","quantile",0.2,78.2966926573293
2023-11-18,2,"wk inc flu hosp",2023-12-02,"01","quantile",0.2,91.2522474374233
2023-11-18,3,"wk inc flu hosp",2023-12-09,"01","quantile",0.2,117.5300251025
