"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2023-12-30,-1,"wk inc flu hosp",2023-12-23,"US","quantile",0.01,16768.5722805134
2023-12-30,0,"wk inc flu hosp",2023-12-30,"US","quantile",0.01,15045.3741236452
2023-12-30,1,"wk inc flu hosp",2024-01-06,"US","quantile",0.01,12859.8576950553
2023-12-30,2,"wk inc flu hosp",2024-01-13,"US","quantile",0.01,11383.5428495162
2023-12-30,3,"wk inc flu hosp",2024-01-20,"US","quantile",0.01,10168.7057253676
2023-12-30,-1,"wk inc flu hosp",2023-12-23,"US","quantile",0.025,17993.0818746565
2023-12-30,0,"wk inc flu hosp",2023-12-30,"US","quantile",0.025,16241.9138087768
2023-12-30,1,"wk inc flu hosp",2024-01-06,"US","quantile",0.025,14796.565149346
2023-12-30,2,"wk inc flu hosp",2024-01-13,"US","quantile",0.025,13773.5678890408
2023-12-30,3,"wk inc flu hosp",2024-01-20,"US","quantile",0.025,12957.6279183535
2023-12-30,-1,"wk inc flu hosp",2023-12-23,"US","quantile",0.05,19026.7420371046
2023-12-30,0,"wk inc flu hosp",2023-12-30,"US","quantile",0.05,17282.9105033189
2023-12-30,1,"wk inc flu hosp",2024-01-06,"US","quantile",0.05,16546.1371842133
2023-12-30,2,"wk inc flu hosp",2024-01-13,"US","quantile",0.05,16022.5230479285
2023-12-30,3,"wk inc flu hosp",2024-01-20,"US","quantile",0.05,15661.4057743872
2023-12-30,-1,"wk inc flu hosp",2023-12-23,"US","quantile",0.1,20222.7068238179
2023-12-30,0,"wk inc flu hosp",2023-12-30,"US","quantile",0.1,18461.6016080136
2023-12-30,1,"wk inc flu hosp",2024-01-06,"US","quantile",0.1,18621.5920843479
2023-12-30,2,"wk inc flu hosp",2024-01-13,"US","quantile",0.1,18814.0173245063
2023-12-30,3,"wk inc flu hosp",2024-01-20,"US","quantile",0.1,19173.6716837205
2023-12-30,-1,"wk inc flu hosp",2023-12-23,"US","quantile",0.15,21027.0832150747
2023-12-30,0,"wk inc flu hosp",2023-12-30,"US","quantile",0.15,19254.2982635748
2023-12-30,1,"wk inc flu hosp",2024-01-06,"US","quantile",0.15,20034.5483499598
2023-12-30,2,"wk inc flu hosp",2024-01-13,"US","quantile",0.15,20822.6158188534
2023-12-30,3,"wk inc flu hosp",2024-01-20,"US","quantile",0.15,21730.9538830299
