"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2024-01-06,-1,"wk inc flu hosp",2023-12-30,"Alabama","quantile",0.01,0
2024-01-06,0,"wk inc flu hosp",2024-01-06,"Alabama","quantile",0.01,0
2024-01-06,1,"wk inc flu hosp",2024-01-13,"Alabama","quantile",0.01,0
2024-01-06,2,"wk inc flu hosp",2024-01-20,"Alabama","quantile",0.01,0
2024-01-06,3,"wk inc flu hosp",2024-01-27,"Alabama","quantile",0.01,0
2024-01-06,-1,"wk inc flu hosp",2023-12-30,"Alabama","quantile",0.025,0
2024-01-06,0,"wk inc flu hosp",2024-01-06,"Alabama","quantile",0.025,0
2024-01-06,1,"wk inc flu hosp",2024-01-13,"Alabama","quantile",0.025,0
2024-01-06,2,"wk inc flu hosp",2024-01-20,"Alabama","quantile",0.025,0
2024-01-06,3,"wk inc flu hosp",2024-01-27,"Alabama","quantile",0.025,0
2024-01-06,-1,"wk inc flu hosp",2023-12-30,"Alabama","quantile",0.05,0
2024-01-06,0,"wk inc flu hosp",2024-01-06,"Alabama","quantile",0.05,0
2024-01-06,1,"wk inc flu hosp",2024-01-13,"Alabama","quantile",0.05,0
2024-01-06,2,"wk inc flu hosp",2024-01-20,"Alabama","quantile",0.05,0
2024-01-06,3,"wk inc flu hosp",2024-01-27,"Alabama","quantile",0.05,0
2024-01-06,-1,"wk inc flu hosp",2023-12-30,"Alabama","quantile",0.1,0
2024-01-06,0,"wk inc flu hosp",2024-01-06,"Alabama","quantile",0.1,0
2024-01-06,1,"wk inc flu hosp",2024-01-13,"Alabama","quantile",0.1,0
2024-01-06,2,"wk inc flu hosp",2024-01-20,"Alabama","quantile",0.1,0
2024-01-06,3,"wk inc flu hosp",2024-01-27,"Alabama","quantile",0.1,0
2024-01-06,-1,"wk inc flu hosp",2023-12-30,"Alabama","quantile",0.15,0
2024-01-06,0,"wk inc flu hosp",2024-01-06,"Alabama","quantile",0.15,0
2024-01-06,1,"wk inc flu hosp",2024-01-13,"Alabama","quantile",0.15,0
2024-01-06,2,"wk inc flu hosp",2024-01-20,"Alabama","quantile",0.15,0
2024-01-06,3,"wk inc flu hosp",2024-01-27,"Alabama","quantile",0.15,0
2024-01-06,-1,"wk inc flu hosp",2023-12-30,"Alabama","quantile",0.2,4.774232
2024-01-06,0,"wk inc flu hosp",2024-01-06,"Alabama","quantile",0.2,6.012212
2024-01-06,1,"wk inc flu hosp",2024-01-13,"Alabama","quantile",0.2,1.753388
2024-01-06,2,"wk inc flu hosp",2024-01-20,"Alabama","quantile",0.2,0
2024-01-06,3,"wk inc flu hosp",2024-01-27,"Alabama","quantile",0.2,0
2024-01-06,-1,"wk inc flu hosp",2023-12-30,"Alabama","quantile",0.25,11.133775
2024-01-06,0,"wk inc flu hosp",2024-01-06,"Alabama","quantile",0.25,11.405475
2024-01-06,1,"wk inc flu hosp",2024-01-13,"Alabama","quantile",0.25,7.87727
2024-01-06,2,"wk inc flu hosp",2024-01-20,"Alabama","quantile",0.25,4.4471325
2024-01-06,3,"wk inc flu hosp",2024-01-27,"Alabama","quantile",0.25,0
2024-01-06,-1,"wk inc flu hosp",2023-12-30,"Alabama","quantile",0.3,16.53976
2024-01-06,0,"wk inc flu hosp",2024-01-06,"Alabama","quantile",0.3,17.08164
2024-01-06,1,"wk inc flu hosp",2024-01-13,"Alabama","quantile",0.3,12.89774
2024-01-06,2,"wk inc flu hosp",2024-01-20,"Alabama","quantile",0.3,9.984635
2024-01-06,3,"wk inc flu hosp",2024-01-27,"Alabama","quantile",0.3,5.225111
2024-01-06,-1,"wk inc flu hosp",2023-12-30,"Alabama","quantile",0.35,21.57257
