"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"01","quantile",0.01,14.9391651847035
2024-02-10,0,"wk inc flu hosp",2024-02-10,"01","quantile",0.01,9.11915111296194
2024-02-10,1,"wk inc flu hosp",2024-02-17,"01","quantile",0.01,0
2024-02-10,2,"wk inc flu hosp",2024-02-24,"01","quantile",0.01,0
2024-02-10,3,"wk inc flu hosp",2024-03-02,"01","quantile",0.01,0
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"01","quantile",0.025,24.2261790082986
2024-02-10,0,"wk inc flu hosp",2024-02-10,"01","quantile",0.025,19.2157225042366
2024-02-10,1,"wk inc flu hosp",2024-02-17,"01","quantile",0.025,0
2024-02-10,2,"wk inc flu hosp",2024-02-24,"01","quantile",0.025,0
2024-02-10,3,"wk inc flu hosp",2024-03-02,"01","quantile",0.025,0
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"01","quantile",0.05,33.0839886033481
2024-02-10,0,"wk inc flu hosp",2024-02-10,"01","quantile",0.05,28.0019351312564
2024-02-10,1,"wk inc flu hosp",2024-02-17,"01","quantile",0.05,0
2024-02-10,2,"wk inc flu hosp",2024-02-24,"01","quantile",0.05,0
2024-02-10,3,"wk inc flu hosp",2024-03-02,"01","quantile",0.05,0
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"01","quantile",0.1,42.7756259388618
2024-02-10,0,"wk inc flu hosp",2024-02-10,"01","quantile",0.1,37.4227057459995
2024-02-10,1,"wk inc flu hosp",2024-02-17,"01","quantile",0.1,5.78554462461968
2024-02-10,2,"wk inc flu hosp",2024-02-24,"01","quantile",0.1,0
2024-02-10,3,"wk inc flu hosp",2024-03-02,"01","quantile",0.1,0
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"01","quantile",0.15,49.0250829042793
2024-02-10,0,"wk inc flu hosp",2024-02-10,"01","quantile",0.15,43.3119837397379
2024-02-10,1,"wk inc flu hosp",2024-02-17,"01","quantile",0.15,13.3167056974249
2024-02-10,2,"wk inc flu hosp",2024-02-24,"01","quantile",0.15,0
2024-02-10,3,"wk inc flu hosp",2024-03-02,"01","quantile",0.15,0
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"01","quantile",0.2,54.1104478558855
2024-02-10,0,"wk inc flu hosp",2024-02-10,"01","quantile",0.2,48.1492233079505
2024-02-10,1,"wk inc flu hosp",2024-02-17,"01","quantile",0.2,19.2607212289111
2024-02-10,2,"wk inc flu hosp",2024-02-24,"01","quantile",0.2,0.256562007425454
2024-02-10,3,"wk inc flu hosp",2024-03-02,"01","quantile",0.2,0
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"01","quantile",0.25,58.4251617693523
2024-02-10,0,"wk inc flu hosp",2024-02-10,"01","quantile",0.25,52.2851836300718
2024-02-10,1,"wk inc flu hosp",2024-02-17,"01","quantile",0.25,24.403292205073
2024-02-10,2,"wk inc flu hosp",2024-02-24,"01","quantile",0.25,5.70124116338583
2024-02-10,3,"wk inc flu hosp",2024-03-02,"01","quantile",0.25,0
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"01","quantile",0.3,62.3725351778771
2024-02-10,0,"wk inc flu hosp",2024-02-10,"01","quantile",0.3,55.8775030635757
2024-02-10,1,"wk inc flu hosp",2024-02-17,"01","quantile",0.3,28.8628185967433
2024-02-10,2,"wk inc flu hosp",2024-02-24,"01","quantile",0.3,10.6516374303793
2024-02-10,3,"wk inc flu hosp",2024-03-02,"01","quantile",0.3,0
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"01","quantile",0.35,65.9136526128732
2024-02-10,0,"wk inc flu hosp",2024-02-10,"01","quantile",0.35,59.3162324755849
2024-02-10,1,"wk inc flu hosp",2024-02-17,"01","quantile",0.35,33.0101934227776
2024-02-10,2,"wk inc flu hosp",2024-02-24,"01","quantile",0.35,15.0796583583973
2024-02-10,3,"wk inc flu hosp",2024-03-02,"01","quantile",0.35,4.47081655676316
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"01","quantile",0.4,69.3038801184534
2024-02-10,0,"wk inc flu hosp",2024-02-10,"01","quantile",0.4,62.6184011198808
2024-02-10,1,"wk inc flu hosp",2024-02-17,"01","quantile",0.4,37.0709273192193
2024-02-10,2,"wk inc flu hosp",2024-02-24,"01","quantile",0.4,19.3907121183481
2024-02-10,3,"wk inc flu hosp",2024-03-02,"01","quantile",0.4,8.73932040397735
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"01","quantile",0.45,72.5081391967986
2024-02-10,0,"wk inc flu hosp",2024-02-10,"01","quantile",0.45,65.6990994425968
2024-02-10,1,"wk inc flu hosp",2024-02-17,"01","quantile",0.45,40.9699569079096
2024-02-10,2,"wk inc flu hosp",2024-02-24,"01","quantile",0.45,23.4444300347656
2024-02-10,3,"wk inc flu hosp",2024-03-02,"01","quantile",0.45,12.9400141085052
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"01","quantile",0.5,75.6906335829496
2024-02-10,0,"wk inc flu hosp",2024-02-10,"01","quantile",0.5,68.7769261705661
2024-02-10,1,"wk inc flu hosp",2024-02-17,"01","quantile",0.5,44.8932714637667
2024-02-10,2,"wk inc flu hosp",2024-02-24,"01","quantile",0.5,27.5468293894018
2024-02-10,3,"wk inc flu hosp",2024-03-02,"01","quantile",0.5,17.1195614192014
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"01","quantile",0.55,78.8820026912141
2024-02-10,0,"wk inc flu hosp",2024-02-10,"01","quantile",0.55,71.7844607680487
2024-02-10,1,"wk inc flu hosp",2024-02-17,"01","quantile",0.55,48.8688813857155
2024-02-10,2,"wk inc flu hosp",2024-02-24,"01","quantile",0.55,31.754999391639
2024-02-10,3,"wk inc flu hosp",2024-03-02,"01","quantile",0.55,21.3684644466055
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"01","quantile",0.6,82.2394986589612
2024-02-10,0,"wk inc flu hosp",2024-02-10,"01","quantile",0.6,74.9555611492456
2024-02-10,1,"wk inc flu hosp",2024-02-17,"01","quantile",0.6,52.7733808758508
2024-02-10,2,"wk inc flu hosp",2024-02-24,"01","quantile",0.6,36.0721034326069
2024-02-10,3,"wk inc flu hosp",2024-03-02,"01","quantile",0.6,25.7938013535628
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"01","quantile",0.65,85.7816845847734
2024-02-10,0,"wk inc flu hosp",2024-02-10,"01","quantile",0.65,78.12874080847
2024-02-10,1,"wk inc flu hosp",2024-02-17,"01","quantile",0.65,56.8473285359187
2024-02-10,2,"wk inc flu hosp",2024-02-24,"01","quantile",0.65,40.4098181235973
2024-02-10,3,"wk inc flu hosp",2024-03-02,"01","quantile",0.65,30.1767978125539
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"01","quantile",0.7,89.5094330764058
2024-02-10,0,"wk inc flu hosp",2024-02-10,"01","quantile",0.7,81.5743690267233
2024-02-10,1,"wk inc flu hosp",2024-02-17,"01","quantile",0.7,61.1298763112783
2024-02-10,2,"wk inc flu hosp",2024-02-24,"01","quantile",0.7,45.0459702580784
2024-02-10,3,"wk inc flu hosp",2024-03-02,"01","quantile",0.7,35.0117415296561
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"01","quantile",0.75,93.5195415428691
2024-02-10,0,"wk inc flu hosp",2024-02-10,"01","quantile",0.75,85.4724356276955
2024-02-10,1,"wk inc flu hosp",2024-02-17,"01","quantile",0.75,65.895353262683
2024-02-10,2,"wk inc flu hosp",2024-02-24,"01","quantile",0.75,50.2665760658368
2024-02-10,3,"wk inc flu hosp",2024-03-02,"01","quantile",0.75,40.1954262346055
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"01","quantile",0.8,98.000401868326
2024-02-10,0,"wk inc flu hosp",2024-02-10,"01","quantile",0.8,89.6511947866289
2024-02-10,1,"wk inc flu hosp",2024-02-17,"01","quantile",0.8,71.496048212817
2024-02-10,2,"wk inc flu hosp",2024-02-24,"01","quantile",0.8,56.1160205831498
2024-02-10,3,"wk inc flu hosp",2024-03-02,"01","quantile",0.8,46.3203977438549
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"01","quantile",0.85,103.221435257668
2024-02-10,0,"wk inc flu hosp",2024-02-10,"01","quantile",0.85,94.7402812253592
2024-02-10,1,"wk inc flu hosp",2024-02-17,"01","quantile",0.85,78.0176576674064
2024-02-10,2,"wk inc flu hosp",2024-02-24,"01","quantile",0.85,62.8006498407469
2024-02-10,3,"wk inc flu hosp",2024-03-02,"01","quantile",0.85,53.2336349065701
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"01","quantile",0.9,109.850926029022
2024-02-10,0,"wk inc flu hosp",2024-02-10,"01","quantile",0.9,101.060459094239
2024-02-10,1,"wk inc flu hosp",2024-02-17,"01","quantile",0.9,86.0378888921968
2024-02-10,2,"wk inc flu hosp",2024-02-24,"01","quantile",0.9,71.873823227138
2024-02-10,3,"wk inc flu hosp",2024-03-02,"01","quantile",0.9,62.5530120439601
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"01","quantile",0.95,120.073300613763
2024-02-10,0,"wk inc flu hosp",2024-02-10,"01","quantile",0.95,111.140788940191
