"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"01","quantile",0.01,9.27969363423706
2023-11-18,0,"wk inc flu hosp",2023-11-18,"01","quantile",0.01,12.3789164270155
2023-11-18,1,"wk inc flu hosp",2023-11-25,"01","quantile",0.01,7.99213830405844
2023-11-18,2,"wk inc flu hosp",2023-12-02,"01","quantile",0.01,6.37757349963272
2023-11-18,3,"wk inc flu hosp",2023-12-09,"01","quantile",0.01,5.97543608820373
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"01","quantile",0.025,16.4749464180306
2023-11-18,0,"wk inc flu hosp",2023-11-18,"01","quantile",0.025,20.6425078360593
2023-11-18,1,"wk inc flu hosp",2023-11-25,"01","quantile",0.025,16.0548427461445
2023-11-18,2,"wk inc flu hosp",2023-12-02,"01","quantile",0.025,13.8178071768415
2023-11-18,3,"wk inc flu hosp",2023-12-09,"01","quantile",0.025,13.9855007590564
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"01","quantile",0.05,22.9664888236853
2023-11-18,0,"wk inc flu hosp",2023-11-18,"01","quantile",0.05,28.2861828129245
2023-11-18,1,"wk inc flu hosp",2023-11-25,"01","quantile",0.05,24.3855223699944
2023-11-18,2,"wk inc flu hosp",2023-12-02,"01","quantile",0.05,22.8565041457476
2023-11-18,3,"wk inc flu hosp",2023-12-09,"01","quantile",0.05,24.1557472628179
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"01","quantile",0.1,30.9665081555618
2023-11-18,0,"wk inc flu hosp",2023-11-18,"01","quantile",0.1,37.1959948676846
2023-11-18,1,"wk inc flu hosp",2023-11-25,"01","quantile",0.1,35.09166257093
2023-11-18,2,"wk inc flu hosp",2023-12-02,"01","quantile",0.1,34.4602511006364
2023-11-18,3,"wk inc flu hosp",2023-12-09,"01","quantile",0.1,37.1092874790187
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"01","quantile",0.15,36.311771007295
2023-11-18,0,"wk inc flu hosp",2023-11-18,"01","quantile",0.15,43.3738405925823
2023-11-18,1,"wk inc flu hosp",2023-11-25,"01","quantile",0.15,42.8392492919128
2023-11-18,2,"wk inc flu hosp",2023-12-02,"01","quantile",0.15,43.367757348653
2023-11-18,3,"wk inc flu hosp",2023-12-09,"01","quantile",0.15,47.3787644793964
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"01","quantile",0.2,40.4735214321353
2023-11-18,0,"wk inc flu hosp",2023-11-18,"01","quantile",0.2,48.241054725241
2023-11-18,1,"wk inc flu hosp",2023-11-25,"01","quantile",0.2,49.5458066888864
2023-11-18,2,"wk inc flu hosp",2023-12-02,"01","quantile",0.2,51.074036093618
2023-11-18,3,"wk inc flu hosp",2023-12-09,"01","quantile",0.2,56.260380754813
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"01","quantile",0.25,44.0851998781678
2023-11-18,0,"wk inc flu hosp",2023-11-18,"01","quantile",0.25,52.4704072141208
2023-11-18,1,"wk inc flu hosp",2023-11-25,"01","quantile",0.25,55.4409771399649
2023-11-18,2,"wk inc flu hosp",2023-12-02,"01","quantile",0.25,58.4376136536426
2023-11-18,3,"wk inc flu hosp",2023-12-09,"01","quantile",0.25,64.7374377638732
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"01","quantile",0.3,47.2624951781092
2023-11-18,0,"wk inc flu hosp",2023-11-18,"01","quantile",0.3,56.2336877309301
2023-11-18,1,"wk inc flu hosp",2023-11-25,"01","quantile",0.3,61.0589635514661
2023-11-18,2,"wk inc flu hosp",2023-12-02,"01","quantile",0.3,65.5579186569427
2023-11-18,3,"wk inc flu hosp",2023-12-09,"01","quantile",0.3,72.8664864566619
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"01","quantile",0.35,50.281421147031
2023-11-18,0,"wk inc flu hosp",2023-11-18,"01","quantile",0.35,59.7395945848942
2023-11-18,1,"wk inc flu hosp",2023-11-25,"01","quantile",0.35,66.6887251176126
2023-11-18,2,"wk inc flu hosp",2023-12-02,"01","quantile",0.35,72.2508705421536
2023-11-18,3,"wk inc flu hosp",2023-12-09,"01","quantile",0.35,80.9944173874879
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"01","quantile",0.4,53.136122844995
2023-11-18,0,"wk inc flu hosp",2023-11-18,"01","quantile",0.4,63.1399111770965
2023-11-18,1,"wk inc flu hosp",2023-11-25,"01","quantile",0.4,72.1583036576622
2023-11-18,2,"wk inc flu hosp",2023-12-02,"01","quantile",0.4,79.1308699650806
2023-11-18,3,"wk inc flu hosp",2023-12-09,"01","quantile",0.4,89.3898747686188
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"01","quantile",0.45,55.8187894928266
2023-11-18,0,"wk inc flu hosp",2023-11-18,"01","quantile",0.45,66.5311177740283
2023-11-18,1,"wk inc flu hosp",2023-11-25,"01","quantile",0.45,77.8503004573528
2023-11-18,2,"wk inc flu hosp",2023-12-02,"01","quantile",0.45,86.2748574688229
2023-11-18,3,"wk inc flu hosp",2023-12-09,"01","quantile",0.45,98.1873377758969
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"01","quantile",0.5,58.5702947518046
2023-11-18,0,"wk inc flu hosp",2023-11-18,"01","quantile",0.5,70.0111799399062
2023-11-18,1,"wk inc flu hosp",2023-11-25,"01","quantile",0.5,83.6221097269981
2023-11-18,2,"wk inc flu hosp",2023-12-02,"01","quantile",0.5,93.7835700350429
2023-11-18,3,"wk inc flu hosp",2023-12-09,"01","quantile",0.5,107.308083014836
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"01","quantile",0.55,61.3675662195792
2023-11-18,0,"wk inc flu hosp",2023-11-18,"01","quantile",0.55,73.5143402955565
