"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2023-12-16,-1,"wk inc flu hosp",2023-12-09,"01","quantile",0.01,29.0672073804264
2023-12-16,0,"wk inc flu hosp",2023-12-16,"01","quantile",0.01,33.226258925481
2023-12-16,1,"wk inc flu hosp",2023-12-23,"01","quantile",0.01,23.0135519455748
2023-12-16,2,"wk inc flu hosp",2023-12-30,"01","quantile",0.01,15.9351384640279
2023-12-16,3,"wk inc flu hosp",2024-01-06,"01","quantile",0.01,11.5159418576137
2023-12-16,-1,"wk inc flu hosp",2023-12-09,"01","quantile",0.025,37.4602420314468
2023-12-16,0,"wk inc flu hosp",2023-12-16,"01","quantile",0.025,42.378387629191
2023-12-16,1,"wk inc flu hosp",2023-12-23,"01","quantile",0.025,32.3617449472945
2023-12-16,2,"wk inc flu hosp",2023-12-30,"01","quantile",0.025,23.8303301954433
2023-12-16,3,"wk inc flu hosp",2024-01-06,"01","quantile",0.025,17.5777607971135
2023-12-16,-1,"wk inc flu hosp",2023-12-09,"01","quantile",0.05,46.0190856099621
2023-12-16,0,"wk inc flu hosp",2023-12-16,"01","quantile",0.05,52.3270247207247
2023-12-16,1,"wk inc flu hosp",2023-12-23,"01","quantile",0.05,44.2190110775607
2023-12-16,2,"wk inc flu hosp",2023-12-30,"01","quantile",0.05,33.617173927034
2023-12-16,3,"wk inc flu hosp",2024-01-06,"01","quantile",0.05,25.2792968775357
2023-12-16,-1,"wk inc flu hosp",2023-12-09,"01","quantile",0.1,57.9741806815064
2023-12-16,0,"wk inc flu hosp",2023-12-16,"01","quantile",0.1,68.1598869604334
2023-12-16,1,"wk inc flu hosp",2023-12-23,"01","quantile",0.1,62.970810813893
2023-12-16,2,"wk inc flu hosp",2023-12-30,"01","quantile",0.1,51.0325680130456
2023-12-16,3,"wk inc flu hosp",2024-01-06,"01","quantile",0.1,40.1134537863204
2023-12-16,-1,"wk inc flu hosp",2023-12-09,"01","quantile",0.15,68.4974258603251
2023-12-16,0,"wk inc flu hosp",2023-12-16,"01","quantile",0.15,80.4728344246845
2023-12-16,1,"wk inc flu hosp",2023-12-23,"01","quantile",0.15,81.1106991454432
2023-12-16,2,"wk inc flu hosp",2023-12-30,"01","quantile",0.15,68.7968838012942
2023-12-16,3,"wk inc flu hosp",2024-01-06,"01","quantile",0.15,54.2757966531954
2023-12-16,-1,"wk inc flu hosp",2023-12-09,"01","quantile",0.2,78.069612684171
