"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2024-05-04,-1,"wk inc flu hosp",2024-04-27,"01","quantile",0.01,5.01135735045877
2024-05-04,0,"wk inc flu hosp",2024-05-04,"01","quantile",0.01,4.98989996732906
2024-05-04,1,"wk inc flu hosp",2024-05-11,"01","quantile",0.01,3.71426231651489
2024-05-04,2,"wk inc flu hosp",2024-05-18,"01","quantile",0.01,3.20454160642773
2024-05-04,3,"wk inc flu hosp",2024-05-25,"01","quantile",0.01,2.77954740984199
2024-05-04,-1,"wk inc flu hosp",2024-04-27,"01","quantile",0.025,6.14596437193698
2024-05-04,0,"wk inc flu hosp",2024-05-04,"01","quantile",0.025,6.12165894217368
2024-05-04,1,"wk inc flu hosp",2024-05-11,"01","quantile",0.025,4.86196020046402
2024-05-04,2,"wk inc flu hosp",2024-05-18,"01","quantile",0.025,4.3612810511975
2024-05-04,3,"wk inc flu hosp",2024-05-25,"01","quantile",0.025,3.86058544607194
2024-05-04,-1,"wk inc flu hosp",2024-04-27,"01","quantile",0.05,7.33132974853384
2024-05-04,0,"wk inc flu hosp",2024-05-04,"01","quantile",0.05,7.28967528467408
2024-05-04,1,"wk inc flu hosp",2024-05-11,"01","quantile",0.05,6.10943513852916
2024-05-04,2,"wk inc flu hosp",2024-05-18,"01","quantile",0.05,5.62309925585335
2024-05-04,3,"wk inc flu hosp",2024-05-25,"01","quantile",0.05,5.17578529274294
2024-05-04,-1,"wk inc flu hosp",2024-04-27,"01","quantile",0.1,8.88884868467197
2024-05-04,0,"wk inc flu hosp",2024-05-04,"01","quantile",0.1,8.81170939925217
2024-05-04,1,"wk inc flu hosp",2024-05-11,"01","quantile",0.1,7.89180836984681
2024-05-04,2,"wk inc flu hosp",2024-05-18,"01","quantile",0.1,7.40867094324393
2024-05-04,3,"wk inc flu hosp",2024-05-25,"01","quantile",0.1,6.99827225141786
2024-05-04,-1,"wk inc flu hosp",2024-04-27,"01","quantile",0.15,10.1374822892115
2024-05-04,0,"wk inc flu hosp",2024-05-04,"01","quantile",0.15,10.0265543166689
2024-05-04,1,"wk inc flu hosp",2024-05-11,"01","quantile",0.15,9.33571249936748
2024-05-04,2,"wk inc flu hosp",2024-05-18,"01","quantile",0.15,8.94965985472402
2024-05-04,3,"wk inc flu hosp",2024-05-25,"01","quantile",0.15,8.49730762525708
2024-05-04,-1,"wk inc flu hosp",2024-04-27,"01","quantile",0.2,11.2238989533832
2024-05-04,0,"wk inc flu hosp",2024-05-04,"01","quantile",0.2,11.0987877980349
2024-05-04,1,"wk inc flu hosp",2024-05-11,"01","quantile",0.2,10.6165732794647
