"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2024-03-09,-1,"wk inc flu hosp",2024-03-02,"01","quantile",0.01,9.38078056974436
2024-03-09,0,"wk inc flu hosp",2024-03-09,"01","quantile",0.01,9.35690365856138
2024-03-09,1,"wk inc flu hosp",2024-03-16,"01","quantile",0.01,3.15473637660814
2024-03-09,2,"wk inc flu hosp",2024-03-23,"01","quantile",0.01,1.63708702283605
2024-03-09,3,"wk inc flu hosp",2024-03-30,"01","quantile",0.01,1.05474805162131
2024-03-09,-1,"wk inc flu hosp",2024-03-02,"01","quantile",0.025,11.5596223769431
2024-03-09,0,"wk inc flu hosp",2024-03-09,"01","quantile",0.025,11.5578420727235
2024-03-09,1,"wk inc flu hosp",2024-03-16,"01","quantile",0.025,4.0963419860079
2024-03-09,2,"wk inc flu hosp",2024-03-23,"01","quantile",0.025,2.21977643157193
2024-03-09,3,"wk inc flu hosp",2024-03-30,"01","quantile",0.025,1.51065624346604
2024-03-09,-1,"wk inc flu hosp",2024-03-02,"01","quantile",0.05,13.8930390451763
2024-03-09,0,"wk inc flu hosp",2024-03-09,"01","quantile",0.05,13.8955353323796
2024-03-09,1,"wk inc flu hosp",2024-03-16,"01","quantile",0.05,5.22075160692384
2024-03-09,2,"wk inc flu hosp",2024-03-23,"01","quantile",0.05,2.91335882585785
2024-03-09,3,"wk inc flu hosp",2024-03-30,"01","quantile",0.05,2.04251136171818
2024-03-09,-1,"wk inc flu hosp",2024-03-02,"01","quantile",0.1,16.9101623019663
2024-03-09,0,"wk inc flu hosp",2024-03-09,"01","quantile",0.1,16.9086957646506
2024-03-09,1,"wk inc flu hosp",2024-03-16,"01","quantile",0.1,6.86481085175201
2024-03-09,2,"wk inc flu hosp",2024-03-23,"01","quantile",0.1,3.99467549329065
2024-03-09,3,"wk inc flu hosp",2024-03-30,"01","quantile",0.1,2.85291902236978
2024-03-09,-1,"wk inc flu hosp",2024-03-02,"01","quantile",0.15,19.2101255831106
2024-03-09,0,"wk inc flu hosp",2024-03-09,"01","quantile",0.15,19.1996416669119
2024-03-09,1,"wk inc flu hosp",2024-03-16,"01","quantile",0.15,8.22603238513564
2024-03-09,2,"wk inc flu hosp",2024-03-23,"01","quantile",0.15,4.90682465990751
2024-03-09,3,"wk inc flu hosp",2024-03-30,"01","quantile",0.15,3.55022699404389
2024-03-09,-1,"wk inc flu hosp",2024-03-02,"01","quantile",0.2,21.2187103590214
2024-03-09,0,"wk inc flu hosp",2024-03-09,"01","quantile",0.2,21.2256767876848
2024-03-09,1,"wk inc flu hosp",2024-03-16,"01","quantile",0.2,9.45025127252341
2024-03-09,2,"wk inc flu hosp",2024-03-23,"01","quantile",0.2,5.7506452908791
2024-03-09,3,"wk inc flu hosp",2024-03-30,"01","quantile",0.2,4.22814185683804
2024-03-09,-1,"wk inc flu hosp",2024-03-02,"01","quantile",0.25,23.0108005196348
2024-03-09,0,"wk inc flu hosp",2024-03-09,"01","quantile",0.25,23.0162025584961
2024-03-09,1,"wk inc flu hosp",2024-03-16,"01","quantile",0.25,10.668219850945
2024-03-09,2,"wk inc flu hosp",2024-03-23,"01","quantile",0.25,6.61520284119187
2024-03-09,3,"wk inc flu hosp",2024-03-30,"01","quantile",0.25,4.89839351001765
2024-03-09,-1,"wk inc flu hosp",2024-03-02,"01","quantile",0.3,24.808178918029
2024-03-09,0,"wk inc flu hosp",2024-03-09,"01","quantile",0.3,24.8231675722773
2024-03-09,1,"wk inc flu hosp",2024-03-16,"01","quantile",0.3,11.890553421029
2024-03-09,2,"wk inc flu hosp",2024-03-23,"01","quantile",0.3,7.49457396980092
2024-03-09,3,"wk inc flu hosp",2024-03-30,"01","quantile",0.3,5.58542749482201
2024-03-09,-1,"wk inc flu hosp",2024-03-02,"01","quantile",0.35,26.5646957601392
2024-03-09,0,"wk inc flu hosp",2024-03-09,"01","quantile",0.35,26.5768857958721
2024-03-09,1,"wk inc flu hosp",2024-03-16,"01","quantile",0.35,13.1873856399103
2024-03-09,2,"wk inc flu hosp",2024-03-23,"01","quantile",0.35,8.44992386319299
2024-03-09,3,"wk inc flu hosp",2024-03-30,"01","quantile",0.35,6.3589233126502
2024-03-09,-1,"wk inc flu hosp",2024-03-02,"01","quantile",0.4,28.3017035996865
2024-03-09,0,"wk inc flu hosp",2024-03-09,"01","quantile",0.4,28.2989431542124
2024-03-09,1,"wk inc flu hosp",2024-03-16,"01","quantile",0.4,14.5010290758208
2024-03-09,2,"wk inc flu hosp",2024-03-23,"01","quantile",0.4,9.44229470591361
2024-03-09,3,"wk inc flu hosp",2024-03-30,"01","quantile",0.4,7.15217461372819
2024-03-09,-1,"wk inc flu hosp",2024-03-02,"01","quantile",0.45,30.1145379041097
2024-03-09,0,"wk inc flu hosp",2024-03-09,"01","quantile",0.45,30.1301943206447
2024-03-09,1,"wk inc flu hosp",2024-03-16,"01","quantile",0.45,15.8624988360958
2024-03-09,2,"wk inc flu hosp",2024-03-23,"01","quantile",0.45,10.4881546261354
2024-03-09,3,"wk inc flu hosp",2024-03-30,"01","quantile",0.45,8.01723738080253
2024-03-09,-1,"wk inc flu hosp",2024-03-02,"01","quantile",0.5,31.9622043942855
2024-03-09,0,"wk inc flu hosp",2024-03-09,"01","quantile",0.5,31.9790685919724
2024-03-09,1,"wk inc flu hosp",2024-03-16,"01","quantile",0.5,17.4095797156974
2024-03-09,2,"wk inc flu hosp",2024-03-23,"01","quantile",0.5,11.6648281760601
2024-03-09,3,"wk inc flu hosp",2024-03-30,"01","quantile",0.5,8.9930843826587
2024-03-09,-1,"wk inc flu hosp",2024-03-02,"01","quantile",0.55,33.9526340803213
2024-03-09,0,"wk inc flu hosp",2024-03-09,"01","quantile",0.55,33.9561551292309
2024-03-09,1,"wk inc flu hosp",2024-03-16,"01","quantile",0.55,19.0964175263864
2024-03-09,2,"wk inc flu hosp",2024-03-23,"01","quantile",0.55,13.0560380231203
2024-03-09,3,"wk inc flu hosp",2024-03-30,"01","quantile",0.55,10.1306368747787
2024-03-09,-1,"wk inc flu hosp",2024-03-02,"01","quantile",0.6,36.1347016413678
2024-03-09,0,"wk inc flu hosp",2024-03-09,"01","quantile",0.6,36.1279895028241
2024-03-09,1,"wk inc flu hosp",2024-03-16,"01","quantile",0.6,21.0261450238117
2024-03-09,2,"wk inc flu hosp",2024-03-23,"01","quantile",0.6,14.621139049966
2024-03-09,3,"wk inc flu hosp",2024-03-30,"01","quantile",0.6,11.4730814953751
2024-03-09,-1,"wk inc flu hosp",2024-03-02,"01","quantile",0.65,38.4524841044989
2024-03-09,0,"wk inc flu hosp",2024-03-09,"01","quantile",0.65,38.4902746232288
2024-03-09,1,"wk inc flu hosp",2024-03-16,"01","quantile",0.65,23.2378511442964
2024-03-09,2,"wk inc flu hosp",2024-03-23,"01","quantile",0.65,16.5084779949256
2024-03-09,3,"wk inc flu hosp",2024-03-30,"01","quantile",0.65,13.0987128311804
2024-03-09,-1,"wk inc flu hosp",2024-03-02,"01","quantile",0.7,41.0957200273773
2024-03-09,0,"wk inc flu hosp",2024-03-09,"01","quantile",0.7,41.1049285946223
