"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"01","quantile",0.01,0
2024-02-10,0,"wk inc flu hosp",2024-02-10,"01","quantile",0.01,0
2024-02-10,1,"wk inc flu hosp",2024-02-17,"01","quantile",0.01,0
2024-02-10,2,"wk inc flu hosp",2024-02-24,"01","quantile",0.01,0
2024-02-10,3,"wk inc flu hosp",2024-03-02,"01","quantile",0.01,0
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"01","quantile",0.025,10.9166702972175
2024-02-10,0,"wk inc flu hosp",2024-02-10,"01","quantile",0.025,0.32882601535237
2024-02-10,1,"wk inc flu hosp",2024-02-17,"01","quantile",0.025,0
2024-02-10,2,"wk inc flu hosp",2024-02-24,"01","quantile",0.025,0
2024-02-10,3,"wk inc flu hosp",2024-03-02,"01","quantile",0.025,0
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"01","quantile",0.05,42.1787539653605
2024-02-10,0,"wk inc flu hosp",2024-02-10,"01","quantile",0.05,35.2677172763081
2024-02-10,1,"wk inc flu hosp",2024-02-17,"01","quantile",0.05,0
2024-02-10,2,"wk inc flu hosp",2024-02-24,"01","quantile",0.05,0
2024-02-10,3,"wk inc flu hosp",2024-03-02,"01","quantile",0.05,0
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"01","quantile",0.1,59.04751424306
2024-02-10,0,"wk inc flu hosp",2024-02-10,"01","quantile",0.1,53.1296893976181
2024-02-10,1,"wk inc flu hosp",2024-02-17,"01","quantile",0.1,23.2564355123753
2024-02-10,2,"wk inc flu hosp",2024-02-24,"01","quantile",0.1,3.38365520412694
2024-02-10,3,"wk inc flu hosp",2024-03-02,"01","quantile",0.1,0
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"01","quantile",0.15,66.0526443478516
2024-02-10,0,"wk inc flu hosp",2024-02-10,"01","quantile",0.15,59.9407280053162
2024-02-10,1,"wk inc flu hosp",2024-02-17,"01","quantile",0.15,33.5121939041458
2024-02-10,2,"wk inc flu hosp",2024-02-24,"01","quantile",0.15,14.5908158947537
2024-02-10,3,"wk inc flu hosp",2024-03-02,"01","quantile",0.15,2.79045601487117
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"01","quantile",0.2,70.6179533148962
2024-02-10,0,"wk inc flu hosp",2024-02-10,"01","quantile",0.2,64.3843112582193
2024-02-10,1,"wk inc flu hosp",2024-02-17,"01","quantile",0.2,40.2568345791414
2024-02-10,2,"wk inc flu hosp",2024-02-24,"01","quantile",0.2,22.0892986251252
2024-02-10,3,"wk inc flu hosp",2024-03-02,"01","quantile",0.2,10.8701015963321
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"01","quantile",0.25,74.080587107613
2024-02-10,0,"wk inc flu hosp",2024-02-10,"01","quantile",0.25,67.8750220856988
2024-02-10,1,"wk inc flu hosp",2024-02-17,"01","quantile",0.25,45.2467510384467
2024-02-10,2,"wk inc flu hosp",2024-02-24,"01","quantile",0.25,27.8080302796023
2024-02-10,3,"wk inc flu hosp",2024-03-02,"01","quantile",0.25,16.6845198127596
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"01","quantile",0.3,77.1609397357466
2024-02-10,0,"wk inc flu hosp",2024-02-10,"01","quantile",0.3,70.846783571724
2024-02-10,1,"wk inc flu hosp",2024-02-17,"01","quantile",0.3,49.4268313355477
2024-02-10,2,"wk inc flu hosp",2024-02-24,"01","quantile",0.3,32.5549754691208
2024-02-10,3,"wk inc flu hosp",2024-03-02,"01","quantile",0.3,21.719948504765
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"01","quantile",0.35,79.8551336019773
2024-02-10,0,"wk inc flu hosp",2024-02-10,"01","quantile",0.35,73.5598761819616
2024-02-10,1,"wk inc flu hosp",2024-02-17,"01","quantile",0.35,53.1774351508544
2024-02-10,2,"wk inc flu hosp",2024-02-24,"01","quantile",0.35,37.0739167126086
2024-02-10,3,"wk inc flu hosp",2024-03-02,"01","quantile",0.35,26.3286714061095
