"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2024-01-13,-1,"wk inc flu hosp",2024-01-06,"01","quantile",0.01,117.606223336904
2024-01-13,0,"wk inc flu hosp",2024-01-13,"01","quantile",0.01,119.057949652232
2024-01-13,1,"wk inc flu hosp",2024-01-20,"01","quantile",0.01,47.1411100800782
2024-01-13,2,"wk inc flu hosp",2024-01-27,"01","quantile",0.01,17.0117886850203
2024-01-13,3,"wk inc flu hosp",2024-02-03,"01","quantile",0.01,2.11585568854941
2024-01-13,-1,"wk inc flu hosp",2024-01-06,"01","quantile",0.025,156.519959344762
2024-01-13,0,"wk inc flu hosp",2024-01-13,"01","quantile",0.025,159.311399832845
2024-01-13,1,"wk inc flu hosp",2024-01-20,"01","quantile",0.025,85.7949149281369
2024-01-13,2,"wk inc flu hosp",2024-01-27,"01","quantile",0.025,53.0438796339586
2024-01-13,3,"wk inc flu hosp",2024-02-03,"01","quantile",0.025,33.2601145389154
2024-01-13,-1,"wk inc flu hosp",2024-01-06,"01","quantile",0.05,194.352997634254
2024-01-13,0,"wk inc flu hosp",2024-01-13,"01","quantile",0.05,198.007907029755
2024-01-13,1,"wk inc flu hosp",2024-01-20,"01","quantile",0.05,127.898128964951
2024-01-13,2,"wk inc flu hosp",2024-01-27,"01","quantile",0.05,92.8743938647625
2024-01-13,3,"wk inc flu hosp",2024-02-03,"01","quantile",0.05,67.6235244376249
2024-01-13,-1,"wk inc flu hosp",2024-01-06,"01","quantile",0.1,241.671766360278
2024-01-13,0,"wk inc flu hosp",2024-01-13,"01","quantile",0.1,246.038749400451
2024-01-13,1,"wk inc flu hosp",2024-01-20,"01","quantile",0.1,185.075092426684
2024-01-13,2,"wk inc flu hosp",2024-01-27,"01","quantile",0.1,148.646114735942
2024-01-13,3,"wk inc flu hosp",2024-02-03,"01","quantile",0.1,123.159900068021
2024-01-13,-1,"wk inc flu hosp",2024-01-06,"01","quantile",0.15,270.258957875955
2024-01-13,0,"wk inc flu hosp",2024-01-13,"01","quantile",0.15,274.219565340752
2024-01-13,1,"wk inc flu hosp",2024-01-20,"01","quantile",0.15,224.318340981202
2024-01-13,2,"wk inc flu hosp",2024-01-27,"01","quantile",0.15,192.856384139571
2024-01-13,3,"wk inc flu hosp",2024-02-03,"01","quantile",0.15,166.67370544444
2024-01-13,-1,"wk inc flu hosp",2024-01-06,"01","quantile",0.2,289.561247420423
2024-01-13,0,"wk inc flu hosp",2024-01-13,"01","quantile",0.2,292.95128957655
2024-01-13,1,"wk inc flu hosp",2024-01-20,"01","quantile",0.2,253.676616363481
2024-01-13,2,"wk inc flu hosp",2024-01-27,"01","quantile",0.2,227.959367991174
2024-01-13,3,"wk inc flu hosp",2024-02-03,"01","quantile",0.2,205.270982580628
2024-01-13,-1,"wk inc flu hosp",2024-01-06,"01","quantile",0.25,303.781580491219
2024-01-13,0,"wk inc flu hosp",2024-01-13,"01","quantile",0.25,306.866531150861
2024-01-13,1,"wk inc flu hosp",2024-01-20,"01","quantile",0.25,276.484033545406
2024-01-13,2,"wk inc flu hosp",2024-01-27,"01","quantile",0.25,256.70821610332
2024-01-13,3,"wk inc flu hosp",2024-02-03,"01","quantile",0.25,238.406004988219
2024-01-13,-1,"wk inc flu hosp",2024-01-06,"01","quantile",0.3,314.795136289413
2024-01-13,0,"wk inc flu hosp",2024-01-13,"01","quantile",0.3,317.863383670228
2024-01-13,1,"wk inc flu hosp",2024-01-20,"01","quantile",0.3,295.817357638028
2024-01-13,2,"wk inc flu hosp",2024-01-27,"01","quantile",0.3,281.059179065081
2024-01-13,3,"wk inc flu hosp",2024-02-03,"01","quantile",0.3,267.201350345245
2024-01-13,-1,"wk inc flu hosp",2024-01-06,"01","quantile",0.35,324.116097553241
2024-01-13,0,"wk inc flu hosp",2024-01-13,"01","quantile",0.35,327.571969644903
2024-01-13,1,"wk inc flu hosp",2024-01-20,"01","quantile",0.35,312.001091162545
2024-01-13,2,"wk inc flu hosp",2024-01-27,"01","quantile",0.35,303.079880825927
2024-01-13,3,"wk inc flu hosp",2024-02-03,"01","quantile",0.35,293.094007606696
2024-01-13,-1,"wk inc flu hosp",2024-01-06,"01","quantile",0.4,332.221527164939
2024-01-13,0,"wk inc flu hosp",2024-01-13,"01","quantile",0.4,335.562973099521
2024-01-13,1,"wk inc flu hosp",2024-01-20,"01","quantile",0.4,326.616569721877
2024-01-13,2,"wk inc flu hosp",2024-01-27,"01","quantile",0.4,323.584963980941
2024-01-13,3,"wk inc flu hosp",2024-02-03,"01","quantile",0.4,319.028962965015
2024-01-13,-1,"wk inc flu hosp",2024-01-06,"01","quantile",0.45,339.317330119236
2024-01-13,0,"wk inc flu hosp",2024-01-13,"01","quantile",0.45,342.87867764498
2024-01-13,1,"wk inc flu hosp",2024-01-20,"01","quantile",0.45,340.237016515664
