"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"01","quantile",0.01,0
2024-03-23,0,"wk inc flu hosp",2024-03-23,"01","quantile",0.01,0
2024-03-23,1,"wk inc flu hosp",2024-03-30,"01","quantile",0.01,0
2024-03-23,2,"wk inc flu hosp",2024-04-06,"01","quantile",0.01,0
2024-03-23,3,"wk inc flu hosp",2024-04-13,"01","quantile",0.01,0
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"01","quantile",0.025,7.5222487466002
2024-03-23,0,"wk inc flu hosp",2024-03-23,"01","quantile",0.025,5.58610685587095
2024-03-23,1,"wk inc flu hosp",2024-03-30,"01","quantile",0.025,0
2024-03-23,2,"wk inc flu hosp",2024-04-06,"01","quantile",0.025,0
2024-03-23,3,"wk inc flu hosp",2024-04-13,"01","quantile",0.025,0
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"01","quantile",0.05,14.1796692558
2024-03-23,0,"wk inc flu hosp",2024-03-23,"01","quantile",0.05,12.6787396923602
2024-03-23,1,"wk inc flu hosp",2024-03-30,"01","quantile",0.05,0
2024-03-23,2,"wk inc flu hosp",2024-04-06,"01","quantile",0.05,0
2024-03-23,3,"wk inc flu hosp",2024-04-13,"01","quantile",0.05,0
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"01","quantile",0.1,21.863637610306
2024-03-23,0,"wk inc flu hosp",2024-03-23,"01","quantile",0.1,20.2307936716624
2024-03-23,1,"wk inc flu hosp",2024-03-30,"01","quantile",0.1,1.98864797991116
2024-03-23,2,"wk inc flu hosp",2024-04-06,"01","quantile",0.1,0
2024-03-23,3,"wk inc flu hosp",2024-04-13,"01","quantile",0.1,0
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"01","quantile",0.15,26.9279681602955
2024-03-23,0,"wk inc flu hosp",2024-03-23,"01","quantile",0.15,25.2879377440591
2024-03-23,1,"wk inc flu hosp",2024-03-30,"01","quantile",0.15,8.26524149573912
2024-03-23,2,"wk inc flu hosp",2024-04-06,"01","quantile",0.15,0
2024-03-23,3,"wk inc flu hosp",2024-04-13,"01","quantile",0.15,0
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"01","quantile",0.2,31.1359757542073
2024-03-23,0,"wk inc flu hosp",2024-03-23,"01","quantile",0.2,29.4557603312282
2024-03-23,1,"wk inc flu hosp",2024-03-30,"01","quantile",0.2,13.2561043341228
2024-03-23,2,"wk inc flu hosp",2024-04-06,"01","quantile",0.2,3.48272144545935
2024-03-23,3,"wk inc flu hosp",2024-04-13,"01","quantile",0.2,0
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"01","quantile",0.25,34.6770491509847
2024-03-23,0,"wk inc flu hosp",2024-03-23,"01","quantile",0.25,32.9350206703268
2024-03-23,1,"wk inc flu hosp",2024-03-30,"01","quantile",0.25,17.3850599330988
2024-03-23,2,"wk inc flu hosp",2024-04-06,"01","quantile",0.25,8.07799360861411
2024-03-23,3,"wk inc flu hosp",2024-04-13,"01","quantile",0.25,2.79799069401111
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"01","quantile",0.3,37.876482754745
2024-03-23,0,"wk inc flu hosp",2024-03-23,"01","quantile",0.3,36.0578203100138
2024-03-23,1,"wk inc flu hosp",2024-03-30,"01","quantile",0.3,21.273918343281
2024-03-23,2,"wk inc flu hosp",2024-04-06,"01","quantile",0.3,12.2718720001846
2024-03-23,3,"wk inc flu hosp",2024-04-13,"01","quantile",0.3,7.01096947891328
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"01","quantile",0.35,40.7444717978486
2024-03-23,0,"wk inc flu hosp",2024-03-23,"01","quantile",0.35,38.9132889120522
2024-03-23,1,"wk inc flu hosp",2024-03-30,"01","quantile",0.35,24.8109029564353
2024-03-23,2,"wk inc flu hosp",2024-04-06,"01","quantile",0.35,15.9237929196627
2024-03-23,3,"wk inc flu hosp",2024-04-13,"01","quantile",0.35,10.9478212881135
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"01","quantile",0.4,43.5244118598722
2024-03-23,0,"wk inc flu hosp",2024-03-23,"01","quantile",0.4,41.6351252038503
2024-03-23,1,"wk inc flu hosp",2024-03-30,"01","quantile",0.4,28.212690882909
2024-03-23,2,"wk inc flu hosp",2024-04-06,"01","quantile",0.4,19.5636056453598
2024-03-23,3,"wk inc flu hosp",2024-04-13,"01","quantile",0.4,14.8185175375353
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"01","quantile",0.45,46.1564574079003
2024-03-23,0,"wk inc flu hosp",2024-03-23,"01","quantile",0.45,44.3411780259818
2024-03-23,1,"wk inc flu hosp",2024-03-30,"01","quantile",0.45,31.4297324830614
2024-03-23,2,"wk inc flu hosp",2024-04-06,"01","quantile",0.45,23.1177365888023
2024-03-23,3,"wk inc flu hosp",2024-04-13,"01","quantile",0.45,18.5774392061793
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"01","quantile",0.5,48.7478147283207
2024-03-23,0,"wk inc flu hosp",2024-03-23,"01","quantile",0.5,47.043233702306
2024-03-23,1,"wk inc flu hosp",2024-03-30,"01","quantile",0.5,34.6767965165814
2024-03-23,2,"wk inc flu hosp",2024-04-06,"01","quantile",0.5,26.6670318330891
2024-03-23,3,"wk inc flu hosp",2024-04-13,"01","quantile",0.5,22.2467591889594
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"01","quantile",0.55,51.3456720359618
2024-03-23,0,"wk inc flu hosp",2024-03-23,"01","quantile",0.55,49.6308232018128
2024-03-23,1,"wk inc flu hosp",2024-03-30,"01","quantile",0.55,38.0317439678712
2024-03-23,2,"wk inc flu hosp",2024-04-06,"01","quantile",0.55,30.1677077574464
2024-03-23,3,"wk inc flu hosp",2024-04-13,"01","quantile",0.55,25.9276778585628
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"01","quantile",0.6,54.0457547662804
2024-03-23,0,"wk inc flu hosp",2024-03-23,"01","quantile",0.6,52.2356892760904
2024-03-23,1,"wk inc flu hosp",2024-03-30,"01","quantile",0.6,41.3045278331565
2024-03-23,2,"wk inc flu hosp",2024-04-06,"01","quantile",0.6,33.8489041132641
2024-03-23,3,"wk inc flu hosp",2024-04-13,"01","quantile",0.6,29.7668187774523
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"01","quantile",0.65,56.7957290374048
2024-03-23,0,"wk inc flu hosp",2024-03-23,"01","quantile",0.65,54.9777120111344
2024-03-23,1,"wk inc flu hosp",2024-03-30,"01","quantile",0.65,44.8906790720183
2024-03-23,2,"wk inc flu hosp",2024-04-06,"01","quantile",0.65,37.5890300112864
2024-03-23,3,"wk inc flu hosp",2024-04-13,"01","quantile",0.65,33.757844389789
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"01","quantile",0.7,59.7096212671158
2024-03-23,0,"wk inc flu hosp",2024-03-23,"01","quantile",0.7,57.8517176513731
2024-03-23,1,"wk inc flu hosp",2024-03-30,"01","quantile",0.7,48.5802768178783
2024-03-23,2,"wk inc flu hosp",2024-04-06,"01","quantile",0.7,41.5248503634697
2024-03-23,3,"wk inc flu hosp",2024-04-13,"01","quantile",0.7,37.8735376261883
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"01","quantile",0.75,62.7850593840978
2024-03-23,0,"wk inc flu hosp",2024-03-23,"01","quantile",0.75,61.0707402243943
2024-03-23,1,"wk inc flu hosp",2024-03-30,"01","quantile",0.75,52.5865965808524
2024-03-23,2,"wk inc flu hosp",2024-04-06,"01","quantile",0.75,46.1101535503898
2024-03-23,3,"wk inc flu hosp",2024-04-13,"01","quantile",0.75,42.3794666445936
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"01","quantile",0.8,66.4097939659856
2024-03-23,0,"wk inc flu hosp",2024-03-23,"01","quantile",0.8,64.5907133325911
2024-03-23,1,"wk inc flu hosp",2024-03-30,"01","quantile",0.8,57.0589753922843
2024-03-23,2,"wk inc flu hosp",2024-04-06,"01","quantile",0.8,51.1023504490847
2024-03-23,3,"wk inc flu hosp",2024-04-13,"01","quantile",0.8,47.7216331142262
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"01","quantile",0.85,70.6403201046275
2024-03-23,0,"wk inc flu hosp",2024-03-23,"01","quantile",0.85,68.8867372521298
2024-03-23,1,"wk inc flu hosp",2024-03-30,"01","quantile",0.85,62.4497338197797
2024-03-23,2,"wk inc flu hosp",2024-04-06,"01","quantile",0.85,57.0271714638498
2024-03-23,3,"wk inc flu hosp",2024-04-13,"01","quantile",0.85,54.3365939624652
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"01","quantile",0.9,75.9276421021677
2024-03-23,0,"wk inc flu hosp",2024-03-23,"01","quantile",0.9,74.2708250738441
2024-03-23,1,"wk inc flu hosp",2024-03-30,"01","quantile",0.9,69.221280237975
2024-03-23,2,"wk inc flu hosp",2024-04-06,"01","quantile",0.9,64.8052790033024
2024-03-23,3,"wk inc flu hosp",2024-04-13,"01","quantile",0.9,62.7767449864475
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"01","quantile",0.95,83.6668773265834
2024-03-23,0,"wk inc flu hosp",2024-03-23,"01","quantile",0.95,82.824047871217
2024-03-23,1,"wk inc flu hosp",2024-03-30,"01","quantile",0.95,80.0854143495791
2024-03-23,2,"wk inc flu hosp",2024-04-06,"01","quantile",0.95,76.9111035588889
2024-03-23,3,"wk inc flu hosp",2024-04-13,"01","quantile",0.95,76.2635529212205
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"01","quantile",0.975,91.1642763623404
2024-03-23,0,"wk inc flu hosp",2024-03-23,"01","quantile",0.975,90.5092119374259
2024-03-23,1,"wk inc flu hosp",2024-03-30,"01","quantile",0.975,90.3154757879546
2024-03-23,2,"wk inc flu hosp",2024-04-06,"01","quantile",0.975,88.7130542354445
2024-03-23,3,"wk inc flu hosp",2024-04-13,"01","quantile",0.975,90.8658723987322
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"01","quantile",0.99,99.6773727031553
2024-03-23,0,"wk inc flu hosp",2024-03-23,"01","quantile",0.99,99.6201824016273
2024-03-23,1,"wk inc flu hosp",2024-03-30,"01","quantile",0.99,105.620619911289
2024-03-23,2,"wk inc flu hosp",2024-04-06,"01","quantile",0.99,107.499224780239
2024-03-23,3,"wk inc flu hosp",2024-04-13,"01","quantile",0.99,122.340578438643
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"02","quantile",0.01,0
2024-03-23,0,"wk inc flu hosp",2024-03-23,"02","quantile",0.01,0
2024-03-23,1,"wk inc flu hosp",2024-03-30,"02","quantile",0.01,0
2024-03-23,2,"wk inc flu hosp",2024-04-06,"02","quantile",0.01,0
2024-03-23,3,"wk inc flu hosp",2024-04-13,"02","quantile",0.01,0
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"02","quantile",0.025,0
2024-03-23,0,"wk inc flu hosp",2024-03-23,"02","quantile",0.025,0
2024-03-23,1,"wk inc flu hosp",2024-03-30,"02","quantile",0.025,0
2024-03-23,2,"wk inc flu hosp",2024-04-06,"02","quantile",0.025,0
2024-03-23,3,"wk inc flu hosp",2024-04-13,"02","quantile",0.025,0
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"02","quantile",0.05,0.222976007565927
2024-03-23,0,"wk inc flu hosp",2024-03-23,"02","quantile",0.05,0
2024-03-23,1,"wk inc flu hosp",2024-03-30,"02","quantile",0.05,0
2024-03-23,2,"wk inc flu hosp",2024-04-06,"02","quantile",0.05,0
2024-03-23,3,"wk inc flu hosp",2024-04-13,"02","quantile",0.05,0
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"02","quantile",0.1,2.34753745818595
2024-03-23,0,"wk inc flu hosp",2024-03-23,"02","quantile",0.1,2.16702155476334
2024-03-23,1,"wk inc flu hosp",2024-03-30,"02","quantile",0.1,0.417859465824398
2024-03-23,2,"wk inc flu hosp",2024-04-06,"02","quantile",0.1,0
2024-03-23,3,"wk inc flu hosp",2024-04-13,"02","quantile",0.1,0
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"02","quantile",0.15,3.81314952158485
2024-03-23,0,"wk inc flu hosp",2024-03-23,"02","quantile",0.15,3.62895011142511
2024-03-23,1,"wk inc flu hosp",2024-03-30,"02","quantile",0.15,2.19318578976951
2024-03-23,2,"wk inc flu hosp",2024-04-06,"02","quantile",0.15,1.23185339812975
2024-03-23,3,"wk inc flu hosp",2024-04-13,"02","quantile",0.15,0.444265006786358
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"02","quantile",0.2,4.98907779075397
2024-03-23,0,"wk inc flu hosp",2024-03-23,"02","quantile",0.2,4.75268940212765
