"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2024-03-09,-1,"wk inc flu hosp",2024-03-02,"01","quantile",0.01,8.98191119305102
2024-03-09,0,"wk inc flu hosp",2024-03-09,"01","quantile",0.01,8.31301149113709
2024-03-09,1,"wk inc flu hosp",2024-03-16,"01","quantile",0.01,4.67077000669351
2024-03-09,2,"wk inc flu hosp",2024-03-23,"01","quantile",0.01,3.39365550013135
2024-03-09,3,"wk inc flu hosp",2024-03-30,"01","quantile",0.01,2.69283222899338
2024-03-09,-1,"wk inc flu hosp",2024-03-02,"01","quantile",0.025,17.1976480856414
2024-03-09,0,"wk inc flu hosp",2024-03-09,"01","quantile",0.025,16.8331597096095
2024-03-09,1,"wk inc flu hosp",2024-03-16,"01","quantile",0.025,10.5403081506821
2024-03-09,2,"wk inc flu hosp",2024-03-23,"01","quantile",0.025,7.99988150429104
2024-03-09,3,"wk inc flu hosp",2024-03-30,"01","quantile",0.025,6.83874976086652
2024-03-09,-1,"wk inc flu hosp",2024-03-02,"01","quantile",0.05,26.4012702606959
2024-03-09,0,"wk inc flu hosp",2024-03-09,"01","quantile",0.05,25.9724014348908
2024-03-09,1,"wk inc flu hosp",2024-03-16,"01","quantile",0.05,17.7842227712871
2024-03-09,2,"wk inc flu hosp",2024-03-23,"01","quantile",0.05,14.6737931154858
2024-03-09,3,"wk inc flu hosp",2024-03-30,"01","quantile",0.05,12.9060461582631
2024-03-09,-1,"wk inc flu hosp",2024-03-02,"01","quantile",0.1,37.7854955630517
2024-03-09,0,"wk inc flu hosp",2024-03-09,"01","quantile",0.1,37.9986045081135
2024-03-09,1,"wk inc flu hosp",2024-03-16,"01","quantile",0.1,29.0919533866141
2024-03-09,2,"wk inc flu hosp",2024-03-23,"01","quantile",0.1,25.3109636886003
2024-03-09,3,"wk inc flu hosp",2024-03-30,"01","quantile",0.1,22.4672934673887
2024-03-09,-1,"wk inc flu hosp",2024-03-02,"01","quantile",0.15,46.0345824322356
2024-03-09,0,"wk inc flu hosp",2024-03-09,"01","quantile",0.15,46.1720417037734
2024-03-09,1,"wk inc flu hosp",2024-03-16,"01","quantile",0.15,37.8170733773498
2024-03-09,2,"wk inc flu hosp",2024-03-23,"01","quantile",0.15,33.7014168191467
2024-03-09,3,"wk inc flu hosp",2024-03-30,"01","quantile",0.15,30.7578629362376
2024-03-09,-1,"wk inc flu hosp",2024-03-02,"01","quantile",0.2,52.5657415323313
2024-03-09,0,"wk inc flu hosp",2024-03-09,"01","quantile",0.2,52.7081109269403
2024-03-09,1,"wk inc flu hosp",2024-03-16,"01","quantile",0.2,45.4492940935905
2024-03-09,2,"wk inc flu hosp",2024-03-23,"01","quantile",0.2,41.3559667375905
2024-03-09,3,"wk inc flu hosp",2024-03-30,"01","quantile",0.2,38.243835148418
2024-03-09,-1,"wk inc flu hosp",2024-03-02,"01","quantile",0.25,58.2823378590758
2024-03-09,0,"wk inc flu hosp",2024-03-09,"01","quantile",0.25,58.4717498851991
2024-03-09,1,"wk inc flu hosp",2024-03-16,"01","quantile",0.25,52.2645841789111
2024-03-09,2,"wk inc flu hosp",2024-03-23,"01","quantile",0.25,48.3554683475476
2024-03-09,3,"wk inc flu hosp",2024-03-30,"01","quantile",0.25,45.2911649645398
2024-03-09,-1,"wk inc flu hosp",2024-03-02,"01","quantile",0.3,63.362237738229
2024-03-09,0,"wk inc flu hosp",2024-03-09,"01","quantile",0.3,63.6126192158542
2024-03-09,1,"wk inc flu hosp",2024-03-16,"01","quantile",0.3,58.6960584725253
2024-03-09,2,"wk inc flu hosp",2024-03-23,"01","quantile",0.3,55.0573948629802
2024-03-09,3,"wk inc flu hosp",2024-03-30,"01","quantile",0.3,52.0683885171714
2024-03-09,-1,"wk inc flu hosp",2024-03-02,"01","quantile",0.35,68.3218574799475
2024-03-09,0,"wk inc flu hosp",2024-03-09,"01","quantile",0.35,68.4920746589893
2024-03-09,1,"wk inc flu hosp",2024-03-16,"01","quantile",0.35,64.6675330833102
2024-03-09,2,"wk inc flu hosp",2024-03-23,"01","quantile",0.35,61.3769985574431
2024-03-09,3,"wk inc flu hosp",2024-03-30,"01","quantile",0.35,58.4834939859022
2024-03-09,-1,"wk inc flu hosp",2024-03-02,"01","quantile",0.4,72.9286098604259
2024-03-09,0,"wk inc flu hosp",2024-03-09,"01","quantile",0.4,73.0990048094051
2024-03-09,1,"wk inc flu hosp",2024-03-16,"01","quantile",0.4,70.3879010721565
2024-03-09,2,"wk inc flu hosp",2024-03-23,"01","quantile",0.4,67.7053039622051
2024-03-09,3,"wk inc flu hosp",2024-03-30,"01","quantile",0.4,64.9359332437517
2024-03-09,-1,"wk inc flu hosp",2024-03-02,"01","quantile",0.45,77.267952580249
2024-03-09,0,"wk inc flu hosp",2024-03-09,"01","quantile",0.45,77.6783291213176
2024-03-09,1,"wk inc flu hosp",2024-03-16,"01","quantile",0.45,76.3337478685693
2024-03-09,2,"wk inc flu hosp",2024-03-23,"01","quantile",0.45,74.1615853749076
2024-03-09,3,"wk inc flu hosp",2024-03-30,"01","quantile",0.45,71.6402580511423
2024-03-09,-1,"wk inc flu hosp",2024-03-02,"01","quantile",0.5,81.6969401992418
2024-03-09,0,"wk inc flu hosp",2024-03-09,"01","quantile",0.5,82.0009682464684
2024-03-09,1,"wk inc flu hosp",2024-03-16,"01","quantile",0.5,82.0429867022183
2024-03-09,2,"wk inc flu hosp",2024-03-23,"01","quantile",0.5,80.8467332458674
2024-03-09,3,"wk inc flu hosp",2024-03-30,"01","quantile",0.5,78.3237328907879
2024-03-09,-1,"wk inc flu hosp",2024-03-02,"01","quantile",0.55,86.0685342657027
2024-03-09,0,"wk inc flu hosp",2024-03-09,"01","quantile",0.55,86.2927619905441
2024-03-09,1,"wk inc flu hosp",2024-03-16,"01","quantile",0.55,87.9010960839222
2024-03-09,2,"wk inc flu hosp",2024-03-23,"01","quantile",0.55,87.2917464124338
2024-03-09,3,"wk inc flu hosp",2024-03-30,"01","quantile",0.55,85.3846613921844
2024-03-09,-1,"wk inc flu hosp",2024-03-02,"01","quantile",0.6,90.530985336913
2024-03-09,0,"wk inc flu hosp",2024-03-09,"01","quantile",0.6,90.7875736824945
2024-03-09,1,"wk inc flu hosp",2024-03-16,"01","quantile",0.6,93.8808452672248
2024-03-09,2,"wk inc flu hosp",2024-03-23,"01","quantile",0.6,93.8066215145548
2024-03-09,3,"wk inc flu hosp",2024-03-30,"01","quantile",0.6,92.6463921668966
2024-03-09,-1,"wk inc flu hosp",2024-03-02,"01","quantile",0.65,95.1071713263499
2024-03-09,0,"wk inc flu hosp",2024-03-09,"01","quantile",0.65,95.3317762575157
2024-03-09,1,"wk inc flu hosp",2024-03-16,"01","quantile",0.65,100.106117321875
2024-03-09,2,"wk inc flu hosp",2024-03-23,"01","quantile",0.65,101.267358886779
2024-03-09,3,"wk inc flu hosp",2024-03-30,"01","quantile",0.65,100.396664824216
2024-03-09,-1,"wk inc flu hosp",2024-03-02,"01","quantile",0.7,99.9440389653167
2024-03-09,0,"wk inc flu hosp",2024-03-09,"01","quantile",0.7,100.223827017687
2024-03-09,1,"wk inc flu hosp",2024-03-16,"01","quantile",0.7,106.837594724313
2024-03-09,2,"wk inc flu hosp",2024-03-23,"01","quantile",0.7,109.188948183118
2024-03-09,3,"wk inc flu hosp",2024-03-30,"01","quantile",0.7,108.689857593042
2024-03-09,-1,"wk inc flu hosp",2024-03-02,"01","quantile",0.75,105.241374625106
2024-03-09,0,"wk inc flu hosp",2024-03-09,"01","quantile",0.75,105.650647266141
2024-03-09,1,"wk inc flu hosp",2024-03-16,"01","quantile",0.75,114.14745364193
2024-03-09,2,"wk inc flu hosp",2024-03-23,"01","quantile",0.75,118.103821618636
2024-03-09,3,"wk inc flu hosp",2024-03-30,"01","quantile",0.75,118.71117577773
2024-03-09,-1,"wk inc flu hosp",2024-03-02,"01","quantile",0.8,111.22778946103
2024-03-09,0,"wk inc flu hosp",2024-03-09,"01","quantile",0.8,111.675461442893
2024-03-09,1,"wk inc flu hosp",2024-03-16,"01","quantile",0.8,122.620002006268
2024-03-09,2,"wk inc flu hosp",2024-03-23,"01","quantile",0.8,128.201896349178
2024-03-09,3,"wk inc flu hosp",2024-03-30,"01","quantile",0.8,130.165642858592
2024-03-09,-1,"wk inc flu hosp",2024-03-02,"01","quantile",0.85,118.377425690026
2024-03-09,0,"wk inc flu hosp",2024-03-09,"01","quantile",0.85,118.981999067186
2024-03-09,1,"wk inc flu hosp",2024-03-16,"01","quantile",0.85,132.737483716437
2024-03-09,2,"wk inc flu hosp",2024-03-23,"01","quantile",0.85,140.519009076457
2024-03-09,3,"wk inc flu hosp",2024-03-30,"01","quantile",0.85,144.199396488073
2024-03-09,-1,"wk inc flu hosp",2024-03-02,"01","quantile",0.9,127.206271041897
2024-03-09,0,"wk inc flu hosp",2024-03-09,"01","quantile",0.9,128.397019389269
2024-03-09,1,"wk inc flu hosp",2024-03-16,"01","quantile",0.9,146.041638823674
2024-03-09,2,"wk inc flu hosp",2024-03-23,"01","quantile",0.9,157.197952328921
2024-03-09,3,"wk inc flu hosp",2024-03-30,"01","quantile",0.9,163.259755886197
2024-03-09,-1,"wk inc flu hosp",2024-03-02,"01","quantile",0.95,140.868405994824
2024-03-09,0,"wk inc flu hosp",2024-03-09,"01","quantile",0.95,142.421667199841
2024-03-09,1,"wk inc flu hosp",2024-03-16,"01","quantile",0.95,166.488226680657
2024-03-09,2,"wk inc flu hosp",2024-03-23,"01","quantile",0.95,183.819604941217
2024-03-09,3,"wk inc flu hosp",2024-03-30,"01","quantile",0.95,197.242209039847
2024-03-09,-1,"wk inc flu hosp",2024-03-02,"01","quantile",0.975,152.897336503692
2024-03-09,0,"wk inc flu hosp",2024-03-09,"01","quantile",0.975,156.424760251484
2024-03-09,1,"wk inc flu hosp",2024-03-16,"01","quantile",0.975,186.912477791125
2024-03-09,2,"wk inc flu hosp",2024-03-23,"01","quantile",0.975,213.430100465794
2024-03-09,3,"wk inc flu hosp",2024-03-30,"01","quantile",0.975,232.453991621418
2024-03-09,-1,"wk inc flu hosp",2024-03-02,"01","quantile",0.99,167.780496987585
2024-03-09,0,"wk inc flu hosp",2024-03-09,"01","quantile",0.99,173.920017474233
2024-03-09,1,"wk inc flu hosp",2024-03-16,"01","quantile",0.99,213.760467877314
2024-03-09,2,"wk inc flu hosp",2024-03-23,"01","quantile",0.99,257.39672434986
2024-03-09,3,"wk inc flu hosp",2024-03-30,"01","quantile",0.99,288.432697300593
2024-03-09,-1,"wk inc flu hosp",2024-03-02,"02","quantile",0.01,0.279380246919779
2024-03-09,0,"wk inc flu hosp",2024-03-09,"02","quantile",0.01,0.285903873402661
2024-03-09,1,"wk inc flu hosp",2024-03-16,"02","quantile",0.01,0.194983069902906
2024-03-09,2,"wk inc flu hosp",2024-03-23,"02","quantile",0.01,0.165475912392989
2024-03-09,3,"wk inc flu hosp",2024-03-30,"02","quantile",0.01,0.156594993959119
2024-03-09,-1,"wk inc flu hosp",2024-03-02,"02","quantile",0.025,0.691697836130867
2024-03-09,0,"wk inc flu hosp",2024-03-09,"02","quantile",0.025,0.687242638879101
2024-03-09,1,"wk inc flu hosp",2024-03-16,"02","quantile",0.025,0.486741357129175
2024-03-09,2,"wk inc flu hosp",2024-03-23,"02","quantile",0.025,0.429254694670019
2024-03-09,3,"wk inc flu hosp",2024-03-30,"02","quantile",0.025,0.41737767628599
2024-03-09,-1,"wk inc flu hosp",2024-03-02,"02","quantile",0.05,1.35881487702345
2024-03-09,0,"wk inc flu hosp",2024-03-09,"02","quantile",0.05,1.34119955016336
2024-03-09,1,"wk inc flu hosp",2024-03-16,"02","quantile",0.05,0.965902330277701
2024-03-09,2,"wk inc flu hosp",2024-03-23,"02","quantile",0.05,0.866868389237796
2024-03-09,3,"wk inc flu hosp",2024-03-30,"02","quantile",0.05,0.829676184767322
2024-03-09,-1,"wk inc flu hosp",2024-03-02,"02","quantile",0.1,2.51665193974973
2024-03-09,0,"wk inc flu hosp",2024-03-09,"02","quantile",0.1,2.55470583121223
2024-03-09,1,"wk inc flu hosp",2024-03-16,"02","quantile",0.1,1.8843934541559
2024-03-09,2,"wk inc flu hosp",2024-03-23,"02","quantile",0.1,1.70831598059909
2024-03-09,3,"wk inc flu hosp",2024-03-30,"02","quantile",0.1,1.64769063722079
2024-03-09,-1,"wk inc flu hosp",2024-03-02,"02","quantile",0.15,3.51408203587353
