"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2023-10-21,-1,"wk inc flu hosp",2023-10-14,"12","quantile",0.01,44.1451687632572
2023-10-21,0,"wk inc flu hosp",2023-10-21,"12","quantile",0.01,50.9071976845655
2023-10-21,1,"wk inc flu hosp",2023-10-28,"12","quantile",0.01,47.777505199277
2023-10-21,2,"wk inc flu hosp",2023-11-04,"12","quantile",0.01,43.6790718866568
2023-10-21,3,"wk inc flu hosp",2023-11-11,"12","quantile",0.01,40.1105119987939
2023-10-21,-1,"wk inc flu hosp",2023-10-14,"12","quantile",0.025,69.4945756399317
2023-10-21,0,"wk inc flu hosp",2023-10-21,"12","quantile",0.025,77.4273125030646
2023-10-21,1,"wk inc flu hosp",2023-10-28,"12","quantile",0.025,72.7697925840214
2023-10-21,2,"wk inc flu hosp",2023-11-04,"12","quantile",0.025,70.5289916486602
2023-10-21,3,"wk inc flu hosp",2023-11-11,"12","quantile",0.025,65.6133142130794
2023-10-21,-1,"wk inc flu hosp",2023-10-14,"12","quantile",0.05,92.4994122328237
2023-10-21,0,"wk inc flu hosp",2023-10-21,"12","quantile",0.05,101.178133643805
2023-10-21,1,"wk inc flu hosp",2023-10-28,"12","quantile",0.05,96.0226478822904
2023-10-21,2,"wk inc flu hosp",2023-11-04,"12","quantile",0.05,94.8492332492289
2023-10-21,3,"wk inc flu hosp",2023-11-11,"12","quantile",0.05,92.0065728657191
2023-10-21,-1,"wk inc flu hosp",2023-10-14,"12","quantile",0.1,120.019888155412
2023-10-21,0,"wk inc flu hosp",2023-10-21,"12","quantile",0.1,129.377019395301
2023-10-21,1,"wk inc flu hosp",2023-10-28,"12","quantile",0.1,124.671607293239
2023-10-21,2,"wk inc flu hosp",2023-11-04,"12","quantile",0.1,127.371723012836
2023-10-21,3,"wk inc flu hosp",2023-11-11,"12","quantile",0.1,125.588469633016
2023-10-21,-1,"wk inc flu hosp",2023-10-14,"12","quantile",0.15,138.534307339875
2023-10-21,0,"wk inc flu hosp",2023-10-21,"12","quantile",0.15,149.421469676513
2023-10-21,1,"wk inc flu hosp",2023-10-28,"12","quantile",0.15,146.563575638206
2023-10-21,2,"wk inc flu hosp",2023-11-04,"12","quantile",0.15,151.206222330014
2023-10-21,3,"wk inc flu hosp",2023-11-11,"12","quantile",0.15,150.237350372261
