"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2024-03-02,-1,"wk inc flu hosp",2024-02-24,"01","quantile",0.01,0
2024-03-02,0,"wk inc flu hosp",2024-03-02,"01","quantile",0.01,0
2024-03-02,1,"wk inc flu hosp",2024-03-09,"01","quantile",0.01,0
2024-03-02,2,"wk inc flu hosp",2024-03-16,"01","quantile",0.01,0
2024-03-02,3,"wk inc flu hosp",2024-03-23,"01","quantile",0.01,0
2024-03-02,-1,"wk inc flu hosp",2024-02-24,"01","quantile",0.025,0
2024-03-02,0,"wk inc flu hosp",2024-03-02,"01","quantile",0.025,0
2024-03-02,1,"wk inc flu hosp",2024-03-09,"01","quantile",0.025,0
2024-03-02,2,"wk inc flu hosp",2024-03-16,"01","quantile",0.025,0
2024-03-02,3,"wk inc flu hosp",2024-03-23,"01","quantile",0.025,0
2024-03-02,-1,"wk inc flu hosp",2024-02-24,"01","quantile",0.05,15.2734949223819
2024-03-02,0,"wk inc flu hosp",2024-03-02,"01","quantile",0.05,14.194200658409
2024-03-02,1,"wk inc flu hosp",2024-03-09,"01","quantile",0.05,0
2024-03-02,2,"wk inc flu hosp",2024-03-16,"01","quantile",0.05,0
2024-03-02,3,"wk inc flu hosp",2024-03-23,"01","quantile",0.05,0
2024-03-02,-1,"wk inc flu hosp",2024-02-24,"01","quantile",0.1,39.3709635740999
2024-03-02,0,"wk inc flu hosp",2024-03-02,"01","quantile",0.1,38.5651840290141
2024-03-02,1,"wk inc flu hosp",2024-03-09,"01","quantile",0.1,11.3389982411768
2024-03-02,2,"wk inc flu hosp",2024-03-16,"01","quantile",0.1,0
2024-03-02,3,"wk inc flu hosp",2024-03-23,"01","quantile",0.1,0
2024-03-02,-1,"wk inc flu hosp",2024-02-24,"01","quantile",0.15,48.7345494707155
2024-03-02,0,"wk inc flu hosp",2024-03-02,"01","quantile",0.15,47.6987253716875
2024-03-02,1,"wk inc flu hosp",2024-03-09,"01","quantile",0.15,25.1012340294443
2024-03-02,2,"wk inc flu hosp",2024-03-16,"01","quantile",0.15,9.96053234545532
