"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2023-11-25,-1,"wk inc flu hosp",2023-11-18,"22","quantile",0.01,36.0262334704211
2023-11-25,0,"wk inc flu hosp",2023-11-25,"22","quantile",0.01,34.4835870455865
2023-11-25,1,"wk inc flu hosp",2023-12-02,"22","quantile",0.01,19.7268870454503
2023-11-25,2,"wk inc flu hosp",2023-12-09,"22","quantile",0.01,12.2157792910302
2023-11-25,3,"wk inc flu hosp",2023-12-16,"22","quantile",0.01,9.78651100988978
2023-11-25,-1,"wk inc flu hosp",2023-11-18,"22","quantile",0.025,49.9808015954903
2023-11-25,0,"wk inc flu hosp",2023-11-25,"22","quantile",0.025,48.4909650809406
2023-11-25,1,"wk inc flu hosp",2023-12-02,"22","quantile",0.025,31.6755605427308
2023-11-25,2,"wk inc flu hosp",2023-12-09,"22","quantile",0.025,23.8523628025525
2023-11-25,3,"wk inc flu hosp",2023-12-16,"22","quantile",0.025,20.3162719027874
2023-11-25,-1,"wk inc flu hosp",2023-11-18,"22","quantile",0.05,62.1549220343863
2023-11-25,0,"wk inc flu hosp",2023-11-25,"22","quantile",0.05,61.8492704319573
2023-11-25,1,"wk inc flu hosp",2023-12-02,"22","quantile",0.05,44.2976975314747
2023-11-25,2,"wk inc flu hosp",2023-12-09,"22","quantile",0.05,35.7207695270851
2023-11-25,3,"wk inc flu hosp",2023-12-16,"22","quantile",0.05,30.9532019483946
2023-11-25,-1,"wk inc flu hosp",2023-11-18,"22","quantile",0.1,76.6492089967798
2023-11-25,0,"wk inc flu hosp",2023-11-25,"22","quantile",0.1,77.050911288818
2023-11-25,1,"wk inc flu hosp",2023-12-02,"22","quantile",0.1,62.1389513254264
2023-11-25,2,"wk inc flu hosp",2023-12-09,"22","quantile",0.1,52.6209978045398
2023-11-25,3,"wk inc flu hosp",2023-12-16,"22","quantile",0.1,46.3460807823352
2023-11-25,-1,"wk inc flu hosp",2023-11-18,"22","quantile",0.15,86.585665988234
2023-11-25,0,"wk inc flu hosp",2023-11-25,"22","quantile",0.15,87.9356681603332
2023-11-25,1,"wk inc flu hosp",2023-12-02,"22","quantile",0.15,74.8854042262827
2023-11-25,2,"wk inc flu hosp",2023-12-09,"22","quantile",0.15,66.1345443828699
2023-11-25,3,"wk inc flu hosp",2023-12-16,"22","quantile",0.15,59.5965501221015
2023-11-25,-1,"wk inc flu hosp",2023-11-18,"22","quantile",0.2,94.6217658971604
2023-11-25,0,"wk inc flu hosp",2023-11-25,"22","quantile",0.2,96.8872767592914
2023-11-25,1,"wk inc flu hosp",2023-12-02,"22","quantile",0.2,85.9960919337817
2023-11-25,2,"wk inc flu hosp",2023-12-09,"22","quantile",0.2,78.6132976573839
2023-11-25,3,"wk inc flu hosp",2023-12-16,"22","quantile",0.2,72.192400742416
2023-11-25,-1,"wk inc flu hosp",2023-11-18,"22","quantile",0.25,101.322527001732
2023-11-25,0,"wk inc flu hosp",2023-11-25,"22","quantile",0.25,104.933689199388
2023-11-25,1,"wk inc flu hosp",2023-12-02,"22","quantile",0.25,96.7094506578231
2023-11-25,2,"wk inc flu hosp",2023-12-09,"22","quantile",0.25,90.7585541034784
2023-11-25,3,"wk inc flu hosp",2023-12-16,"22","quantile",0.25,84.7416568735404
2023-11-25,-1,"wk inc flu hosp",2023-11-18,"22","quantile",0.3,107.674192651262
