"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2024-01-13,-1,"wk inc flu hosp",2024-01-06,"01","quantile",0.01,217.762228633406
2024-01-13,0,"wk inc flu hosp",2024-01-13,"01","quantile",0.01,218.700306492215
2024-01-13,1,"wk inc flu hosp",2024-01-20,"01","quantile",0.01,142.016462466741
2024-01-13,2,"wk inc flu hosp",2024-01-27,"01","quantile",0.01,91.7809917250386
2024-01-13,3,"wk inc flu hosp",2024-02-03,"01","quantile",0.01,53.9683615911539
2024-01-13,-1,"wk inc flu hosp",2024-01-06,"01","quantile",0.025,235.596260440385
2024-01-13,0,"wk inc flu hosp",2024-01-13,"01","quantile",0.025,235.598620284124
2024-01-13,1,"wk inc flu hosp",2024-01-20,"01","quantile",0.025,165.739130617676
2024-01-13,2,"wk inc flu hosp",2024-01-27,"01","quantile",0.025,117.802823886268
2024-01-13,3,"wk inc flu hosp",2024-02-03,"01","quantile",0.025,80.6524611149979
2024-01-13,-1,"wk inc flu hosp",2024-01-06,"01","quantile",0.05,249.693833690244
2024-01-13,0,"wk inc flu hosp",2024-01-13,"01","quantile",0.05,250.673739206302
2024-01-13,1,"wk inc flu hosp",2024-01-20,"01","quantile",0.05,187.884424493276
2024-01-13,2,"wk inc flu hosp",2024-01-27,"01","quantile",0.05,144.2043003061
2024-01-13,3,"wk inc flu hosp",2024-02-03,"01","quantile",0.05,107.726307823963
2024-01-13,-1,"wk inc flu hosp",2024-01-06,"01","quantile",0.1,267.031682561814
2024-01-13,0,"wk inc flu hosp",2024-01-13,"01","quantile",0.1,268.490230521228
2024-01-13,1,"wk inc flu hosp",2024-01-20,"01","quantile",0.1,214.778113948701
2024-01-13,2,"wk inc flu hosp",2024-01-27,"01","quantile",0.1,177.178389723527
2024-01-13,3,"wk inc flu hosp",2024-02-03,"01","quantile",0.1,143.806761577644
2024-01-13,-1,"wk inc flu hosp",2024-01-06,"01","quantile",0.15,277.667282669686
2024-01-13,0,"wk inc flu hosp",2024-01-13,"01","quantile",0.15,280.651895301862
2024-01-13,1,"wk inc flu hosp",2024-01-20,"01","quantile",0.15,233.895652576155
2024-01-13,2,"wk inc flu hosp",2024-01-27,"01","quantile",0.15,201.681879899936
2024-01-13,3,"wk inc flu hosp",2024-02-03,"01","quantile",0.15,172.181070250286
2024-01-13,-1,"wk inc flu hosp",2024-01-06,"01","quantile",0.2,286.875519457226
2024-01-13,0,"wk inc flu hosp",2024-01-13,"01","quantile",0.2,290.319889637995
2024-01-13,1,"wk inc flu hosp",2024-01-20,"01","quantile",0.2,249.703906432217
2024-01-13,2,"wk inc flu hosp",2024-01-27,"01","quantile",0.2,222.895659307198
2024-01-13,3,"wk inc flu hosp",2024-02-03,"01","quantile",0.2,196.60062515026
2024-01-13,-1,"wk inc flu hosp",2024-01-06,"01","quantile",0.25,294.672090983253
2024-01-13,0,"wk inc flu hosp",2024-01-13,"01","quantile",0.25,298.812605422426
2024-01-13,1,"wk inc flu hosp",2024-01-20,"01","quantile",0.25,264.04722414701
2024-01-13,2,"wk inc flu hosp",2024-01-27,"01","quantile",0.25,241.205648108067
2024-01-13,3,"wk inc flu hosp",2024-02-03,"01","quantile",0.25,218.384561970572
2024-01-13,-1,"wk inc flu hosp",2024-01-06,"01","quantile",0.3,301.865793972251
2024-01-13,0,"wk inc flu hosp",2024-01-13,"01","quantile",0.3,306.483612530265
2024-01-13,1,"wk inc flu hosp",2024-01-20,"01","quantile",0.3,276.657685452611
2024-01-13,2,"wk inc flu hosp",2024-01-27,"01","quantile",0.3,258.769161930586
2024-01-13,3,"wk inc flu hosp",2024-02-03,"01","quantile",0.3,238.87252007633
2024-01-13,-1,"wk inc flu hosp",2024-01-06,"01","quantile",0.35,308.338890005843
2024-01-13,0,"wk inc flu hosp",2024-01-13,"01","quantile",0.35,313.564501148309
2024-01-13,1,"wk inc flu hosp",2024-01-20,"01","quantile",0.35,289.466826269246
2024-01-13,2,"wk inc flu hosp",2024-01-27,"01","quantile",0.35,276.029318102205
2024-01-13,3,"wk inc flu hosp",2024-02-03,"01","quantile",0.35,259.903166967693
2024-01-13,-1,"wk inc flu hosp",2024-01-06,"01","quantile",0.4,314.537372180208
2024-01-13,0,"wk inc flu hosp",2024-01-13,"01","quantile",0.4,320.592323195802
2024-01-13,1,"wk inc flu hosp",2024-01-20,"01","quantile",0.4,301.786425575527
2024-01-13,2,"wk inc flu hosp",2024-01-27,"01","quantile",0.4,292.988715747025
2024-01-13,3,"wk inc flu hosp",2024-02-03,"01","quantile",0.4,281.577970600018
2024-01-13,-1,"wk inc flu hosp",2024-01-06,"01","quantile",0.45,320.425353456117
2024-01-13,0,"wk inc flu hosp",2024-01-13,"01","quantile",0.45,327.398011805016
2024-01-13,1,"wk inc flu hosp",2024-01-20,"01","quantile",0.45,313.611298982551
2024-01-13,2,"wk inc flu hosp",2024-01-27,"01","quantile",0.45,310.53134599905
2024-01-13,3,"wk inc flu hosp",2024-02-03,"01","quantile",0.45,302.586868837509
2024-01-13,-1,"wk inc flu hosp",2024-01-06,"01","quantile",0.5,326.479703006848
2024-01-13,0,"wk inc flu hosp",2024-01-13,"01","quantile",0.5,334.076510626853
2024-01-13,1,"wk inc flu hosp",2024-01-20,"01","quantile",0.5,325.492767839201
2024-01-13,2,"wk inc flu hosp",2024-01-27,"01","quantile",0.5,327.770794775478
2024-01-13,3,"wk inc flu hosp",2024-02-03,"01","quantile",0.5,325.728106691648
2024-01-13,-1,"wk inc flu hosp",2024-01-06,"01","quantile",0.55,332.773084045299
2024-01-13,0,"wk inc flu hosp",2024-01-13,"01","quantile",0.55,340.906617545393
2024-01-13,1,"wk inc flu hosp",2024-01-20,"01","quantile",0.55,338.310587233977
2024-01-13,2,"wk inc flu hosp",2024-01-27,"01","quantile",0.55,346.388694343877
2024-01-13,3,"wk inc flu hosp",2024-02-03,"01","quantile",0.55,350.001070521273
2024-01-13,-1,"wk inc flu hosp",2024-01-06,"01","quantile",0.6,338.812418300239
2024-01-13,0,"wk inc flu hosp",2024-01-13,"01","quantile",0.6,348.041633036121
2024-01-13,1,"wk inc flu hosp",2024-01-20,"01","quantile",0.6,351.67151208064
2024-01-13,2,"wk inc flu hosp",2024-01-27,"01","quantile",0.6,366.917949009372
2024-01-13,3,"wk inc flu hosp",2024-02-03,"01","quantile",0.6,376.815201344486
2024-01-13,-1,"wk inc flu hosp",2024-01-06,"01","quantile",0.65,345.238824523222
2024-01-13,0,"wk inc flu hosp",2024-01-13,"01","quantile",0.65,355.625967531393
2024-01-13,1,"wk inc flu hosp",2024-01-20,"01","quantile",0.65,366.428721354623
2024-01-13,2,"wk inc flu hosp",2024-01-27,"01","quantile",0.65,388.516238540347
2024-01-13,3,"wk inc flu hosp",2024-02-03,"01","quantile",0.65,406.066688019255
2024-01-13,-1,"wk inc flu hosp",2024-01-06,"01","quantile",0.7,351.756223498122
2024-01-13,0,"wk inc flu hosp",2024-01-13,"01","quantile",0.7,363.510632341181
2024-01-13,1,"wk inc flu hosp",2024-01-20,"01","quantile",0.7,382.183003771133
2024-01-13,2,"wk inc flu hosp",2024-01-27,"01","quantile",0.7,413.531363378528
2024-01-13,3,"wk inc flu hosp",2024-02-03,"01","quantile",0.7,439.153724621924
2024-01-13,-1,"wk inc flu hosp",2024-01-06,"01","quantile",0.75,358.944639573317
2024-01-13,0,"wk inc flu hosp",2024-01-13,"01","quantile",0.75,372.58961696354
2024-01-13,1,"wk inc flu hosp",2024-01-20,"01","quantile",0.75,400.019052001678
2024-01-13,2,"wk inc flu hosp",2024-01-27,"01","quantile",0.75,442.343630389778
2024-01-13,3,"wk inc flu hosp",2024-02-03,"01","quantile",0.75,477.795308548708
2024-01-13,-1,"wk inc flu hosp",2024-01-06,"01","quantile",0.8,367.246201857263
2024-01-13,0,"wk inc flu hosp",2024-01-13,"01","quantile",0.8,383.270378773321
2024-01-13,1,"wk inc flu hosp",2024-01-20,"01","quantile",0.8,421.013402729358
2024-01-13,2,"wk inc flu hosp",2024-01-27,"01","quantile",0.8,476.03233637463
2024-01-13,3,"wk inc flu hosp",2024-02-03,"01","quantile",0.8,525.242798282526
2024-01-13,-1,"wk inc flu hosp",2024-01-06,"01","quantile",0.85,377.174708167037
2024-01-13,0,"wk inc flu hosp",2024-01-13,"01","quantile",0.85,395.90547083906
2024-01-13,1,"wk inc flu hosp",2024-01-20,"01","quantile",0.85,447.363336173632
2024-01-13,2,"wk inc flu hosp",2024-01-27,"01","quantile",0.85,520.558956098496
2024-01-13,3,"wk inc flu hosp",2024-02-03,"01","quantile",0.85,587.899272615251
2024-01-13,-1,"wk inc flu hosp",2024-01-06,"01","quantile",0.9,389.594684035359
2024-01-13,0,"wk inc flu hosp",2024-01-13,"01","quantile",0.9,413.441603060683
2024-01-13,1,"wk inc flu hosp",2024-01-20,"01","quantile",0.9,484.907577392085
2024-01-13,2,"wk inc flu hosp",2024-01-27,"01","quantile",0.9,585.766294946033
2024-01-13,3,"wk inc flu hosp",2024-02-03,"01","quantile",0.9,688.377331494383
2024-01-13,-1,"wk inc flu hosp",2024-01-06,"01","quantile",0.95,409.803340466228
2024-01-13,0,"wk inc flu hosp",2024-01-13,"01","quantile",0.95,443.414896313712
2024-01-13,1,"wk inc flu hosp",2024-01-20,"01","quantile",0.95,552.673527133801
2024-01-13,2,"wk inc flu hosp",2024-01-27,"01","quantile",0.95,709.655806665937
