"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2024-03-16,-1,"wk inc flu hosp",2024-03-09,"01","quantile",0.01,0.0684711402607345
2024-03-16,0,"wk inc flu hosp",2024-03-16,"01","quantile",0.01,0
2024-03-16,1,"wk inc flu hosp",2024-03-23,"01","quantile",0.01,0
2024-03-16,2,"wk inc flu hosp",2024-03-30,"01","quantile",0.01,0
2024-03-16,3,"wk inc flu hosp",2024-04-06,"01","quantile",0.01,0
2024-03-16,-1,"wk inc flu hosp",2024-03-09,"01","quantile",0.025,12.6041183446075
2024-03-16,0,"wk inc flu hosp",2024-03-16,"01","quantile",0.025,10.2654156277168
2024-03-16,1,"wk inc flu hosp",2024-03-23,"01","quantile",0.025,0
2024-03-16,2,"wk inc flu hosp",2024-03-30,"01","quantile",0.025,0
2024-03-16,3,"wk inc flu hosp",2024-04-06,"01","quantile",0.025,0
2024-03-16,-1,"wk inc flu hosp",2024-03-09,"01","quantile",0.05,23.2313522444631
2024-03-16,0,"wk inc flu hosp",2024-03-16,"01","quantile",0.05,21.1866094074311
2024-03-16,1,"wk inc flu hosp",2024-03-23,"01","quantile",0.05,4.83681996092742
2024-03-16,2,"wk inc flu hosp",2024-03-30,"01","quantile",0.05,0
2024-03-16,3,"wk inc flu hosp",2024-04-06,"01","quantile",0.05,0
2024-03-16,-1,"wk inc flu hosp",2024-03-09,"01","quantile",0.1,34.85322105663
2024-03-16,0,"wk inc flu hosp",2024-03-16,"01","quantile",0.1,32.8488532890725
2024-03-16,1,"wk inc flu hosp",2024-03-23,"01","quantile",0.1,18.6730115284943
2024-03-16,2,"wk inc flu hosp",2024-03-30,"01","quantile",0.1,9.20569621460116
2024-03-16,3,"wk inc flu hosp",2024-04-06,"01","quantile",0.1,3.00337999170107
2024-03-16,-1,"wk inc flu hosp",2024-03-09,"01","quantile",0.15,42.4292595447411
2024-03-16,0,"wk inc flu hosp",2024-03-16,"01","quantile",0.15,40.5361338832717
2024-03-16,1,"wk inc flu hosp",2024-03-23,"01","quantile",0.15,28.2351067594639
2024-03-16,2,"wk inc flu hosp",2024-03-30,"01","quantile",0.15,19.1766778262515
2024-03-16,3,"wk inc flu hosp",2024-04-06,"01","quantile",0.15,13.4107467863358
2024-03-16,-1,"wk inc flu hosp",2024-03-09,"01","quantile",0.2,48.564518650922
2024-03-16,0,"wk inc flu hosp",2024-03-16,"01","quantile",0.2,46.640734829039
2024-03-16,1,"wk inc flu hosp",2024-03-23,"01","quantile",0.2,35.5859600802043
2024-03-16,2,"wk inc flu hosp",2024-03-30,"01","quantile",0.2,27.3690023586536
2024-03-16,3,"wk inc flu hosp",2024-04-06,"01","quantile",0.2,21.8435486728965
2024-03-16,-1,"wk inc flu hosp",2024-03-09,"01","quantile",0.25,53.6837589163874
2024-03-16,0,"wk inc flu hosp",2024-03-16,"01","quantile",0.25,51.7723534828254
2024-03-16,1,"wk inc flu hosp",2024-03-23,"01","quantile",0.25,41.9320472020774
2024-03-16,2,"wk inc flu hosp",2024-03-30,"01","quantile",0.25,34.2854149372483
