"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2024-02-17,-1,"wk inc flu hosp",2024-02-10,"01","quantile",0.01,19.5667078568442
2024-02-17,0,"wk inc flu hosp",2024-02-17,"01","quantile",0.01,18.384915931656
2024-02-17,1,"wk inc flu hosp",2024-02-24,"01","quantile",0.01,8.95361634860661
2024-02-17,2,"wk inc flu hosp",2024-03-02,"01","quantile",0.01,5.98047001622653
2024-02-17,3,"wk inc flu hosp",2024-03-09,"01","quantile",0.01,4.77811128132054
2024-02-17,-1,"wk inc flu hosp",2024-02-10,"01","quantile",0.025,24.382092121091
2024-02-17,0,"wk inc flu hosp",2024-02-17,"01","quantile",0.025,23.079206740337
2024-02-17,1,"wk inc flu hosp",2024-02-24,"01","quantile",0.025,11.9294240746189
2024-02-17,2,"wk inc flu hosp",2024-03-02,"01","quantile",0.025,8.1871468538782
2024-02-17,3,"wk inc flu hosp",2024-03-09,"01","quantile",0.025,6.67448783392858
2024-02-17,-1,"wk inc flu hosp",2024-02-10,"01","quantile",0.05,29.4301925579692
2024-02-17,0,"wk inc flu hosp",2024-02-17,"01","quantile",0.05,27.8634445521271
2024-02-17,1,"wk inc flu hosp",2024-02-24,"01","quantile",0.05,15.1218579200564
2024-02-17,2,"wk inc flu hosp",2024-03-02,"01","quantile",0.05,10.6832251153557
2024-02-17,3,"wk inc flu hosp",2024-03-09,"01","quantile",0.05,8.69298053147535
2024-02-17,-1,"wk inc flu hosp",2024-02-10,"01","quantile",0.1,36.5241864308811
2024-02-17,0,"wk inc flu hosp",2024-02-17,"01","quantile",0.1,34.4280773388774
2024-02-17,1,"wk inc flu hosp",2024-02-24,"01","quantile",0.1,19.9409847731137
2024-02-17,2,"wk inc flu hosp",2024-03-02,"01","quantile",0.1,14.4850465530384
2024-02-17,3,"wk inc flu hosp",2024-03-09,"01","quantile",0.1,11.9578491184498
2024-02-17,-1,"wk inc flu hosp",2024-02-10,"01","quantile",0.15,42.1577047353314
2024-02-17,0,"wk inc flu hosp",2024-02-17,"01","quantile",0.15,39.8704395391488
2024-02-17,1,"wk inc flu hosp",2024-02-24,"01","quantile",0.15,24.0149544353405
2024-02-17,2,"wk inc flu hosp",2024-03-02,"01","quantile",0.15,17.8298525204438
2024-02-17,3,"wk inc flu hosp",2024-03-09,"01","quantile",0.15,14.8120525717229
2024-02-17,-1,"wk inc flu hosp",2024-02-10,"01","quantile",0.2,47.335762792454
2024-02-17,0,"wk inc flu hosp",2024-02-17,"01","quantile",0.2,44.666346087683
2024-02-17,1,"wk inc flu hosp",2024-02-24,"01","quantile",0.2,27.8516620985305
2024-02-17,2,"wk inc flu hosp",2024-03-02,"01","quantile",0.2,21.0036702255172
2024-02-17,3,"wk inc flu hosp",2024-03-09,"01","quantile",0.2,17.6164915392744
2024-02-17,-1,"wk inc flu hosp",2024-02-10,"01","quantile",0.25,52.1846146319426
2024-02-17,0,"wk inc flu hosp",2024-02-17,"01","quantile",0.25,49.1346184657979
2024-02-17,1,"wk inc flu hosp",2024-02-24,"01","quantile",0.25,31.6261885011428
2024-02-17,2,"wk inc flu hosp",2024-03-02,"01","quantile",0.25,24.1726975239895
2024-02-17,3,"wk inc flu hosp",2024-03-09,"01","quantile",0.25,20.4031930835921
2024-02-17,-1,"wk inc flu hosp",2024-02-10,"01","quantile",0.3,56.9371532917645
2024-02-17,0,"wk inc flu hosp",2024-02-17,"01","quantile",0.3,53.5756205326402
2024-02-17,1,"wk inc flu hosp",2024-02-24,"01","quantile",0.3,35.4759738638891
2024-02-17,2,"wk inc flu hosp",2024-03-02,"01","quantile",0.3,27.3800325189664
2024-02-17,3,"wk inc flu hosp",2024-03-09,"01","quantile",0.3,23.2952583577299
2024-02-17,-1,"wk inc flu hosp",2024-02-10,"01","quantile",0.35,61.8989823819294
2024-02-17,0,"wk inc flu hosp",2024-02-17,"01","quantile",0.35,58.1651987576352
2024-02-17,1,"wk inc flu hosp",2024-02-24,"01","quantile",0.35,39.3796776710389
2024-02-17,2,"wk inc flu hosp",2024-03-02,"01","quantile",0.35,30.7264467264398
2024-02-17,3,"wk inc flu hosp",2024-03-09,"01","quantile",0.35,26.3461187614969
2024-02-17,-1,"wk inc flu hosp",2024-02-10,"01","quantile",0.4,66.7329267276358
2024-02-17,0,"wk inc flu hosp",2024-02-17,"01","quantile",0.4,62.8218878629269
2024-02-17,1,"wk inc flu hosp",2024-02-24,"01","quantile",0.4,43.4766161930201
2024-02-17,2,"wk inc flu hosp",2024-03-02,"01","quantile",0.4,34.2584890336624
