"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2023-11-25,-1,"wk inc flu hosp",2023-11-18,"01","quantile",0.01,20.1055748429034
2023-11-25,0,"wk inc flu hosp",2023-11-25,"01","quantile",0.01,22.4376213374255
2023-11-25,1,"wk inc flu hosp",2023-12-02,"01","quantile",0.01,16.9654091103746
2023-11-25,2,"wk inc flu hosp",2023-12-09,"01","quantile",0.01,15.7103357369098
2023-11-25,3,"wk inc flu hosp",2023-12-16,"01","quantile",0.01,16.132257438529
2023-11-25,-1,"wk inc flu hosp",2023-11-18,"01","quantile",0.025,25.6457033176067
2023-11-25,0,"wk inc flu hosp",2023-11-25,"01","quantile",0.025,29.3773600881154
2023-11-25,1,"wk inc flu hosp",2023-12-02,"01","quantile",0.025,24.3774154042098
2023-11-25,2,"wk inc flu hosp",2023-12-09,"01","quantile",0.025,24.6146633544481
2023-11-25,3,"wk inc flu hosp",2023-12-16,"01","quantile",0.025,25.2202048107256
2023-11-25,-1,"wk inc flu hosp",2023-11-18,"01","quantile",0.05,31.9820644813735
2023-11-25,0,"wk inc flu hosp",2023-11-25,"01","quantile",0.05,36.6967700379017
2023-11-25,1,"wk inc flu hosp",2023-12-02,"01","quantile",0.05,33.5168447312344
2023-11-25,2,"wk inc flu hosp",2023-12-09,"01","quantile",0.05,36.1959410625592
2023-11-25,3,"wk inc flu hosp",2023-12-16,"01","quantile",0.05,39.0619368392733
2023-11-25,-1,"wk inc flu hosp",2023-11-18,"01","quantile",0.1,40.9243283331501
2023-11-25,0,"wk inc flu hosp",2023-11-25,"01","quantile",0.1,47.9637962215762
2023-11-25,1,"wk inc flu hosp",2023-12-02,"01","quantile",0.1,49.4099683687269
2023-11-25,2,"wk inc flu hosp",2023-12-09,"01","quantile",0.1,57.3410546151563
2023-11-25,3,"wk inc flu hosp",2023-12-16,"01","quantile",0.1,65.7331018596849
2023-11-25,-1,"wk inc flu hosp",2023-11-18,"01","quantile",0.15,48.37357287128
2023-11-25,0,"wk inc flu hosp",2023-11-25,"01","quantile",0.15,57.3170138393921
2023-11-25,1,"wk inc flu hosp",2023-12-02,"01","quantile",0.15,63.7775874071253
2023-11-25,2,"wk inc flu hosp",2023-12-09,"01","quantile",0.15,79.0296992453731
2023-11-25,3,"wk inc flu hosp",2023-12-16,"01","quantile",0.15,95.5340525248275
2023-11-25,-1,"wk inc flu hosp",2023-11-18,"01","quantile",0.2,55.1041816054166
2023-11-25,0,"wk inc flu hosp",2023-11-25,"01","quantile",0.2,65.8574130022783
2023-11-25,1,"wk inc flu hosp",2023-12-02,"01","quantile",0.2,78.1931192520352
2023-11-25,2,"wk inc flu hosp",2023-12-09,"01","quantile",0.2,103.073786693183
2023-11-25,3,"wk inc flu hosp",2023-12-16,"01","quantile",0.2,132.21575955007
2023-11-25,-1,"wk inc flu hosp",2023-11-18,"01","quantile",0.25,61.7094946679201
2023-11-25,0,"wk inc flu hosp",2023-11-25,"01","quantile",0.25,74.454122661627
