"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2024-05-04,-1,"wk inc flu hosp",2024-04-27,"01","quantile",0.01,5.4036235897853
2024-05-04,0,"wk inc flu hosp",2024-05-04,"01","quantile",0.01,5.62722321485079
2024-05-04,1,"wk inc flu hosp",2024-05-11,"01","quantile",0.01,4.38486153490917
2024-05-04,2,"wk inc flu hosp",2024-05-18,"01","quantile",0.01,4.07282599257548
2024-05-04,3,"wk inc flu hosp",2024-05-25,"01","quantile",0.01,3.77047398835065
2024-05-04,-1,"wk inc flu hosp",2024-04-27,"01","quantile",0.025,6.70073837008251
2024-05-04,0,"wk inc flu hosp",2024-05-04,"01","quantile",0.025,6.88256278788935
2024-05-04,1,"wk inc flu hosp",2024-05-11,"01","quantile",0.025,5.88775332380027
2024-05-04,2,"wk inc flu hosp",2024-05-18,"01","quantile",0.025,5.57658214663248
2024-05-04,3,"wk inc flu hosp",2024-05-25,"01","quantile",0.025,5.23340507977081
2024-05-04,-1,"wk inc flu hosp",2024-04-27,"01","quantile",0.05,8.07725200803384
2024-05-04,0,"wk inc flu hosp",2024-05-04,"01","quantile",0.05,8.18762499215618
2024-05-04,1,"wk inc flu hosp",2024-05-11,"01","quantile",0.05,7.36421890889775
2024-05-04,2,"wk inc flu hosp",2024-05-18,"01","quantile",0.05,7.14841396838488
2024-05-04,3,"wk inc flu hosp",2024-05-25,"01","quantile",0.05,6.86036484576619
2024-05-04,-1,"wk inc flu hosp",2024-04-27,"01","quantile",0.1,9.93355859326867
2024-05-04,0,"wk inc flu hosp",2024-05-04,"01","quantile",0.1,10.0655341078187
2024-05-04,1,"wk inc flu hosp",2024-05-11,"01","quantile",0.1,9.55541140655031
2024-05-04,2,"wk inc flu hosp",2024-05-18,"01","quantile",0.1,9.42512536004322
2024-05-04,3,"wk inc flu hosp",2024-05-25,"01","quantile",0.1,9.19019355609071
2024-05-04,-1,"wk inc flu hosp",2024-04-27,"01","quantile",0.15,11.3192442490819
2024-05-04,0,"wk inc flu hosp",2024-05-04,"01","quantile",0.15,11.4763623504016
2024-05-04,1,"wk inc flu hosp",2024-05-11,"01","quantile",0.15,11.322307098198
2024-05-04,2,"wk inc flu hosp",2024-05-18,"01","quantile",0.15,11.309248073812
2024-05-04,3,"wk inc flu hosp",2024-05-25,"01","quantile",0.15,11.1736659515493
2024-05-04,-1,"wk inc flu hosp",2024-04-27,"01","quantile",0.2,12.5802398295149
2024-05-04,0,"wk inc flu hosp",2024-05-04,"01","quantile",0.2,12.7680228310293
2024-05-04,1,"wk inc flu hosp",2024-05-11,"01","quantile",0.2,12.9489953914303
2024-05-04,2,"wk inc flu hosp",2024-05-18,"01","quantile",0.2,13.1370630014364
2024-05-04,3,"wk inc flu hosp",2024-05-25,"01","quantile",0.2,13.0454920678896
2024-05-04,-1,"wk inc flu hosp",2024-04-27,"01","quantile",0.25,13.7850793460393
2024-05-04,0,"wk inc flu hosp",2024-05-04,"01","quantile",0.25,13.9396008117964
2024-05-04,1,"wk inc flu hosp",2024-05-11,"01","quantile",0.25,14.5458278056469
2024-05-04,2,"wk inc flu hosp",2024-05-18,"01","quantile",0.25,14.9274489200919
2024-05-04,3,"wk inc flu hosp",2024-05-25,"01","quantile",0.25,14.8717136354214
2024-05-04,-1,"wk inc flu hosp",2024-04-27,"01","quantile",0.3,14.9538445052104
2024-05-04,0,"wk inc flu hosp",2024-05-04,"01","quantile",0.3,15.092845099069
