"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2024-01-06,-1,"wk inc flu hosp",2023-12-30,"01","quantile",0.01,224.461609864709
2024-01-06,0,"wk inc flu hosp",2024-01-06,"01","quantile",0.01,215.215072772051
2024-01-06,1,"wk inc flu hosp",2024-01-13,"01","quantile",0.01,165.277604997827
2024-01-06,2,"wk inc flu hosp",2024-01-20,"01","quantile",0.01,125.776531007435
2024-01-06,3,"wk inc flu hosp",2024-01-27,"01","quantile",0.01,95.4508954834812
2024-01-06,-1,"wk inc flu hosp",2023-12-30,"01","quantile",0.025,246.974187536796
2024-01-06,0,"wk inc flu hosp",2024-01-06,"01","quantile",0.025,239.310197941649
2024-01-06,1,"wk inc flu hosp",2024-01-13,"01","quantile",0.025,200.286707495693
2024-01-06,2,"wk inc flu hosp",2024-01-20,"01","quantile",0.025,168.792147784843
2024-01-06,3,"wk inc flu hosp",2024-01-27,"01","quantile",0.025,143.270113029027
2024-01-06,-1,"wk inc flu hosp",2023-12-30,"01","quantile",0.05,260.046381064967
2024-01-06,0,"wk inc flu hosp",2024-01-06,"01","quantile",0.05,253.559714742273
2024-01-06,1,"wk inc flu hosp",2024-01-13,"01","quantile",0.05,220.999477072623
2024-01-06,2,"wk inc flu hosp",2024-01-20,"01","quantile",0.05,194.991051049223
2024-01-06,3,"wk inc flu hosp",2024-01-27,"01","quantile",0.05,173.38249594427
2024-01-06,-1,"wk inc flu hosp",2023-12-30,"01","quantile",0.1,272.525962600742
2024-01-06,0,"wk inc flu hosp",2024-01-06,"01","quantile",0.1,266.170543236855
2024-01-06,1,"wk inc flu hosp",2024-01-13,"01","quantile",0.1,242.013913733657
2024-01-06,2,"wk inc flu hosp",2024-01-20,"01","quantile",0.1,221.543455948935
2024-01-06,3,"wk inc flu hosp",2024-01-27,"01","quantile",0.1,204.165461768863
2024-01-06,-1,"wk inc flu hosp",2023-12-30,"01","quantile",0.15,280.32570145289
2024-01-06,0,"wk inc flu hosp",2024-01-06,"01","quantile",0.15,273.709455940461
2024-01-06,1,"wk inc flu hosp",2024-01-13,"01","quantile",0.15,255.307759232132
2024-01-06,2,"wk inc flu hosp",2024-01-20,"01","quantile",0.15,239.121847499118
2024-01-06,3,"wk inc flu hosp",2024-01-27,"01","quantile",0.15,225.240090450318
2024-01-06,-1,"wk inc flu hosp",2023-12-30,"01","quantile",0.2,286.128350482212
2024-01-06,0,"wk inc flu hosp",2024-01-06,"01","quantile",0.2,279.589792929971
2024-01-06,1,"wk inc flu hosp",2024-01-13,"01","quantile",0.2,265.648130896277
2024-01-06,2,"wk inc flu hosp",2024-01-20,"01","quantile",0.2,253.016453161022
2024-01-06,3,"wk inc flu hosp",2024-01-27,"01","quantile",0.2,242.317911058534
2024-01-06,-1,"wk inc flu hosp",2023-12-30,"01","quantile",0.25,291.045194984963
2024-01-06,0,"wk inc flu hosp",2024-01-06,"01","quantile",0.25,284.326674426411
2024-01-06,1,"wk inc flu hosp",2024-01-13,"01","quantile",0.25,274.167609110355
2024-01-06,2,"wk inc flu hosp",2024-01-20,"01","quantile",0.25,264.819221001434
2024-01-06,3,"wk inc flu hosp",2024-01-27,"01","quantile",0.25,256.649487218496
2024-01-06,-1,"wk inc flu hosp",2023-12-30,"01","quantile",0.3,295.199065035602
2024-01-06,0,"wk inc flu hosp",2024-01-06,"01","quantile",0.3,288.658020073865
2024-01-06,1,"wk inc flu hosp",2024-01-13,"01","quantile",0.3,281.798214681251
2024-01-06,2,"wk inc flu hosp",2024-01-20,"01","quantile",0.3,275.634360509831
2024-01-06,3,"wk inc flu hosp",2024-01-27,"01","quantile",0.3,270.136272287856
2024-01-06,-1,"wk inc flu hosp",2023-12-30,"01","quantile",0.35,299.217969067901
2024-01-06,0,"wk inc flu hosp",2024-01-06,"01","quantile",0.35,292.552420576127
2024-01-06,1,"wk inc flu hosp",2024-01-13,"01","quantile",0.35,288.898839446687
2024-01-06,2,"wk inc flu hosp",2024-01-20,"01","quantile",0.35,285.600927423316
2024-01-06,3,"wk inc flu hosp",2024-01-27,"01","quantile",0.35,282.857251843253
2024-01-06,-1,"wk inc flu hosp",2023-12-30,"01","quantile",0.4,302.9168292737
2024-01-06,0,"wk inc flu hosp",2024-01-06,"01","quantile",0.4,296.143343957253
2024-01-06,1,"wk inc flu hosp",2024-01-13,"01","quantile",0.4,295.602719650747
2024-01-06,2,"wk inc flu hosp",2024-01-20,"01","quantile",0.4,295.091026129367
2024-01-06,3,"wk inc flu hosp",2024-01-27,"01","quantile",0.4,294.581394123241
2024-01-06,-1,"wk inc flu hosp",2023-12-30,"01","quantile",0.45,306.596257828843
2024-01-06,0,"wk inc flu hosp",2024-01-06,"01","quantile",0.45,299.59166879021
2024-01-06,1,"wk inc flu hosp",2024-01-13,"01","quantile",0.45,302.181941688587
2024-01-06,2,"wk inc flu hosp",2024-01-20,"01","quantile",0.45,304.293460128277
2024-01-06,3,"wk inc flu hosp",2024-01-27,"01","quantile",0.45,306.126786354864
2024-01-06,-1,"wk inc flu hosp",2023-12-30,"01","quantile",0.5,310.075244152477
2024-01-06,0,"wk inc flu hosp",2024-01-06,"01","quantile",0.5,303.073457876242
2024-01-06,1,"wk inc flu hosp",2024-01-13,"01","quantile",0.5,308.628605424412
2024-01-06,2,"wk inc flu hosp",2024-01-20,"01","quantile",0.5,313.307196372298
2024-01-06,3,"wk inc flu hosp",2024-01-27,"01","quantile",0.5,318.323245673244
2024-01-06,-1,"wk inc flu hosp",2023-12-30,"01","quantile",0.55,313.694878839659
2024-01-06,0,"wk inc flu hosp",2024-01-06,"01","quantile",0.55,306.574318215883
2024-01-06,1,"wk inc flu hosp",2024-01-13,"01","quantile",0.55,315.039480859842
2024-01-06,2,"wk inc flu hosp",2024-01-20,"01","quantile",0.55,322.555550985822
2024-01-06,3,"wk inc flu hosp",2024-01-27,"01","quantile",0.55,330.202334585423
2024-01-06,-1,"wk inc flu hosp",2023-12-30,"01","quantile",0.6,317.28021379034
2024-01-06,0,"wk inc flu hosp",2024-01-06,"01","quantile",0.6,310.116293278041
2024-01-06,1,"wk inc flu hosp",2024-01-13,"01","quantile",0.6,321.647957950362
2024-01-06,2,"wk inc flu hosp",2024-01-20,"01","quantile",0.6,331.956860238481
2024-01-06,3,"wk inc flu hosp",2024-01-27,"01","quantile",0.6,342.357417759455
2024-01-06,-1,"wk inc flu hosp",2023-12-30,"01","quantile",0.65,320.870092073606
2024-01-06,0,"wk inc flu hosp",2024-01-06,"01","quantile",0.65,313.730734234661
2024-01-06,1,"wk inc flu hosp",2024-01-13,"01","quantile",0.65,328.74340201593
2024-01-06,2,"wk inc flu hosp",2024-01-20,"01","quantile",0.65,342.351207401256
2024-01-06,3,"wk inc flu hosp",2024-01-27,"01","quantile",0.65,355.470024796644
2024-01-06,-1,"wk inc flu hosp",2023-12-30,"01","quantile",0.7,324.751830887053
2024-01-06,0,"wk inc flu hosp",2024-01-06,"01","quantile",0.7,317.709659466135
2024-01-06,1,"wk inc flu hosp",2024-01-13,"01","quantile",0.7,335.932395322741
2024-01-06,2,"wk inc flu hosp",2024-01-20,"01","quantile",0.7,353.123151018314
2024-01-06,3,"wk inc flu hosp",2024-01-27,"01","quantile",0.7,369.500965838586
2024-01-06,-1,"wk inc flu hosp",2023-12-30,"01","quantile",0.75,328.880036478613
2024-01-06,0,"wk inc flu hosp",2024-01-06,"01","quantile",0.75,321.96277305547
2024-01-06,1,"wk inc flu hosp",2024-01-13,"01","quantile",0.75,343.91578954314
2024-01-06,2,"wk inc flu hosp",2024-01-20,"01","quantile",0.75,364.879625534891
2024-01-06,3,"wk inc flu hosp",2024-01-27,"01","quantile",0.75,385.080897537672
2024-01-06,-1,"wk inc flu hosp",2023-12-30,"01","quantile",0.8,333.651818640928
2024-01-06,0,"wk inc flu hosp",2024-01-06,"01","quantile",0.8,326.688005170788
