"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2024-01-20,-1,"wk inc flu hosp",2024-01-13,"01","quantile",0.01,73.1475329953607
2024-01-20,0,"wk inc flu hosp",2024-01-20,"01","quantile",0.01,60.2721502712335
2024-01-20,1,"wk inc flu hosp",2024-01-27,"01","quantile",0.01,0
2024-01-20,2,"wk inc flu hosp",2024-02-03,"01","quantile",0.01,0
2024-01-20,3,"wk inc flu hosp",2024-02-10,"01","quantile",0.01,0
2024-01-20,-1,"wk inc flu hosp",2024-01-13,"01","quantile",0.025,109.884845088817
2024-01-20,0,"wk inc flu hosp",2024-01-20,"01","quantile",0.025,102.464095888197
2024-01-20,1,"wk inc flu hosp",2024-01-27,"01","quantile",0.025,41.6697574893696
2024-01-20,2,"wk inc flu hosp",2024-02-03,"01","quantile",0.025,10.6290758426257
2024-01-20,3,"wk inc flu hosp",2024-02-10,"01","quantile",0.025,0
2024-01-20,-1,"wk inc flu hosp",2024-01-13,"01","quantile",0.05,125.770847536403
2024-01-20,0,"wk inc flu hosp",2024-01-20,"01","quantile",0.05,118.524422679152
2024-01-20,1,"wk inc flu hosp",2024-01-27,"01","quantile",0.05,61.0455162007974
2024-01-20,2,"wk inc flu hosp",2024-02-03,"01","quantile",0.05,30.8334251393602
2024-01-20,3,"wk inc flu hosp",2024-02-10,"01","quantile",0.05,11.4340703773638
2024-01-20,-1,"wk inc flu hosp",2024-01-13,"01","quantile",0.1,139.383331054533
2024-01-20,0,"wk inc flu hosp",2024-01-20,"01","quantile",0.1,131.362396011615
2024-01-20,1,"wk inc flu hosp",2024-01-27,"01","quantile",0.1,77.641164962024
2024-01-20,2,"wk inc flu hosp",2024-02-03,"01","quantile",0.1,47.3510099630561
2024-01-20,3,"wk inc flu hosp",2024-02-10,"01","quantile",0.1,27.1002886038281
2024-01-20,-1,"wk inc flu hosp",2024-01-13,"01","quantile",0.15,147.433701827778
2024-01-20,0,"wk inc flu hosp",2024-01-20,"01","quantile",0.15,139.344964221683
2024-01-20,1,"wk inc flu hosp",2024-01-27,"01","quantile",0.15,87.9671662679839
2024-01-20,2,"wk inc flu hosp",2024-02-03,"01","quantile",0.15,58.0646122597411
2024-01-20,3,"wk inc flu hosp",2024-02-10,"01","quantile",0.15,37.0174054602672
2024-01-20,-1,"wk inc flu hosp",2024-01-13,"01","quantile",0.2,153.83226020716
2024-01-20,0,"wk inc flu hosp",2024-01-20,"01","quantile",0.2,145.405679689863
2024-01-20,1,"wk inc flu hosp",2024-01-27,"01","quantile",0.2,96.4020177840825
2024-01-20,2,"wk inc flu hosp",2024-02-03,"01","quantile",0.2,66.7442462719673
2024-01-20,3,"wk inc flu hosp",2024-02-10,"01","quantile",0.2,45.1407070393629
2024-01-20,-1,"wk inc flu hosp",2024-01-13,"01","quantile",0.25,159.184639139396
2024-01-20,0,"wk inc flu hosp",2024-01-20,"01","quantile",0.25,150.722861252294
2024-01-20,1,"wk inc flu hosp",2024-01-27,"01","quantile",0.25,104.010055718135
2024-01-20,2,"wk inc flu hosp",2024-02-03,"01","quantile",0.25,74.5459230979039
2024-01-20,3,"wk inc flu hosp",2024-02-10,"01","quantile",0.25,52.309938006766
2024-01-20,-1,"wk inc flu hosp",2024-01-13,"01","quantile",0.3,163.981624847745
2024-01-20,0,"wk inc flu hosp",2024-01-20,"01","quantile",0.3,155.627935167475
2024-01-20,1,"wk inc flu hosp",2024-01-27,"01","quantile",0.3,111.212496092282
2024-01-20,2,"wk inc flu hosp",2024-02-03,"01","quantile",0.3,82.0567018243524
2024-01-20,3,"wk inc flu hosp",2024-02-10,"01","quantile",0.3,59.2732785128946
2024-01-20,-1,"wk inc flu hosp",2024-01-13,"01","quantile",0.35,168.611973219857
2024-01-20,0,"wk inc flu hosp",2024-01-20,"01","quantile",0.35,160.496044453532
2024-01-20,1,"wk inc flu hosp",2024-01-27,"01","quantile",0.35,118.176123178671
2024-01-20,2,"wk inc flu hosp",2024-02-03,"01","quantile",0.35,89.8020684274076
2024-01-20,3,"wk inc flu hosp",2024-02-10,"01","quantile",0.35,66.267846210227
2024-01-20,-1,"wk inc flu hosp",2024-01-13,"01","quantile",0.4,172.968695873272
2024-01-20,0,"wk inc flu hosp",2024-01-20,"01","quantile",0.4,165.357582142501
2024-01-20,1,"wk inc flu hosp",2024-01-27,"01","quantile",0.4,125.296637825374
2024-01-20,2,"wk inc flu hosp",2024-02-03,"01","quantile",0.4,97.4768078587841
2024-01-20,3,"wk inc flu hosp",2024-02-10,"01","quantile",0.4,73.5030840920429
2024-01-20,-1,"wk inc flu hosp",2024-01-13,"01","quantile",0.45,177.454790762118
2024-01-20,0,"wk inc flu hosp",2024-01-20,"01","quantile",0.45,170.061274138541
2024-01-20,1,"wk inc flu hosp",2024-01-27,"01","quantile",0.45,132.518686117063
2024-01-20,2,"wk inc flu hosp",2024-02-03,"01","quantile",0.45,105.913225965946
2024-01-20,3,"wk inc flu hosp",2024-02-10,"01","quantile",0.45,81.3679528731829
2024-01-20,-1,"wk inc flu hosp",2024-01-13,"01","quantile",0.5,181.756756472143
2024-01-20,0,"wk inc flu hosp",2024-01-20,"01","quantile",0.5,174.690163686301
2024-01-20,1,"wk inc flu hosp",2024-01-27,"01","quantile",0.5,139.995366568974
2024-01-20,2,"wk inc flu hosp",2024-02-03,"01","quantile",0.5,114.553267108995
2024-01-20,3,"wk inc flu hosp",2024-02-10,"01","quantile",0.5,89.7432019402658
2024-01-20,-1,"wk inc flu hosp",2024-01-13,"01","quantile",0.55,186.240098430565
2024-01-20,0,"wk inc flu hosp",2024-01-20,"01","quantile",0.55,179.733298932259
2024-01-20,1,"wk inc flu hosp",2024-01-27,"01","quantile",0.55,147.839527216066
2024-01-20,2,"wk inc flu hosp",2024-02-03,"01","quantile",0.55,124.063457950076
2024-01-20,3,"wk inc flu hosp",2024-02-10,"01","quantile",0.55,98.5197470274864
2024-01-20,-1,"wk inc flu hosp",2024-01-13,"01","quantile",0.6,190.797165626232
2024-01-20,0,"wk inc flu hosp",2024-01-20,"01","quantile",0.6,184.65523613486
2024-01-20,1,"wk inc flu hosp",2024-01-27,"01","quantile",0.6,156.088862531553
