"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2024-01-06,-1,"wk inc flu hosp",2023-12-30,"01","quantile",0.01,221.106088081757
2024-01-06,0,"wk inc flu hosp",2024-01-06,"01","quantile",0.01,224.836443015877
2024-01-06,1,"wk inc flu hosp",2024-01-13,"01","quantile",0.01,191.314271142447
2024-01-06,2,"wk inc flu hosp",2024-01-20,"01","quantile",0.01,169.305748729945
2024-01-06,3,"wk inc flu hosp",2024-01-27,"01","quantile",0.01,150.491851494927
2024-01-06,-1,"wk inc flu hosp",2023-12-30,"01","quantile",0.025,239.766723884445
2024-01-06,0,"wk inc flu hosp",2024-01-06,"01","quantile",0.025,243.391407735749
2024-01-06,1,"wk inc flu hosp",2024-01-13,"01","quantile",0.025,218.74863978025
2024-01-06,2,"wk inc flu hosp",2024-01-20,"01","quantile",0.025,202.435572675458
2024-01-06,3,"wk inc flu hosp",2024-01-27,"01","quantile",0.025,189.570385257491
2024-01-06,-1,"wk inc flu hosp",2023-12-30,"01","quantile",0.05,255.406630064542
2024-01-06,0,"wk inc flu hosp",2024-01-06,"01","quantile",0.05,259.782359029134
2024-01-06,1,"wk inc flu hosp",2024-01-13,"01","quantile",0.05,243.864514259431
2024-01-06,2,"wk inc flu hosp",2024-01-20,"01","quantile",0.05,233.629044090812
2024-01-06,3,"wk inc flu hosp",2024-01-27,"01","quantile",0.05,223.55307351723
2024-01-06,-1,"wk inc flu hosp",2023-12-30,"01","quantile",0.1,272.849010975676
2024-01-06,0,"wk inc flu hosp",2024-01-06,"01","quantile",0.1,277.908360099896
2024-01-06,1,"wk inc flu hosp",2024-01-13,"01","quantile",0.1,273.691037786987
2024-01-06,2,"wk inc flu hosp",2024-01-20,"01","quantile",0.1,272.329993324997
2024-01-06,3,"wk inc flu hosp",2024-01-27,"01","quantile",0.1,267.831316513937
2024-01-06,-1,"wk inc flu hosp",2023-12-30,"01","quantile",0.15,284.853335449628
2024-01-06,0,"wk inc flu hosp",2024-01-06,"01","quantile",0.15,289.952566949175
2024-01-06,1,"wk inc flu hosp",2024-01-13,"01","quantile",0.15,293.881394463081
2024-01-06,2,"wk inc flu hosp",2024-01-20,"01","quantile",0.15,298.553948202603
2024-01-06,3,"wk inc flu hosp",2024-01-27,"01","quantile",0.15,300.070294924905
2024-01-06,-1,"wk inc flu hosp",2023-12-30,"01","quantile",0.2,294.454574608486
2024-01-06,0,"wk inc flu hosp",2024-01-06,"01","quantile",0.2,299.542340628176
2024-01-06,1,"wk inc flu hosp",2024-01-13,"01","quantile",0.2,310.053069718207
2024-01-06,2,"wk inc flu hosp",2024-01-20,"01","quantile",0.2,320.356211105096
2024-01-06,3,"wk inc flu hosp",2024-01-27,"01","quantile",0.2,327.344052059615
2024-01-06,-1,"wk inc flu hosp",2023-12-30,"01","quantile",0.25,302.253283243086
2024-01-06,0,"wk inc flu hosp",2024-01-06,"01","quantile",0.25,307.864176719789
2024-01-06,1,"wk inc flu hosp",2024-01-13,"01","quantile",0.25,324.218040709952
2024-01-06,2,"wk inc flu hosp",2024-01-20,"01","quantile",0.25,339.628661991079
2024-01-06,3,"wk inc flu hosp",2024-01-27,"01","quantile",0.25,351.54000832159
2024-01-06,-1,"wk inc flu hosp",2023-12-30,"01","quantile",0.3,309.172035160434
2024-01-06,0,"wk inc flu hosp",2024-01-06,"01","quantile",0.3,314.866120875034
2024-01-06,1,"wk inc flu hosp",2024-01-13,"01","quantile",0.3,337.1999100009
2024-01-06,2,"wk inc flu hosp",2024-01-20,"01","quantile",0.3,357.379969491107
2024-01-06,3,"wk inc flu hosp",2024-01-27,"01","quantile",0.3,374.519887170504
2024-01-06,-1,"wk inc flu hosp",2023-12-30,"01","quantile",0.35,315.690201206478
2024-01-06,0,"wk inc flu hosp",2024-01-06,"01","quantile",0.35,321.763342451645
2024-01-06,1,"wk inc flu hosp",2024-01-13,"01","quantile",0.35,349.104823232982
2024-01-06,2,"wk inc flu hosp",2024-01-20,"01","quantile",0.35,374.06647903167
