"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2024-02-24,-1,"wk inc flu hosp",2024-02-17,"Alabama","quantile",0.01,0
2024-02-24,0,"wk inc flu hosp",2024-02-24,"Alabama","quantile",0.01,0
2024-02-24,1,"wk inc flu hosp",2024-03-02,"Alabama","quantile",0.01,0
2024-02-24,2,"wk inc flu hosp",2024-03-09,"Alabama","quantile",0.01,0
2024-02-24,3,"wk inc flu hosp",2024-03-16,"Alabama","quantile",0.01,0
2024-02-24,-1,"wk inc flu hosp",2024-02-17,"Alabama","quantile",0.025,0
2024-02-24,0,"wk inc flu hosp",2024-02-24,"Alabama","quantile",0.025,0
2024-02-24,1,"wk inc flu hosp",2024-03-02,"Alabama","quantile",0.025,0
2024-02-24,2,"wk inc flu hosp",2024-03-09,"Alabama","quantile",0.025,0
2024-02-24,3,"wk inc flu hosp",2024-03-16,"Alabama","quantile",0.025,0
2024-02-24,-1,"wk inc flu hosp",2024-02-17,"Alabama","quantile",0.05,0
2024-02-24,0,"wk inc flu hosp",2024-02-24,"Alabama","quantile",0.05,0
2024-02-24,1,"wk inc flu hosp",2024-03-02,"Alabama","quantile",0.05,0
2024-02-24,2,"wk inc flu hosp",2024-03-09,"Alabama","quantile",0.05,0
2024-02-24,3,"wk inc flu hosp",2024-03-16,"Alabama","quantile",0.05,0
2024-02-24,-1,"wk inc flu hosp",2024-02-17,"Alabama","quantile",0.1,0
2024-02-24,0,"wk inc flu hosp",2024-02-24,"Alabama","quantile",0.1,0
2024-02-24,1,"wk inc flu hosp",2024-03-02,"Alabama","quantile",0.1,0
2024-02-24,2,"wk inc flu hosp",2024-03-09,"Alabama","quantile",0.1,0
2024-02-24,3,"wk inc flu hosp",2024-03-16,"Alabama","quantile",0.1,0
2024-02-24,-1,"wk inc flu hosp",2024-02-17,"Alabama","quantile",0.15,1.473697
2024-02-24,0,"wk inc flu hosp",2024-02-24,"Alabama","quantile",0.15,0
2024-02-24,1,"wk inc flu hosp",2024-03-02,"Alabama","quantile",0.15,0
2024-02-24,2,"wk inc flu hosp",2024-03-09,"Alabama","quantile",0.15,0
2024-02-24,3,"wk inc flu hosp",2024-03-16,"Alabama","quantile",0.15,0
2024-02-24,-1,"wk inc flu hosp",2024-02-17,"Alabama","quantile",0.2,7.463796
2024-02-24,0,"wk inc flu hosp",2024-02-24,"Alabama","quantile",0.2,6.390118
2024-02-24,1,"wk inc flu hosp",2024-03-02,"Alabama","quantile",0.2,6.40718400000001
2024-02-24,2,"wk inc flu hosp",2024-03-09,"Alabama","quantile",0.2,4.687688
2024-02-24,3,"wk inc flu hosp",2024-03-16,"Alabama","quantile",0.2,1.762804
2024-02-24,-1,"wk inc flu hosp",2024-02-17,"Alabama","quantile",0.25,13.34995
2024-02-24,0,"wk inc flu hosp",2024-02-24,"Alabama","quantile",0.25,12.66885
2024-02-24,1,"wk inc flu hosp",2024-03-02,"Alabama","quantile",0.25,12.69485
2024-02-24,2,"wk inc flu hosp",2024-03-09,"Alabama","quantile",0.25,11.6695
2024-02-24,3,"wk inc flu hosp",2024-03-16,"Alabama","quantile",0.25,10.37705
2024-02-24,-1,"wk inc flu hosp",2024-02-17,"Alabama","quantile",0.3,19.56133
2024-02-24,0,"wk inc flu hosp",2024-02-24,"Alabama","quantile",0.3,18.73283
2024-02-24,1,"wk inc flu hosp",2024-03-02,"Alabama","quantile",0.3,18.59117
2024-02-24,2,"wk inc flu hosp",2024-03-09,"Alabama","quantile",0.3,17.49088
2024-02-24,3,"wk inc flu hosp",2024-03-16,"Alabama","quantile",0.3,14.91217
2024-02-24,-1,"wk inc flu hosp",2024-02-17,"Alabama","quantile",0.35,25.38217
2024-02-24,0,"wk inc flu hosp",2024-02-24,"Alabama","quantile",0.35,24.200405
