"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2024-02-03,-1,"wk inc flu hosp",2024-01-27,"01","quantile",0.01,22.5584193190506
2024-02-03,0,"wk inc flu hosp",2024-02-03,"01","quantile",0.01,20.419322632767
2024-02-03,1,"wk inc flu hosp",2024-02-10,"01","quantile",0.01,9.41439703232215
2024-02-03,2,"wk inc flu hosp",2024-02-17,"01","quantile",0.01,6.06384753489657
2024-02-03,3,"wk inc flu hosp",2024-02-24,"01","quantile",0.01,4.7412266955207
2024-02-03,-1,"wk inc flu hosp",2024-01-27,"01","quantile",0.025,28.1881344510924
2024-02-03,0,"wk inc flu hosp",2024-02-03,"01","quantile",0.025,26.0963550432288
2024-02-03,1,"wk inc flu hosp",2024-02-10,"01","quantile",0.025,12.7115917239326
2024-02-03,2,"wk inc flu hosp",2024-02-17,"01","quantile",0.025,8.42697890574031
2024-02-03,3,"wk inc flu hosp",2024-02-24,"01","quantile",0.025,6.68080284764068
2024-02-03,-1,"wk inc flu hosp",2024-01-27,"01","quantile",0.05,34.1997329411515
2024-02-03,0,"wk inc flu hosp",2024-02-03,"01","quantile",0.05,31.6469496791921
2024-02-03,1,"wk inc flu hosp",2024-02-10,"01","quantile",0.05,16.3448649768463
2024-02-03,2,"wk inc flu hosp",2024-02-17,"01","quantile",0.05,11.073246381989
2024-02-03,3,"wk inc flu hosp",2024-02-24,"01","quantile",0.05,8.85740050349233
2024-02-03,-1,"wk inc flu hosp",2024-01-27,"01","quantile",0.1,42.5995167093862
2024-02-03,0,"wk inc flu hosp",2024-02-03,"01","quantile",0.1,39.4905613229743
2024-02-03,1,"wk inc flu hosp",2024-02-10,"01","quantile",0.1,21.7346720337074
2024-02-03,2,"wk inc flu hosp",2024-02-17,"01","quantile",0.1,15.0832341092101
2024-02-03,3,"wk inc flu hosp",2024-02-24,"01","quantile",0.1,12.1577005087921
2024-02-03,-1,"wk inc flu hosp",2024-01-27,"01","quantile",0.15,49.2901728801401
2024-02-03,0,"wk inc flu hosp",2024-02-03,"01","quantile",0.15,45.6003272860285
2024-02-03,1,"wk inc flu hosp",2024-02-10,"01","quantile",0.15,26.2312585350507
2024-02-03,2,"wk inc flu hosp",2024-02-17,"01","quantile",0.15,18.7671545084966
2024-02-03,3,"wk inc flu hosp",2024-02-24,"01","quantile",0.15,15.0920155603903
2024-02-03,-1,"wk inc flu hosp",2024-01-27,"01","quantile",0.2,55.2535870383398
2024-02-03,0,"wk inc flu hosp",2024-02-03,"01","quantile",0.2,51.210683277563
2024-02-03,1,"wk inc flu hosp",2024-02-10,"01","quantile",0.2,30.3907187800687
2024-02-03,2,"wk inc flu hosp",2024-02-17,"01","quantile",0.2,21.9808298328885
