"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2024-03-02,-1,"wk inc flu hosp",2024-02-24,"01","quantile",0.01,16.6915867363095
2024-03-02,0,"wk inc flu hosp",2024-03-02,"01","quantile",0.01,15.9141691899276
2024-03-02,1,"wk inc flu hosp",2024-03-09,"01","quantile",0.01,8.53830847775463
2024-03-02,2,"wk inc flu hosp",2024-03-16,"01","quantile",0.01,6.01277731726336
2024-03-02,3,"wk inc flu hosp",2024-03-23,"01","quantile",0.01,4.88860910733535
2024-03-02,-1,"wk inc flu hosp",2024-02-24,"01","quantile",0.025,20.5745432933333
2024-03-02,0,"wk inc flu hosp",2024-03-02,"01","quantile",0.025,19.9558089409318
2024-03-02,1,"wk inc flu hosp",2024-03-09,"01","quantile",0.025,11.3228947361156
2024-03-02,2,"wk inc flu hosp",2024-03-16,"01","quantile",0.025,8.26034972756521
2024-03-02,3,"wk inc flu hosp",2024-03-23,"01","quantile",0.025,6.63887355995855
2024-03-02,-1,"wk inc flu hosp",2024-02-24,"01","quantile",0.05,24.9756001840354
2024-03-02,0,"wk inc flu hosp",2024-03-02,"01","quantile",0.05,24.1764334534475
2024-03-02,1,"wk inc flu hosp",2024-03-09,"01","quantile",0.05,14.3600212264302
2024-03-02,2,"wk inc flu hosp",2024-03-16,"01","quantile",0.05,10.703949080101
2024-03-02,3,"wk inc flu hosp",2024-03-23,"01","quantile",0.05,8.74382898278428
2024-03-02,-1,"wk inc flu hosp",2024-02-24,"01","quantile",0.1,30.7582413502616
2024-03-02,0,"wk inc flu hosp",2024-03-02,"01","quantile",0.1,29.6360996099095
2024-03-02,1,"wk inc flu hosp",2024-03-09,"01","quantile",0.1,18.6400893318501
2024-03-02,2,"wk inc flu hosp",2024-03-16,"01","quantile",0.1,14.3056206745175
2024-03-02,3,"wk inc flu hosp",2024-03-23,"01","quantile",0.1,12.0207081504238
2024-03-02,-1,"wk inc flu hosp",2024-02-24,"01","quantile",0.15,35.5062540730242
2024-03-02,0,"wk inc flu hosp",2024-03-02,"01","quantile",0.15,34.2706965507807
2024-03-02,1,"wk inc flu hosp",2024-03-09,"01","quantile",0.15,22.3107311867641
2024-03-02,2,"wk inc flu hosp",2024-03-16,"01","quantile",0.15,17.3956143074471
2024-03-02,3,"wk inc flu hosp",2024-03-23,"01","quantile",0.15,14.8145551566277
2024-03-02,-1,"wk inc flu hosp",2024-02-24,"01","quantile",0.2,39.7755209526653
2024-03-02,0,"wk inc flu hosp",2024-03-02,"01","quantile",0.2,38.2291844189986
2024-03-02,1,"wk inc flu hosp",2024-03-09,"01","quantile",0.2,25.8366273013407
2024-03-02,2,"wk inc flu hosp",2024-03-16,"01","quantile",0.2,20.329922454335
2024-03-02,3,"wk inc flu hosp",2024-03-23,"01","quantile",0.2,17.4425281989486
2024-03-02,-1,"wk inc flu hosp",2024-02-24,"01","quantile",0.25,43.6868718769287
2024-03-02,0,"wk inc flu hosp",2024-03-02,"01","quantile",0.25,42.1039149812875
2024-03-02,1,"wk inc flu hosp",2024-03-09,"01","quantile",0.25,29.2216456893298
2024-03-02,2,"wk inc flu hosp",2024-03-16,"01","quantile",0.25,23.2033830259901
2024-03-02,3,"wk inc flu hosp",2024-03-23,"01","quantile",0.25,20.2197321320173
2024-03-02,-1,"wk inc flu hosp",2024-02-24,"01","quantile",0.3,47.6702281507899
2024-03-02,0,"wk inc flu hosp",2024-03-02,"01","quantile",0.3,45.8383106522162
2024-03-02,1,"wk inc flu hosp",2024-03-09,"01","quantile",0.3,32.6225478135504
2024-03-02,2,"wk inc flu hosp",2024-03-16,"01","quantile",0.3,26.3031731821282
2024-03-02,3,"wk inc flu hosp",2024-03-23,"01","quantile",0.3,23.0059326914358
2024-03-02,-1,"wk inc flu hosp",2024-02-24,"01","quantile",0.35,51.5277833336033
2024-03-02,0,"wk inc flu hosp",2024-03-02,"01","quantile",0.35,49.6621541907832
2024-03-02,1,"wk inc flu hosp",2024-03-09,"01","quantile",0.35,36.011927224769
2024-03-02,2,"wk inc flu hosp",2024-03-16,"01","quantile",0.35,29.6017956039194
2024-03-02,3,"wk inc flu hosp",2024-03-23,"01","quantile",0.35,25.9778234829878
2024-03-02,-1,"wk inc flu hosp",2024-02-24,"01","quantile",0.4,55.3921413789594
2024-03-02,0,"wk inc flu hosp",2024-03-02,"01","quantile",0.4,53.498255137479
2024-03-02,1,"wk inc flu hosp",2024-03-09,"01","quantile",0.4,39.7823587515982
2024-03-02,2,"wk inc flu hosp",2024-03-16,"01","quantile",0.4,32.9644362256574
2024-03-02,3,"wk inc flu hosp",2024-03-23,"01","quantile",0.4,29.1340915992919
2024-03-02,-1,"wk inc flu hosp",2024-02-24,"01","quantile",0.45,59.4825412000335
2024-03-02,0,"wk inc flu hosp",2024-03-02,"01","quantile",0.45,57.3877235785073
2024-03-02,1,"wk inc flu hosp",2024-03-09,"01","quantile",0.45,43.8785889298818
2024-03-02,2,"wk inc flu hosp",2024-03-16,"01","quantile",0.45,36.7110187673278
2024-03-02,3,"wk inc flu hosp",2024-03-23,"01","quantile",0.45,32.6192349622861
2024-03-02,-1,"wk inc flu hosp",2024-02-24,"01","quantile",0.5,63.7552089134537
2024-03-02,0,"wk inc flu hosp",2024-03-02,"01","quantile",0.5,61.7742749766532
2024-03-02,1,"wk inc flu hosp",2024-03-09,"01","quantile",0.5,48.0979624359949
2024-03-02,2,"wk inc flu hosp",2024-03-16,"01","quantile",0.5,40.8435799246349
2024-03-02,3,"wk inc flu hosp",2024-03-23,"01","quantile",0.5,36.3429275447939
2024-03-02,-1,"wk inc flu hosp",2024-02-24,"01","quantile",0.55,68.3966058919367
2024-03-02,0,"wk inc flu hosp",2024-03-02,"01","quantile",0.55,66.4013710440453
2024-03-02,1,"wk inc flu hosp",2024-03-09,"01","quantile",0.55,52.8408706060074
2024-03-02,2,"wk inc flu hosp",2024-03-16,"01","quantile",0.55,45.2882641832799
2024-03-02,3,"wk inc flu hosp",2024-03-23,"01","quantile",0.55,40.6093364024439
2024-03-02,-1,"wk inc flu hosp",2024-02-24,"01","quantile",0.6,73.4631552041746
2024-03-02,0,"wk inc flu hosp",2024-03-02,"01","quantile",0.6,71.3251266874932
2024-03-02,1,"wk inc flu hosp",2024-03-09,"01","quantile",0.6,58.2580986075757
2024-03-02,2,"wk inc flu hosp",2024-03-16,"01","quantile",0.6,50.4502125611666
2024-03-02,3,"wk inc flu hosp",2024-03-23,"01","quantile",0.6,45.6859847632317
2024-03-02,-1,"wk inc flu hosp",2024-02-24,"01","quantile",0.65,78.9793490704161
2024-03-02,0,"wk inc flu hosp",2024-03-02,"01","quantile",0.65,76.8291021832662
2024-03-02,1,"wk inc flu hosp",2024-03-09,"01","quantile",0.65,64.462359840049
2024-03-02,2,"wk inc flu hosp",2024-03-16,"01","quantile",0.65,56.5612368623417
2024-03-02,3,"wk inc flu hosp",2024-03-23,"01","quantile",0.65,51.5178201179922
2024-03-02,-1,"wk inc flu hosp",2024-02-24,"01","quantile",0.7,85.3961713224294
2024-03-02,0,"wk inc flu hosp",2024-03-02,"01","quantile",0.7,83.0828553119828
2024-03-02,1,"wk inc flu hosp",2024-03-09,"01","quantile",0.7,71.5182607173465
2024-03-02,2,"wk inc flu hosp",2024-03-16,"01","quantile",0.7,63.6704255840641
2024-03-02,3,"wk inc flu hosp",2024-03-23,"01","quantile",0.7,58.7170173411537
2024-03-02,-1,"wk inc flu hosp",2024-02-24,"01","quantile",0.75,92.9841983848191
2024-03-02,0,"wk inc flu hosp",2024-03-02,"01","quantile",0.75,90.3474907894878
2024-03-02,1,"wk inc flu hosp",2024-03-09,"01","quantile",0.75,80.3499467223009
2024-03-02,2,"wk inc flu hosp",2024-03-16,"01","quantile",0.75,72.7161853772654
2024-03-02,3,"wk inc flu hosp",2024-03-23,"01","quantile",0.75,67.3373848496025
2024-03-02,-1,"wk inc flu hosp",2024-02-24,"01","quantile",0.8,102.111359542689
2024-03-02,0,"wk inc flu hosp",2024-03-02,"01","quantile",0.8,99.5051607530688
2024-03-02,1,"wk inc flu hosp",2024-03-09,"01","quantile",0.8,91.1402778960031
2024-03-02,2,"wk inc flu hosp",2024-03-16,"01","quantile",0.8,84.359234403481
2024-03-02,3,"wk inc flu hosp",2024-03-23,"01","quantile",0.8,78.8261710709014
2024-03-02,-1,"wk inc flu hosp",2024-02-24,"01","quantile",0.85,114.043918864024
2024-03-02,0,"wk inc flu hosp",2024-03-02,"01","quantile",0.85,111.060295044345
2024-03-02,1,"wk inc flu hosp",2024-03-09,"01","quantile",0.85,105.985512111749
2024-03-02,2,"wk inc flu hosp",2024-03-16,"01","quantile",0.85,100.496991299898
2024-03-02,3,"wk inc flu hosp",2024-03-23,"01","quantile",0.85,95.7049519842095
2024-03-02,-1,"wk inc flu hosp",2024-02-24,"01","quantile",0.9,130.666268603731
2024-03-02,0,"wk inc flu hosp",2024-03-02,"01","quantile",0.9,127.896656283366
2024-03-02,1,"wk inc flu hosp",2024-03-09,"01","quantile",0.9,128.352972873365
2024-03-02,2,"wk inc flu hosp",2024-03-16,"01","quantile",0.9,125.287957193548
2024-03-02,3,"wk inc flu hosp",2024-03-23,"01","quantile",0.9,122.137027193432
2024-03-02,-1,"wk inc flu hosp",2024-02-24,"01","quantile",0.95,161.123717731573
2024-03-02,0,"wk inc flu hosp",2024-03-02,"01","quantile",0.95,156.046293784492
2024-03-02,1,"wk inc flu hosp",2024-03-09,"01","quantile",0.95,169.503756064406
2024-03-02,2,"wk inc flu hosp",2024-03-16,"01","quantile",0.95,175.169322473651
2024-03-02,3,"wk inc flu hosp",2024-03-23,"01","quantile",0.95,175.30650485958
2024-03-02,-1,"wk inc flu hosp",2024-02-24,"01","quantile",0.975,193.816545277462
2024-03-02,0,"wk inc flu hosp",2024-03-02,"01","quantile",0.975,186.260566890681
2024-03-02,1,"wk inc flu hosp",2024-03-09,"01","quantile",0.975,220.675535659413
2024-03-02,2,"wk inc flu hosp",2024-03-16,"01","quantile",0.975,237.460240571525
2024-03-02,3,"wk inc flu hosp",2024-03-23,"01","quantile",0.975,246.39259202691
2024-03-02,-1,"wk inc flu hosp",2024-02-24,"01","quantile",0.99,237.440384331376
2024-03-02,0,"wk inc flu hosp",2024-03-02,"01","quantile",0.99,230.028889161208
2024-03-02,1,"wk inc flu hosp",2024-03-09,"01","quantile",0.99,299.788697200008
2024-03-02,2,"wk inc flu hosp",2024-03-16,"01","quantile",0.99,340.109150290365
2024-03-02,3,"wk inc flu hosp",2024-03-23,"01","quantile",0.99,372.811410409093
2024-03-02,-1,"wk inc flu hosp",2024-02-24,"02","quantile",0.01,0
2024-03-02,0,"wk inc flu hosp",2024-03-02,"02","quantile",0.01,0
2024-03-02,1,"wk inc flu hosp",2024-03-09,"02","quantile",0.01,0
2024-03-02,2,"wk inc flu hosp",2024-03-16,"02","quantile",0.01,0
2024-03-02,3,"wk inc flu hosp",2024-03-23,"02","quantile",0.01,0
2024-03-02,-1,"wk inc flu hosp",2024-02-24,"02","quantile",0.025,0.164486184630899
2024-03-02,0,"wk inc flu hosp",2024-03-02,"02","quantile",0.025,0.151535941365965
2024-03-02,1,"wk inc flu hosp",2024-03-09,"02","quantile",0.025,0
2024-03-02,2,"wk inc flu hosp",2024-03-16,"02","quantile",0.025,0
2024-03-02,3,"wk inc flu hosp",2024-03-23,"02","quantile",0.025,0
2024-03-02,-1,"wk inc flu hosp",2024-02-24,"02","quantile",0.05,0.495583729606465
2024-03-02,0,"wk inc flu hosp",2024-03-02,"02","quantile",0.05,0.478689401474215
2024-03-02,1,"wk inc flu hosp",2024-03-09,"02","quantile",0.05,0.124000528374063
2024-03-02,2,"wk inc flu hosp",2024-03-16,"02","quantile",0.05,0
2024-03-02,3,"wk inc flu hosp",2024-03-23,"02","quantile",0.05,0
2024-03-02,-1,"wk inc flu hosp",2024-02-24,"02","quantile",0.1,0.98529634435541
2024-03-02,0,"wk inc flu hosp",2024-03-02,"02","quantile",0.1,0.96274791292401
2024-03-02,1,"wk inc flu hosp",2024-03-09,"02","quantile",0.1,0.586386901814608
2024-03-02,2,"wk inc flu hosp",2024-03-16,"02","quantile",0.1,0.418272242046567
2024-03-02,3,"wk inc flu hosp",2024-03-23,"02","quantile",0.1,0.35105625170224
2024-03-02,-1,"wk inc flu hosp",2024-02-24,"02","quantile",0.15,1.39551791948554
2024-03-02,0,"wk inc flu hosp",2024-03-02,"02","quantile",0.15,1.3684070909119
2024-03-02,1,"wk inc flu hosp",2024-03-09,"02","quantile",0.15,0.99483569537207
2024-03-02,2,"wk inc flu hosp",2024-03-16,"02","quantile",0.15,0.821082697213476
2024-03-02,3,"wk inc flu hosp",2024-03-23,"02","quantile",0.15,0.754583045031123
2024-03-02,-1,"wk inc flu hosp",2024-02-24,"02","quantile",0.2,1.77355941300513
2024-03-02,0,"wk inc flu hosp",2024-03-02,"02","quantile",0.2,1.74379161039957
2024-03-02,1,"wk inc flu hosp",2024-03-09,"02","quantile",0.2,1.39591683625843
2024-03-02,2,"wk inc flu hosp",2024-03-16,"02","quantile",0.2,1.22132722863714
2024-03-02,3,"wk inc flu hosp",2024-03-23,"02","quantile",0.2,1.15556228404698
2024-03-02,-1,"wk inc flu hosp",2024-02-24,"02","quantile",0.25,2.13842596208556
2024-03-02,0,"wk inc flu hosp",2024-03-02,"02","quantile",0.25,2.11270902831009
2024-03-02,1,"wk inc flu hosp",2024-03-09,"02","quantile",0.25,1.79511243870185
2024-03-02,2,"wk inc flu hosp",2024-03-16,"02","quantile",0.25,1.63825108261438
2024-03-02,3,"wk inc flu hosp",2024-03-23,"02","quantile",0.25,1.5631267207075
2024-03-02,-1,"wk inc flu hosp",2024-02-24,"02","quantile",0.3,2.51271317660718
2024-03-02,0,"wk inc flu hosp",2024-03-02,"02","quantile",0.3,2.48747759968197
2024-03-02,1,"wk inc flu hosp",2024-03-09,"02","quantile",0.3,2.23234939048726
2024-03-02,2,"wk inc flu hosp",2024-03-16,"02","quantile",0.3,2.06790678356272
2024-03-02,3,"wk inc flu hosp",2024-03-23,"02","quantile",0.3,2.02088198547043
2024-03-02,-1,"wk inc flu hosp",2024-02-24,"02","quantile",0.35,2.90764720900341
2024-03-02,0,"wk inc flu hosp",2024-03-02,"02","quantile",0.35,2.87016849295342
2024-03-02,1,"wk inc flu hosp",2024-03-09,"02","quantile",0.35,2.68732931891063
2024-03-02,2,"wk inc flu hosp",2024-03-16,"02","quantile",0.35,2.55881427481278
2024-03-02,3,"wk inc flu hosp",2024-03-23,"02","quantile",0.35,2.51668521272534
2024-03-02,-1,"wk inc flu hosp",2024-02-24,"02","quantile",0.4,3.29146621067233
2024-03-02,0,"wk inc flu hosp",2024-03-02,"02","quantile",0.4,3.27858022784344
2024-03-02,1,"wk inc flu hosp",2024-03-09,"02","quantile",0.4,3.16866444849609
2024-03-02,2,"wk inc flu hosp",2024-03-16,"02","quantile",0.4,3.08484716850032
2024-03-02,3,"wk inc flu hosp",2024-03-23,"02","quantile",0.4,3.05317954387857
2024-03-02,-1,"wk inc flu hosp",2024-02-24,"02","quantile",0.45,3.73515296482302
2024-03-02,0,"wk inc flu hosp",2024-03-02,"02","quantile",0.45,3.70594373945068
2024-03-02,1,"wk inc flu hosp",2024-03-09,"02","quantile",0.45,3.68576289198224
2024-03-02,2,"wk inc flu hosp",2024-03-16,"02","quantile",0.45,3.68210706808514
2024-03-02,3,"wk inc flu hosp",2024-03-23,"02","quantile",0.45,3.64648604471767
2024-03-02,-1,"wk inc flu hosp",2024-02-24,"02","quantile",0.5,4.21603380056153
2024-03-02,0,"wk inc flu hosp",2024-03-02,"02","quantile",0.5,4.17825478342867
2024-03-02,1,"wk inc flu hosp",2024-03-09,"02","quantile",0.5,4.27190345758534
2024-03-02,2,"wk inc flu hosp",2024-03-16,"02","quantile",0.5,4.3409536667815
2024-03-02,3,"wk inc flu hosp",2024-03-23,"02","quantile",0.5,4.33926682778517
2024-03-02,-1,"wk inc flu hosp",2024-02-24,"02","quantile",0.55,4.73948049300764
2024-03-02,0,"wk inc flu hosp",2024-03-02,"02","quantile",0.55,4.71030205874397
2024-03-02,1,"wk inc flu hosp",2024-03-09,"02","quantile",0.55,4.94432146945393
2024-03-02,2,"wk inc flu hosp",2024-03-16,"02","quantile",0.55,5.1066806788865
2024-03-02,3,"wk inc flu hosp",2024-03-23,"02","quantile",0.55,5.14208049980276
2024-03-02,-1,"wk inc flu hosp",2024-02-24,"02","quantile",0.6,5.31030891952082
2024-03-02,0,"wk inc flu hosp",2024-03-02,"02","quantile",0.6,5.28564274106283
2024-03-02,1,"wk inc flu hosp",2024-03-09,"02","quantile",0.6,5.70937237242938
2024-03-02,2,"wk inc flu hosp",2024-03-16,"02","quantile",0.6,5.99229594625819
2024-03-02,3,"wk inc flu hosp",2024-03-23,"02","quantile",0.6,6.09870588975843
2024-03-02,-1,"wk inc flu hosp",2024-02-24,"02","quantile",0.65,5.98525126725167
2024-03-02,0,"wk inc flu hosp",2024-03-02,"02","quantile",0.65,5.95770550245036
2024-03-02,1,"wk inc flu hosp",2024-03-09,"02","quantile",0.65,6.6270620237567
2024-03-02,2,"wk inc flu hosp",2024-03-16,"02","quantile",0.65,7.03264630526693
2024-03-02,3,"wk inc flu hosp",2024-03-23,"02","quantile",0.65,7.22822411027617
2024-03-02,-1,"wk inc flu hosp",2024-02-24,"02","quantile",0.7,6.75210273503415
2024-03-02,0,"wk inc flu hosp",2024-03-02,"02","quantile",0.7,6.73453281937255
2024-03-02,1,"wk inc flu hosp",2024-03-09,"02","quantile",0.7,7.73777461751047
2024-03-02,2,"wk inc flu hosp",2024-03-16,"02","quantile",0.7,8.3146515978838
2024-03-02,3,"wk inc flu hosp",2024-03-23,"02","quantile",0.7,8.60951090455616
