"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"01","quantile",0.01,18.2298383068136
2024-02-10,0,"wk inc flu hosp",2024-02-10,"01","quantile",0.01,17.0149017553834
2024-02-10,1,"wk inc flu hosp",2024-02-17,"01","quantile",0.01,8.5273254251977
2024-02-10,2,"wk inc flu hosp",2024-02-24,"01","quantile",0.01,5.81334858362715
2024-02-10,3,"wk inc flu hosp",2024-03-02,"01","quantile",0.01,4.56897641913706
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"01","quantile",0.025,22.6905943094835
2024-02-10,0,"wk inc flu hosp",2024-02-10,"01","quantile",0.025,21.3661870686597
2024-02-10,1,"wk inc flu hosp",2024-02-17,"01","quantile",0.025,11.359197701684
2024-02-10,2,"wk inc flu hosp",2024-02-24,"01","quantile",0.025,7.99624344075994
2024-02-10,3,"wk inc flu hosp",2024-03-02,"01","quantile",0.025,6.47069682251502
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"01","quantile",0.05,27.1919794490551
2024-02-10,0,"wk inc flu hosp",2024-02-10,"01","quantile",0.05,25.9315606516946
2024-02-10,1,"wk inc flu hosp",2024-02-17,"01","quantile",0.05,14.5172297731233
2024-02-10,2,"wk inc flu hosp",2024-02-24,"01","quantile",0.05,10.4968072774941
2024-02-10,3,"wk inc flu hosp",2024-03-02,"01","quantile",0.05,8.5460747130972
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"01","quantile",0.1,33.629146230953
2024-02-10,0,"wk inc flu hosp",2024-02-10,"01","quantile",0.1,32.0243776455102
2024-02-10,1,"wk inc flu hosp",2024-02-17,"01","quantile",0.1,19.1338167830796
2024-02-10,2,"wk inc flu hosp",2024-02-24,"01","quantile",0.1,14.1629117809601
2024-02-10,3,"wk inc flu hosp",2024-03-02,"01","quantile",0.1,11.7040328959108
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"01","quantile",0.15,38.9077588435474
2024-02-10,0,"wk inc flu hosp",2024-02-10,"01","quantile",0.15,36.9612902953437
2024-02-10,1,"wk inc flu hosp",2024-02-17,"01","quantile",0.15,23.0310938764292
2024-02-10,2,"wk inc flu hosp",2024-02-24,"01","quantile",0.15,17.3079751841626
2024-02-10,3,"wk inc flu hosp",2024-03-02,"01","quantile",0.15,14.5648065034006
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"01","quantile",0.2,43.5378557008335
