"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2023-11-11,-1,"wk inc flu hosp",2023-11-04,"01","quantile",0.01,0
2023-11-11,0,"wk inc flu hosp",2023-11-11,"01","quantile",0.01,0
2023-11-11,1,"wk inc flu hosp",2023-11-18,"01","quantile",0.01,0
2023-11-11,2,"wk inc flu hosp",2023-11-25,"01","quantile",0.01,0
2023-11-11,3,"wk inc flu hosp",2023-12-02,"01","quantile",0.01,0
2023-11-11,-1,"wk inc flu hosp",2023-11-04,"01","quantile",0.025,2.70053949996888
2023-11-11,0,"wk inc flu hosp",2023-11-11,"01","quantile",0.025,3.70978264857149
2023-11-11,1,"wk inc flu hosp",2023-11-18,"01","quantile",0.025,0
2023-11-11,2,"wk inc flu hosp",2023-11-25,"01","quantile",0.025,0
2023-11-11,3,"wk inc flu hosp",2023-12-02,"01","quantile",0.025,0
2023-11-11,-1,"wk inc flu hosp",2023-11-04,"01","quantile",0.05,8.08089641799631
2023-11-11,0,"wk inc flu hosp",2023-11-11,"01","quantile",0.05,8.83985608292947
2023-11-11,1,"wk inc flu hosp",2023-11-18,"01","quantile",0.05,2.82189077655489
2023-11-11,2,"wk inc flu hosp",2023-11-25,"01","quantile",0.05,0.317267420550027
2023-11-11,3,"wk inc flu hosp",2023-12-02,"01","quantile",0.05,0
2023-11-11,-1,"wk inc flu hosp",2023-11-04,"01","quantile",0.1,13.9288011584665
2023-11-11,0,"wk inc flu hosp",2023-11-11,"01","quantile",0.1,14.6923540571687
2023-11-11,1,"wk inc flu hosp",2023-11-18,"01","quantile",0.1,9.59303263678628
2023-11-11,2,"wk inc flu hosp",2023-11-25,"01","quantile",0.1,7.73016597543508
2023-11-11,3,"wk inc flu hosp",2023-12-02,"01","quantile",0.1,7.16360407763653
2023-11-11,-1,"wk inc flu hosp",2023-11-04,"01","quantile",0.15,17.7645665344229
2023-11-11,0,"wk inc flu hosp",2023-11-11,"01","quantile",0.15,18.5601846067723
2023-11-11,1,"wk inc flu hosp",2023-11-18,"01","quantile",0.15,14.0345044678751
2023-11-11,2,"wk inc flu hosp",2023-11-25,"01","quantile",0.15,12.7426588790966
2023-11-11,3,"wk inc flu hosp",2023-12-02,"01","quantile",0.15,12.5156852961201
2023-11-11,-1,"wk inc flu hosp",2023-11-04,"01","quantile",0.2,20.8942889446681
2023-11-11,0,"wk inc flu hosp",2023-11-11,"01","quantile",0.2,21.6325165566945
2023-11-11,1,"wk inc flu hosp",2023-11-18,"01","quantile",0.2,17.6437192414207
2023-11-11,2,"wk inc flu hosp",2023-11-25,"01","quantile",0.2,16.7526115371977
2023-11-11,3,"wk inc flu hosp",2023-12-02,"01","quantile",0.2,16.9233565245639
2023-11-11,-1,"wk inc flu hosp",2023-11-04,"01","quantile",0.25,23.46776581372
2023-11-11,0,"wk inc flu hosp",2023-11-11,"01","quantile",0.25,24.3117129013478
2023-11-11,1,"wk inc flu hosp",2023-11-18,"01","quantile",0.25,20.9395560619467
2023-11-11,2,"wk inc flu hosp",2023-11-25,"01","quantile",0.25,20.4049618812366
2023-11-11,3,"wk inc flu hosp",2023-12-02,"01","quantile",0.25,20.8395271016421
2023-11-11,-1,"wk inc flu hosp",2023-11-04,"01","quantile",0.3,25.710418198952
2023-11-11,0,"wk inc flu hosp",2023-11-11,"01","quantile",0.3,26.6610957625411
2023-11-11,1,"wk inc flu hosp",2023-11-18,"01","quantile",0.3,23.9702591191614
2023-11-11,2,"wk inc flu hosp",2023-11-25,"01","quantile",0.3,23.775406400831
2023-11-11,3,"wk inc flu hosp",2023-12-02,"01","quantile",0.3,24.570111632725
2023-11-11,-1,"wk inc flu hosp",2023-11-04,"01","quantile",0.35,27.830829666887
2023-11-11,0,"wk inc flu hosp",2023-11-11,"01","quantile",0.35,28.8230052801544
2023-11-11,1,"wk inc flu hosp",2023-11-18,"01","quantile",0.35,26.7288232381605
2023-11-11,2,"wk inc flu hosp",2023-11-25,"01","quantile",0.35,27.1035645646818
2023-11-11,3,"wk inc flu hosp",2023-12-02,"01","quantile",0.35,28.1052217260528
2023-11-11,-1,"wk inc flu hosp",2023-11-04,"01","quantile",0.4,29.8253147882981
2023-11-11,0,"wk inc flu hosp",2023-11-11,"01","quantile",0.4,30.8779845364379
