"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2024-04-13,-1,"wk inc flu hosp",2024-04-06,"01","quantile",0.01,0
2024-04-13,0,"wk inc flu hosp",2024-04-13,"01","quantile",0.01,0
2024-04-13,1,"wk inc flu hosp",2024-04-20,"01","quantile",0.01,0
2024-04-13,2,"wk inc flu hosp",2024-04-27,"01","quantile",0.01,0
2024-04-13,3,"wk inc flu hosp",2024-05-04,"01","quantile",0.01,0
2024-04-13,-1,"wk inc flu hosp",2024-04-06,"01","quantile",0.025,0
2024-04-13,0,"wk inc flu hosp",2024-04-13,"01","quantile",0.025,0
2024-04-13,1,"wk inc flu hosp",2024-04-20,"01","quantile",0.025,0
2024-04-13,2,"wk inc flu hosp",2024-04-27,"01","quantile",0.025,0
2024-04-13,3,"wk inc flu hosp",2024-05-04,"01","quantile",0.025,0
2024-04-13,-1,"wk inc flu hosp",2024-04-06,"01","quantile",0.05,1.84508341870579
2024-04-13,0,"wk inc flu hosp",2024-04-13,"01","quantile",0.05,0.925597806457306
2024-04-13,1,"wk inc flu hosp",2024-04-20,"01","quantile",0.05,0
2024-04-13,2,"wk inc flu hosp",2024-04-27,"01","quantile",0.05,0
2024-04-13,3,"wk inc flu hosp",2024-05-04,"01","quantile",0.05,0
2024-04-13,-1,"wk inc flu hosp",2024-04-06,"01","quantile",0.1,11.4260912548086
2024-04-13,0,"wk inc flu hosp",2024-04-13,"01","quantile",0.1,10.8783763895563
2024-04-13,1,"wk inc flu hosp",2024-04-20,"01","quantile",0.1,0.572037259172558
2024-04-13,2,"wk inc flu hosp",2024-04-27,"01","quantile",0.1,0
2024-04-13,3,"wk inc flu hosp",2024-05-04,"01","quantile",0.1,0
2024-04-13,-1,"wk inc flu hosp",2024-04-06,"01","quantile",0.15,16.6039700639387
2024-04-13,0,"wk inc flu hosp",2024-04-13,"01","quantile",0.15,16.133832164277
2024-04-13,1,"wk inc flu hosp",2024-04-20,"01","quantile",0.15,7.25985072983594
2024-04-13,2,"wk inc flu hosp",2024-04-27,"01","quantile",0.15,2.66797779071135
2024-04-13,3,"wk inc flu hosp",2024-05-04,"01","quantile",0.15,0.126977047274546
2024-04-13,-1,"wk inc flu hosp",2024-04-06,"01","quantile",0.2,20.1691364311716
2024-04-13,0,"wk inc flu hosp",2024-04-13,"01","quantile",0.2,19.6655453942413
2024-04-13,1,"wk inc flu hosp",2024-04-20,"01","quantile",0.2,11.8937106416148
2024-04-13,2,"wk inc flu hosp",2024-04-27,"01","quantile",0.2,7.82884605745342
2024-04-13,3,"wk inc flu hosp",2024-05-04,"01","quantile",0.2,5.63861469808585
2024-04-13,-1,"wk inc flu hosp",2024-04-06,"01","quantile",0.25,22.8451424116107
2024-04-13,0,"wk inc flu hosp",2024-04-13,"01","quantile",0.25,22.4956761951394
2024-04-13,1,"wk inc flu hosp",2024-04-20,"01","quantile",0.25,15.6623117419713
2024-04-13,2,"wk inc flu hosp",2024-04-27,"01","quantile",0.25,12.0023260163711
2024-04-13,3,"wk inc flu hosp",2024-05-04,"01","quantile",0.25,10.018628841632
2024-04-13,-1,"wk inc flu hosp",2024-04-06,"01","quantile",0.3,25.2729464799375
