"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2023-12-30,-1,"wk inc flu hosp",2023-12-23,"01","quantile",0.01,109.396134538329
2023-12-30,0,"wk inc flu hosp",2023-12-30,"01","quantile",0.01,130.926118935307
2023-12-30,1,"wk inc flu hosp",2024-01-06,"01","quantile",0.01,139.953956732776
2023-12-30,2,"wk inc flu hosp",2024-01-13,"01","quantile",0.01,126.358628497715
2023-12-30,3,"wk inc flu hosp",2024-01-20,"01","quantile",0.01,99.0172301290998
2023-12-30,-1,"wk inc flu hosp",2023-12-23,"01","quantile",0.025,142.719358524746
2023-12-30,0,"wk inc flu hosp",2023-12-30,"01","quantile",0.025,170.153670336615
2023-12-30,1,"wk inc flu hosp",2024-01-06,"01","quantile",0.025,177.680783895191
2023-12-30,2,"wk inc flu hosp",2024-01-13,"01","quantile",0.025,169.439095312189
2023-12-30,3,"wk inc flu hosp",2024-01-20,"01","quantile",0.025,147.213822804021
2023-12-30,-1,"wk inc flu hosp",2023-12-23,"01","quantile",0.05,171.552293705069
2023-12-30,0,"wk inc flu hosp",2023-12-30,"01","quantile",0.05,201.474436543836
2023-12-30,1,"wk inc flu hosp",2024-01-06,"01","quantile",0.05,214.923447025633
2023-12-30,2,"wk inc flu hosp",2024-01-13,"01","quantile",0.05,212.776885046084
2023-12-30,3,"wk inc flu hosp",2024-01-20,"01","quantile",0.05,196.430267858153
2023-12-30,-1,"wk inc flu hosp",2023-12-23,"01","quantile",0.1,205.914667037121
2023-12-30,0,"wk inc flu hosp",2023-12-30,"01","quantile",0.1,240.425080323317
2023-12-30,1,"wk inc flu hosp",2024-01-06,"01","quantile",0.1,263.755624922402
2023-12-30,2,"wk inc flu hosp",2024-01-13,"01","quantile",0.1,273.915148601471
2023-12-30,3,"wk inc flu hosp",2024-01-20,"01","quantile",0.1,266.460172161806
2023-12-30,-1,"wk inc flu hosp",2023-12-23,"01","quantile",0.15,229.437949099837
2023-12-30,0,"wk inc flu hosp",2023-12-30,"01","quantile",0.15,266.55491588683
2023-12-30,1,"wk inc flu hosp",2024-01-06,"01","quantile",0.15,299.652257163051
2023-12-30,2,"wk inc flu hosp",2024-01-13,"01","quantile",0.15,321.343088718011
2023-12-30,3,"wk inc flu hosp",2024-01-20,"01","quantile",0.15,323.721741237525
2023-12-30,-1,"wk inc flu hosp",2023-12-23,"01","quantile",0.2,247.875846304005
2023-12-30,0,"wk inc flu hosp",2023-12-30,"01","quantile",0.2,288.070202326231
2023-12-30,1,"wk inc flu hosp",2024-01-06,"01","quantile",0.2,331.476790360866
2023-12-30,2,"wk inc flu hosp",2024-01-13,"01","quantile",0.2,361.877275368977
2023-12-30,3,"wk inc flu hosp",2024-01-20,"01","quantile",0.2,370.911144248823
2023-12-30,-1,"wk inc flu hosp",2023-12-23,"01","quantile",0.25,264.310567907989
2023-12-30,0,"wk inc flu hosp",2023-12-30,"01","quantile",0.25,306.72628485567
2023-12-30,1,"wk inc flu hosp",2024-01-06,"01","quantile",0.25,359.574382741834
2023-12-30,2,"wk inc flu hosp",2024-01-13,"01","quantile",0.25,399.770877890269
2023-12-30,3,"wk inc flu hosp",2024-01-20,"01","quantile",0.25,418.989266590736
2023-12-30,-1,"wk inc flu hosp",2023-12-23,"01","quantile",0.3,278.576644575174
2023-12-30,0,"wk inc flu hosp",2023-12-30,"01","quantile",0.3,324.736459793317
2023-12-30,1,"wk inc flu hosp",2024-01-06,"01","quantile",0.3,385.759581093283
2023-12-30,2,"wk inc flu hosp",2024-01-13,"01","quantile",0.3,437.019013298836
2023-12-30,3,"wk inc flu hosp",2024-01-20,"01","quantile",0.3,466.762628977493
2023-12-30,-1,"wk inc flu hosp",2023-12-23,"01","quantile",0.35,291.945850768964
2023-12-30,0,"wk inc flu hosp",2023-12-30,"01","quantile",0.35,341.137168526943
2023-12-30,1,"wk inc flu hosp",2024-01-06,"01","quantile",0.35,412.048148256245
2023-12-30,2,"wk inc flu hosp",2024-01-13,"01","quantile",0.35,473.289766076956
2023-12-30,3,"wk inc flu hosp",2024-01-20,"01","quantile",0.35,513.713493488798
2023-12-30,-1,"wk inc flu hosp",2023-12-23,"01","quantile",0.4,304.753596067854
2023-12-30,0,"wk inc flu hosp",2023-12-30,"01","quantile",0.4,356.773859841856
2023-12-30,1,"wk inc flu hosp",2024-01-06,"01","quantile",0.4,438.060697421357
2023-12-30,2,"wk inc flu hosp",2024-01-13,"01","quantile",0.4,509.472999397975
2023-12-30,3,"wk inc flu hosp",2024-01-20,"01","quantile",0.4,560.444284813558
2023-12-30,-1,"wk inc flu hosp",2023-12-23,"01","quantile",0.45,317.40353957236
2023-12-30,0,"wk inc flu hosp",2023-12-30,"01","quantile",0.45,371.992320182229
2023-12-30,1,"wk inc flu hosp",2024-01-06,"01","quantile",0.45,464.091002243127
2023-12-30,2,"wk inc flu hosp",2024-01-13,"01","quantile",0.45,545.71904869663
2023-12-30,3,"wk inc flu hosp",2024-01-20,"01","quantile",0.45,609.420286344131
2023-12-30,-1,"wk inc flu hosp",2023-12-23,"01","quantile",0.5,329.787045681226
2023-12-30,0,"wk inc flu hosp",2023-12-30,"01","quantile",0.5,387.300999446151
