"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.01,6.77404968670176
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.01,6.93114201851336
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.01,4.41709698129976
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.01,3.43044574595399
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.01,3.18495993968765
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.025,8.75805801014671
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.025,8.85489140053689
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.025,6.09173289310115
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.025,5.16529606012191
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.025,4.66957809407644
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.05,10.8190317447451
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.05,10.9306690784687
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.05,8.11402382845582
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.05,7.03420418392993
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.05,6.52918355018028
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.1,13.7069105622401
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.1,13.882807806336
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.1,11.0777083977415
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.1,9.92227677885312
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.1,9.49030097660051
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.15,16.0403421126161
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.15,16.2228002908563
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.15,13.6341314720879
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.15,12.4336728965556
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.15,12.1906996596136
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.2,18.1241845169622
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.2,18.337557027079
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.2,15.8787768623312
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.2,15.0764378631929
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.2,14.8439475906304
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.25,20.097142759023
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.25,20.4004865205812
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.25,18.2876305292387
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.25,17.7150193865715
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.25,17.5572479608696
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.3,22.0313154006427
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.3,22.2812499679286
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.3,20.6474526610858
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.3,20.4353042628861
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.3,20.5671031696935
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.35,24.078473091451
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.35,24.2944564103809
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.35,23.1818870297623
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.35,23.3678142931192
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.35,23.84310286377
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.4,26.1416774649125
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.4,26.3704409882209
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.4,25.9701975052335
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.4,26.5318820936287
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.4,27.3705275349732
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.45,28.3313783825745
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.45,28.5355001706378
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.45,28.9928503685825
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.45,29.9102108340562
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.45,31.465800745576
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.5,30.5605141791202
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.5,30.8484579885985
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.5,32.2353348150841
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.5,33.7446342511146
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.5,35.9954701701382
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.55,32.9692051348059
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.55,33.4127681030973
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.55,35.6477897057364
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.55,38.2321424252709
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.55,41.4860034342077
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.6,35.6392036200697
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.6,36.0619787756581
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.6,39.6613640258586
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.6,43.3757950335303
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.6,47.2954198783401
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.65,38.7200923691821
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.65,39.1466521366259
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.65,44.2606901606335
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.65,49.4807189411777
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.65,54.6272916540026
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.7,42.1429248092857
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.7,42.6330218332102
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.7,49.8352378095239
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.7,56.7750093478642
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.7,63.9629759978808
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.75,46.1017000847118
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.75,46.7837680035716
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.75,56.4584632995685
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.75,66.0415931735528
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.75,75.3424402162548
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.8,51.0442973931328
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.8,51.7123731579569
