"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2023-12-09,-1,"wk inc flu hosp",2023-12-02,"01","quantile",0.01,0
2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.01,0
2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.01,0.109461243016143
2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.01,0
2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.01,0
2023-12-09,-1,"wk inc flu hosp",2023-12-02,"01","quantile",0.025,0
2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.025,0
2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.025,0.379423761459771
2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.025,0.196934123787053
2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.025,0.212027780454118
2023-12-09,-1,"wk inc flu hosp",2023-12-02,"01","quantile",0.05,0.160409978168164
2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.05,0.161618008860002
2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.05,0.64562741812215
2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.05,0.447681945627199
2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.05,0.453933122068057
2023-12-09,-1,"wk inc flu hosp",2023-12-02,"01","quantile",0.1,0.777298884070905
2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.1,0.781131518428662
2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.1,1.01461187374883
2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.1,0.78654452618793
2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.1,0.788818460668999
2023-12-09,-1,"wk inc flu hosp",2023-12-02,"01","quantile",0.15,1.35322739427699
2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.15,1.35888526376335
2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.15,1.31067279114086
2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.15,1.05724151876299
2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.15,1.04692075779317
2023-12-09,-1,"wk inc flu hosp",2023-12-02,"01","quantile",0.2,1.91076602011222
2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.2,1.91753514290463
2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.2,1.58249293107795
2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.2,1.29729054795821
2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.2,1.27377586844558
2023-12-09,-1,"wk inc flu hosp",2023-12-02,"01","quantile",0.25,2.51012500906356
2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.25,2.52220008314187
2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.25,1.85258502481244
2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.25,1.53617245468808
2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.25,1.49846983953547
2023-12-09,-1,"wk inc flu hosp",2023-12-02,"01","quantile",0.3,3.15134303006258
