"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2023-12-30,-1,"wk inc flu hosp",2023-12-23,"01","quantile",0.01,164.331151467797
2023-12-30,0,"wk inc flu hosp",2023-12-30,"01","quantile",0.01,170.725354749163
2023-12-30,1,"wk inc flu hosp",2024-01-06,"01","quantile",0.01,122.907834666781
2023-12-30,2,"wk inc flu hosp",2024-01-13,"01","quantile",0.01,95.9269907193966
2023-12-30,3,"wk inc flu hosp",2024-01-20,"01","quantile",0.01,76.048261112784
2023-12-30,-1,"wk inc flu hosp",2023-12-23,"01","quantile",0.025,194.964696766283
2023-12-30,0,"wk inc flu hosp",2023-12-30,"01","quantile",0.025,201.935279827499
2023-12-30,1,"wk inc flu hosp",2024-01-06,"01","quantile",0.025,165.03903076826
2023-12-30,2,"wk inc flu hosp",2024-01-13,"01","quantile",0.025,145.524252256868
2023-12-30,3,"wk inc flu hosp",2024-01-20,"01","quantile",0.025,133.426472623624
2023-12-30,-1,"wk inc flu hosp",2023-12-23,"01","quantile",0.05,214.800312774073
2023-12-30,0,"wk inc flu hosp",2023-12-30,"01","quantile",0.05,220.87989056917
2023-12-30,1,"wk inc flu hosp",2024-01-06,"01","quantile",0.05,195.482190696569
2023-12-30,2,"wk inc flu hosp",2024-01-13,"01","quantile",0.05,180.721647644523
2023-12-30,3,"wk inc flu hosp",2024-01-20,"01","quantile",0.05,170.875602004966
2023-12-30,-1,"wk inc flu hosp",2023-12-23,"01","quantile",0.1,234.178066566482
2023-12-30,0,"wk inc flu hosp",2023-12-30,"01","quantile",0.1,240.057117743119
2023-12-30,1,"wk inc flu hosp",2024-01-06,"01","quantile",0.1,225.087042828098
2023-12-30,2,"wk inc flu hosp",2024-01-13,"01","quantile",0.1,218.090982209836
2023-12-30,3,"wk inc flu hosp",2024-01-20,"01","quantile",0.1,214.590132975275
2023-12-30,-1,"wk inc flu hosp",2023-12-23,"01","quantile",0.15,246.004811561446
2023-12-30,0,"wk inc flu hosp",2023-12-30,"01","quantile",0.15,251.624867912336
2023-12-30,1,"wk inc flu hosp",2024-01-06,"01","quantile",0.15,245.127129769985
2023-12-30,2,"wk inc flu hosp",2024-01-13,"01","quantile",0.15,244.005130581307
2023-12-30,3,"wk inc flu hosp",2024-01-20,"01","quantile",0.15,244.574725085051
2023-12-30,-1,"wk inc flu hosp",2023-12-23,"01","quantile",0.2,254.81892746596
2023-12-30,0,"wk inc flu hosp",2023-12-30,"01","quantile",0.2,260.687979385861
2023-12-30,1,"wk inc flu hosp",2024-01-06,"01","quantile",0.2,260.932656135887
2023-12-30,2,"wk inc flu hosp",2024-01-13,"01","quantile",0.2,264.565365264286
2023-12-30,3,"wk inc flu hosp",2024-01-20,"01","quantile",0.2,269.14657735543
2023-12-30,-1,"wk inc flu hosp",2023-12-23,"01","quantile",0.25,261.923079784607
2023-12-30,0,"wk inc flu hosp",2023-12-30,"01","quantile",0.25,268.109998285846
2023-12-30,1,"wk inc flu hosp",2024-01-06,"01","quantile",0.25,273.81280751851
2023-12-30,2,"wk inc flu hosp",2024-01-13,"01","quantile",0.25,282.887962505573
2023-12-30,3,"wk inc flu hosp",2024-01-20,"01","quantile",0.25,291.813651348538
2023-12-30,-1,"wk inc flu hosp",2023-12-23,"01","quantile",0.3,268.269075825943
2023-12-30,0,"wk inc flu hosp",2023-12-30,"01","quantile",0.3,274.452572020868
2023-12-30,1,"wk inc flu hosp",2024-01-06,"01","quantile",0.3,285.098765803263
2023-12-30,2,"wk inc flu hosp",2024-01-13,"01","quantile",0.3,299.364824618478
2023-12-30,3,"wk inc flu hosp",2024-01-20,"01","quantile",0.3,312.368282211107
2023-12-30,-1,"wk inc flu hosp",2023-12-23,"01","quantile",0.35,273.859873022117
2023-12-30,0,"wk inc flu hosp",2023-12-30,"01","quantile",0.35,280.281456046159
2023-12-30,1,"wk inc flu hosp",2024-01-06,"01","quantile",0.35,295.992601935416
2023-12-30,2,"wk inc flu hosp",2024-01-13,"01","quantile",0.35,314.010164461339
2023-12-30,3,"wk inc flu hosp",2024-01-20,"01","quantile",0.35,331.225960331925
2023-12-30,-1,"wk inc flu hosp",2023-12-23,"01","quantile",0.4,278.76379905037
2023-12-30,0,"wk inc flu hosp",2023-12-30,"01","quantile",0.4,285.499157649181
2023-12-30,1,"wk inc flu hosp",2024-01-06,"01","quantile",0.4,305.567084147744
2023-12-30,2,"wk inc flu hosp",2024-01-13,"01","quantile",0.4,327.838736260531
2023-12-30,3,"wk inc flu hosp",2024-01-20,"01","quantile",0.4,349.357306828721
2023-12-30,-1,"wk inc flu hosp",2023-12-23,"01","quantile",0.45,283.638441983184
