"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2024-04-27,-1,"wk inc flu hosp",2024-04-20,"01","quantile",0.01,1.05955134712255
2024-04-27,0,"wk inc flu hosp",2024-04-27,"01","quantile",0.01,1.08868408944004
2024-04-27,1,"wk inc flu hosp",2024-05-04,"01","quantile",0.01,1.01779944350745
2024-04-27,2,"wk inc flu hosp",2024-05-11,"01","quantile",0.01,1.13711556399197
2024-04-27,3,"wk inc flu hosp",2024-05-18,"01","quantile",0.01,1.19106086212629
2024-04-27,-1,"wk inc flu hosp",2024-04-20,"01","quantile",0.025,2.44825923935981
2024-04-27,0,"wk inc flu hosp",2024-04-27,"01","quantile",0.025,2.45463241662404
2024-04-27,1,"wk inc flu hosp",2024-05-04,"01","quantile",0.025,2.5218247084379
2024-04-27,2,"wk inc flu hosp",2024-05-11,"01","quantile",0.025,2.74265232973121
2024-04-27,3,"wk inc flu hosp",2024-05-18,"01","quantile",0.025,2.84689791274395
2024-04-27,-1,"wk inc flu hosp",2024-04-20,"01","quantile",0.05,4.51996940353092
2024-04-27,0,"wk inc flu hosp",2024-04-27,"01","quantile",0.05,4.47011025755796
2024-04-27,1,"wk inc flu hosp",2024-05-04,"01","quantile",0.05,4.68787586865687
2024-04-27,2,"wk inc flu hosp",2024-05-11,"01","quantile",0.05,5.10376005101211
2024-04-27,3,"wk inc flu hosp",2024-05-18,"01","quantile",0.05,5.21555481523407
2024-04-27,-1,"wk inc flu hosp",2024-04-20,"01","quantile",0.1,7.85512493606687
2024-04-27,0,"wk inc flu hosp",2024-04-27,"01","quantile",0.1,7.6829137863043
2024-04-27,1,"wk inc flu hosp",2024-05-04,"01","quantile",0.1,8.32377675357423
2024-04-27,2,"wk inc flu hosp",2024-05-11,"01","quantile",0.1,8.93095138710244
2024-04-27,3,"wk inc flu hosp",2024-05-18,"01","quantile",0.1,9.35101394276609
2024-04-27,-1,"wk inc flu hosp",2024-04-20,"01","quantile",0.15,10.393736875235
2024-04-27,0,"wk inc flu hosp",2024-04-27,"01","quantile",0.15,10.2367898347167
2024-04-27,1,"wk inc flu hosp",2024-05-04,"01","quantile",0.15,11.3868984072942
2024-04-27,2,"wk inc flu hosp",2024-05-11,"01","quantile",0.15,12.2260500482259
2024-04-27,3,"wk inc flu hosp",2024-05-18,"01","quantile",0.15,12.8107011685056
2024-04-27,-1,"wk inc flu hosp",2024-04-20,"01","quantile",0.2,12.6289699070855
2024-04-27,0,"wk inc flu hosp",2024-04-27,"01","quantile",0.2,12.5331705346499
2024-04-27,1,"wk inc flu hosp",2024-05-04,"01","quantile",0.2,14.0281259087914
2024-04-27,2,"wk inc flu hosp",2024-05-11,"01","quantile",0.2,15.147106287957
2024-04-27,3,"wk inc flu hosp",2024-05-18,"01","quantile",0.2,15.9681668067187
2024-04-27,-1,"wk inc flu hosp",2024-04-20,"01","quantile",0.25,14.6027690601747
2024-04-27,0,"wk inc flu hosp",2024-04-27,"01","quantile",0.25,14.573360274825
2024-04-27,1,"wk inc flu hosp",2024-05-04,"01","quantile",0.25,16.5415435556742
2024-04-27,2,"wk inc flu hosp",2024-05-11,"01","quantile",0.25,17.9327287463906
2024-04-27,3,"wk inc flu hosp",2024-05-18,"01","quantile",0.25,18.9553321604946
2024-04-27,-1,"wk inc flu hosp",2024-04-20,"01","quantile",0.3,16.4744007358776
2024-04-27,0,"wk inc flu hosp",2024-04-27,"01","quantile",0.3,16.3645054232677
2024-04-27,1,"wk inc flu hosp",2024-05-04,"01","quantile",0.3,18.9147254960747
2024-04-27,2,"wk inc flu hosp",2024-05-11,"01","quantile",0.3,20.601195718025
2024-04-27,3,"wk inc flu hosp",2024-05-18,"01","quantile",0.3,21.7950731657075
2024-04-27,-1,"wk inc flu hosp",2024-04-20,"01","quantile",0.35,18.2444617900978
2024-04-27,0,"wk inc flu hosp",2024-04-27,"01","quantile",0.35,18.113590582976
2024-04-27,1,"wk inc flu hosp",2024-05-04,"01","quantile",0.35,21.1868704530854
2024-04-27,2,"wk inc flu hosp",2024-05-11,"01","quantile",0.35,23.1910731805982
2024-04-27,3,"wk inc flu hosp",2024-05-18,"01","quantile",0.35,24.5143913603767
2024-04-27,-1,"wk inc flu hosp",2024-04-20,"01","quantile",0.4,19.918257232972
2024-04-27,0,"wk inc flu hosp",2024-04-27,"01","quantile",0.4,19.7818984751038
2024-04-27,1,"wk inc flu hosp",2024-05-04,"01","quantile",0.4,23.4701735296017
2024-04-27,2,"wk inc flu hosp",2024-05-11,"01","quantile",0.4,25.8064394697846
2024-04-27,3,"wk inc flu hosp",2024-05-18,"01","quantile",0.4,27.2602608415838
2024-04-27,-1,"wk inc flu hosp",2024-04-20,"01","quantile",0.45,21.5924235070881
2024-04-27,0,"wk inc flu hosp",2024-04-27,"01","quantile",0.45,21.4930488035618
2024-04-27,1,"wk inc flu hosp",2024-05-04,"01","quantile",0.45,25.6778324059338
2024-04-27,2,"wk inc flu hosp",2024-05-11,"01","quantile",0.45,28.3681407288294
2024-04-27,3,"wk inc flu hosp",2024-05-18,"01","quantile",0.45,30.0846989698764
2024-04-27,-1,"wk inc flu hosp",2024-04-20,"01","quantile",0.5,23.2431872283452
2024-04-27,0,"wk inc flu hosp",2024-04-27,"01","quantile",0.5,23.2165119128925
2024-04-27,1,"wk inc flu hosp",2024-05-04,"01","quantile",0.5,28.0067763862611
2024-04-27,2,"wk inc flu hosp",2024-05-11,"01","quantile",0.5,30.9313048253882
2024-04-27,3,"wk inc flu hosp",2024-05-18,"01","quantile",0.5,32.8123521249376
2024-04-27,-1,"wk inc flu hosp",2024-04-20,"01","quantile",0.55,25.055524483876
2024-04-27,0,"wk inc flu hosp",2024-04-27,"01","quantile",0.55,25.021437725892
2024-04-27,1,"wk inc flu hosp",2024-05-04,"01","quantile",0.55,30.3783406360942
2024-04-27,2,"wk inc flu hosp",2024-05-11,"01","quantile",0.55,33.6581074515121
2024-04-27,3,"wk inc flu hosp",2024-05-18,"01","quantile",0.55,35.6527929151484
2024-04-27,-1,"wk inc flu hosp",2024-04-20,"01","quantile",0.6,26.9520765629705
2024-04-27,0,"wk inc flu hosp",2024-04-27,"01","quantile",0.6,26.8060507988555
2024-04-27,1,"wk inc flu hosp",2024-05-04,"01","quantile",0.6,32.9094760583637
2024-04-27,2,"wk inc flu hosp",2024-05-11,"01","quantile",0.6,36.6357670433948
2024-04-27,3,"wk inc flu hosp",2024-05-18,"01","quantile",0.6,38.836122777057
2024-04-27,-1,"wk inc flu hosp",2024-04-20,"01","quantile",0.65,28.9785307316447
2024-04-27,0,"wk inc flu hosp",2024-04-27,"01","quantile",0.65,28.7962276445413
2024-04-27,1,"wk inc flu hosp",2024-05-04,"01","quantile",0.65,35.5773502302415
2024-04-27,2,"wk inc flu hosp",2024-05-11,"01","quantile",0.65,39.8570315282636
2024-04-27,3,"wk inc flu hosp",2024-05-18,"01","quantile",0.65,42.2383646691121
2024-04-27,-1,"wk inc flu hosp",2024-04-20,"01","quantile",0.7,31.2082170084552
2024-04-27,0,"wk inc flu hosp",2024-04-27,"01","quantile",0.7,30.9819860727995
2024-04-27,1,"wk inc flu hosp",2024-05-04,"01","quantile",0.7,38.6445988742008
2024-04-27,2,"wk inc flu hosp",2024-05-11,"01","quantile",0.7,43.5469183369735
2024-04-27,3,"wk inc flu hosp",2024-05-18,"01","quantile",0.7,46.0652849724669
2024-04-27,-1,"wk inc flu hosp",2024-04-20,"01","quantile",0.75,33.7784341766784
2024-04-27,0,"wk inc flu hosp",2024-04-27,"01","quantile",0.75,33.5014332422204
2024-04-27,1,"wk inc flu hosp",2024-05-04,"01","quantile",0.75,42.1820342801456
2024-04-27,2,"wk inc flu hosp",2024-05-11,"01","quantile",0.75,47.6495537798175
2024-04-27,3,"wk inc flu hosp",2024-05-18,"01","quantile",0.75,50.5363276096803
2024-04-27,-1,"wk inc flu hosp",2024-04-20,"01","quantile",0.8,36.9222455583582
2024-04-27,0,"wk inc flu hosp",2024-04-27,"01","quantile",0.8,36.5918570360394
2024-04-27,1,"wk inc flu hosp",2024-05-04,"01","quantile",0.8,46.5181733984029
2024-04-27,2,"wk inc flu hosp",2024-05-11,"01","quantile",0.8,52.6871619817654
2024-04-27,3,"wk inc flu hosp",2024-05-18,"01","quantile",0.8,56.0948779969496
2024-04-27,-1,"wk inc flu hosp",2024-04-20,"01","quantile",0.85,41.159166217606
2024-04-27,0,"wk inc flu hosp",2024-04-27,"01","quantile",0.85,40.7044815197213
2024-04-27,1,"wk inc flu hosp",2024-05-04,"01","quantile",0.85,52.3279158740031
2024-04-27,2,"wk inc flu hosp",2024-05-11,"01","quantile",0.85,59.1614586610948
2024-04-27,3,"wk inc flu hosp",2024-05-18,"01","quantile",0.85,63.3760608087119
2024-04-27,-1,"wk inc flu hosp",2024-04-20,"01","quantile",0.9,47.6788951519481
2024-04-27,0,"wk inc flu hosp",2024-04-27,"01","quantile",0.9,47.2548174477569
2024-04-27,1,"wk inc flu hosp",2024-05-04,"01","quantile",0.9,61.2723538594623
2024-04-27,2,"wk inc flu hosp",2024-05-11,"01","quantile",0.9,69.5604649218075
2024-04-27,3,"wk inc flu hosp",2024-05-18,"01","quantile",0.9,74.6459815363463
2024-04-27,-1,"wk inc flu hosp",2024-04-20,"01","quantile",0.95,62.2781505701881
2024-04-27,0,"wk inc flu hosp",2024-04-27,"01","quantile",0.95,61.0133067008565
2024-04-27,1,"wk inc flu hosp",2024-05-04,"01","quantile",0.95,80.930299906968
2024-04-27,2,"wk inc flu hosp",2024-05-11,"01","quantile",0.95,91.6618800426731
2024-04-27,3,"wk inc flu hosp",2024-05-18,"01","quantile",0.95,98.8250908938661
2024-04-27,-1,"wk inc flu hosp",2024-04-20,"01","quantile",0.975,85.0069758238597
2024-04-27,0,"wk inc flu hosp",2024-04-27,"01","quantile",0.975,83.7485145181058
2024-04-27,1,"wk inc flu hosp",2024-05-04,"01","quantile",0.975,113.919766377246
2024-04-27,2,"wk inc flu hosp",2024-05-11,"01","quantile",0.975,128.740118178464
2024-04-27,3,"wk inc flu hosp",2024-05-18,"01","quantile",0.975,138.558414329838
2024-04-27,-1,"wk inc flu hosp",2024-04-20,"01","quantile",0.99,138.578274137292
2024-04-27,0,"wk inc flu hosp",2024-04-27,"01","quantile",0.99,144.359027775505
2024-04-27,1,"wk inc flu hosp",2024-05-04,"01","quantile",0.99,198.708998260054
2024-04-27,2,"wk inc flu hosp",2024-05-11,"01","quantile",0.99,220.714428293701
2024-04-27,3,"wk inc flu hosp",2024-05-18,"01","quantile",0.99,235.091639885486
2024-04-27,-1,"wk inc flu hosp",2024-04-20,"02","quantile",0.01,0.0936950090649277
