"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2024-03-16,-1,"wk inc flu hosp",2024-03-09,"01","quantile",0.01,0
2024-03-16,0,"wk inc flu hosp",2024-03-16,"01","quantile",0.01,0
2024-03-16,1,"wk inc flu hosp",2024-03-23,"01","quantile",0.01,0
2024-03-16,2,"wk inc flu hosp",2024-03-30,"01","quantile",0.01,0
2024-03-16,3,"wk inc flu hosp",2024-04-06,"01","quantile",0.01,0
2024-03-16,-1,"wk inc flu hosp",2024-03-09,"01","quantile",0.025,13.9365479613622
2024-03-16,0,"wk inc flu hosp",2024-03-16,"01","quantile",0.025,12.6472163168398
2024-03-16,1,"wk inc flu hosp",2024-03-23,"01","quantile",0.025,0
2024-03-16,2,"wk inc flu hosp",2024-03-30,"01","quantile",0.025,0
2024-03-16,3,"wk inc flu hosp",2024-04-06,"01","quantile",0.025,0
2024-03-16,-1,"wk inc flu hosp",2024-03-09,"01","quantile",0.05,25.168562076869
2024-03-16,0,"wk inc flu hosp",2024-03-16,"01","quantile",0.05,24.1116968275602
2024-03-16,1,"wk inc flu hosp",2024-03-23,"01","quantile",0.05,0
2024-03-16,2,"wk inc flu hosp",2024-03-30,"01","quantile",0.05,0
2024-03-16,3,"wk inc flu hosp",2024-04-06,"01","quantile",0.05,0
2024-03-16,-1,"wk inc flu hosp",2024-03-09,"01","quantile",0.1,34.7771875689893
2024-03-16,0,"wk inc flu hosp",2024-03-16,"01","quantile",0.1,33.9238887371028
2024-03-16,1,"wk inc flu hosp",2024-03-23,"01","quantile",0.1,10.8275863015918
2024-03-16,2,"wk inc flu hosp",2024-03-30,"01","quantile",0.1,0
2024-03-16,3,"wk inc flu hosp",2024-04-06,"01","quantile",0.1,0
2024-03-16,-1,"wk inc flu hosp",2024-03-09,"01","quantile",0.15,39.9812277343981
2024-03-16,0,"wk inc flu hosp",2024-03-16,"01","quantile",0.15,39.3983599851267
2024-03-16,1,"wk inc flu hosp",2024-03-23,"01","quantile",0.15,17.7892201101368
2024-03-16,2,"wk inc flu hosp",2024-03-30,"01","quantile",0.15,6.26221316714371
2024-03-16,3,"wk inc flu hosp",2024-04-06,"01","quantile",0.15,0
2024-03-16,-1,"wk inc flu hosp",2024-03-09,"01","quantile",0.2,43.9575757182934
2024-03-16,0,"wk inc flu hosp",2024-03-16,"01","quantile",0.2,43.2962842114508
2024-03-16,1,"wk inc flu hosp",2024-03-23,"01","quantile",0.2,22.8880682800609
2024-03-16,2,"wk inc flu hosp",2024-03-30,"01","quantile",0.2,11.5292563098872
2024-03-16,3,"wk inc flu hosp",2024-04-06,"01","quantile",0.2,5.22171092803624
2024-03-16,-1,"wk inc flu hosp",2024-03-09,"01","quantile",0.25,47.1011704060529
2024-03-16,0,"wk inc flu hosp",2024-03-16,"01","quantile",0.25,46.3660617432488
2024-03-16,1,"wk inc flu hosp",2024-03-23,"01","quantile",0.25,26.9379023171216
2024-03-16,2,"wk inc flu hosp",2024-03-30,"01","quantile",0.25,15.9529832965156
