"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"01","quantile",0.01,0
2023-11-18,0,"wk inc flu hosp",2023-11-18,"01","quantile",0.01,0
2023-11-18,1,"wk inc flu hosp",2023-11-25,"01","quantile",0.01,0
2023-11-18,2,"wk inc flu hosp",2023-12-02,"01","quantile",0.01,0
2023-11-18,3,"wk inc flu hosp",2023-12-09,"01","quantile",0.01,0
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"01","quantile",0.025,3.2751527149027
2023-11-18,0,"wk inc flu hosp",2023-11-18,"01","quantile",0.025,6.12393290288058
2023-11-18,1,"wk inc flu hosp",2023-11-25,"01","quantile",0.025,1.30498829513296
2023-11-18,2,"wk inc flu hosp",2023-12-02,"01","quantile",0.025,0
2023-11-18,3,"wk inc flu hosp",2023-12-09,"01","quantile",0.025,0
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"01","quantile",0.05,11.5771082828278
2023-11-18,0,"wk inc flu hosp",2023-11-18,"01","quantile",0.05,15.5415228526553
2023-11-18,1,"wk inc flu hosp",2023-11-25,"01","quantile",0.05,12.3240165154975
2023-11-18,2,"wk inc flu hosp",2023-12-02,"01","quantile",0.05,12.2751584749662
2023-11-18,3,"wk inc flu hosp",2023-12-09,"01","quantile",0.05,13.821610588369
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"01","quantile",0.1,21.9825616114788
2023-11-18,0,"wk inc flu hosp",2023-11-18,"01","quantile",0.1,26.5587702809704
2023-11-18,1,"wk inc flu hosp",2023-11-25,"01","quantile",0.1,25.5849094210199
2023-11-18,2,"wk inc flu hosp",2023-12-02,"01","quantile",0.1,28.0161350221517
2023-11-18,3,"wk inc flu hosp",2023-12-09,"01","quantile",0.1,31.4916561567618
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"01","quantile",0.15,28.7734694931529
2023-11-18,0,"wk inc flu hosp",2023-11-18,"01","quantile",0.15,34.1851559200909
2023-11-18,1,"wk inc flu hosp",2023-11-25,"01","quantile",0.15,35.6425083245556
2023-11-18,2,"wk inc flu hosp",2023-12-02,"01","quantile",0.15,39.8445826966854
2023-11-18,3,"wk inc flu hosp",2023-12-09,"01","quantile",0.15,45.4980858667445
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"01","quantile",0.2,34.4833722269241
2023-11-18,0,"wk inc flu hosp",2023-11-18,"01","quantile",0.2,40.622684157621
2023-11-18,1,"wk inc flu hosp",2023-11-25,"01","quantile",0.2,44.0765910958364
2023-11-18,2,"wk inc flu hosp",2023-12-02,"01","quantile",0.2,50.4082397204311
2023-11-18,3,"wk inc flu hosp",2023-12-09,"01","quantile",0.2,57.9871517446081
