"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.01,0.192185886644043
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.01,0.182629267641088
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.01,0.191182740646875
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.01,0.175673727317094
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.01,0.169689185321133
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.025,0.48946688305981
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.025,0.484467476739448
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.025,0.475650346962488
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.025,0.441881249287113
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.025,0.443582907898572
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.05,1.01108893630146
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.05,1.01533720645723
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.05,0.984907057889836
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.05,0.946383737230795
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.05,0.934830276931809
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.1,2.13083897584901
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.1,2.14566579832341
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.1,2.11318259331237
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.1,2.01661831476269
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.1,2.00974909241373
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.15,3.40955436471967
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.15,3.34887140866433
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.15,3.33005642151805
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.15,3.19149926930297
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.15,3.16821191874717
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.2,4.72452073315597
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.2,4.71155674879315
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.2,4.68343440164764
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.2,4.43694438844994
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.2,4.38840561844754
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.25,6.12902240522472
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.25,6.2191563556834
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.25,6.13861248774495
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.25,5.76507797595647
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.25,5.74008700364905
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.3,7.67425712704416
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.3,7.74982823656156
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.3,7.6574751697017
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.3,7.22010604254135
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.3,7.23669433708983
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.35,9.34832188854697
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.35,9.38450219895198
