"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2024-02-03,-1,"wk inc flu hosp",2024-01-27,"01","quantile",0.01,31.528911338471
2024-02-03,0,"wk inc flu hosp",2024-02-03,"01","quantile",0.01,28.6078534735354
2024-02-03,1,"wk inc flu hosp",2024-02-10,"01","quantile",0.01,13.2937882282535
2024-02-03,2,"wk inc flu hosp",2024-02-17,"01","quantile",0.01,6.15628848117302
2024-02-03,3,"wk inc flu hosp",2024-02-24,"01","quantile",0.01,3.15051603419348
2024-02-03,-1,"wk inc flu hosp",2024-01-27,"01","quantile",0.025,53.7933144092939
2024-02-03,0,"wk inc flu hosp",2024-02-03,"01","quantile",0.025,52.4447074249275
2024-02-03,1,"wk inc flu hosp",2024-02-10,"01","quantile",0.025,24.446913754922
2024-02-03,2,"wk inc flu hosp",2024-02-17,"01","quantile",0.025,12.1709072636338
2024-02-03,3,"wk inc flu hosp",2024-02-24,"01","quantile",0.025,7.31604144096199
2024-02-03,-1,"wk inc flu hosp",2024-01-27,"01","quantile",0.05,70.5903989979502
2024-02-03,0,"wk inc flu hosp",2024-02-03,"01","quantile",0.05,67.9171988863183
2024-02-03,1,"wk inc flu hosp",2024-02-10,"01","quantile",0.05,35.9460630320799
2024-02-03,2,"wk inc flu hosp",2024-02-17,"01","quantile",0.05,20.038853806939
2024-02-03,3,"wk inc flu hosp",2024-02-24,"01","quantile",0.05,12.9749744194031
2024-02-03,-1,"wk inc flu hosp",2024-01-27,"01","quantile",0.1,83.8148502928956
2024-02-03,0,"wk inc flu hosp",2024-02-03,"01","quantile",0.1,80.7669694381747
2024-02-03,1,"wk inc flu hosp",2024-02-10,"01","quantile",0.1,48.3744696108257
2024-02-03,2,"wk inc flu hosp",2024-02-17,"01","quantile",0.1,30.5203624055621
2024-02-03,3,"wk inc flu hosp",2024-02-24,"01","quantile",0.1,21.4578780217371
2024-02-03,-1,"wk inc flu hosp",2024-01-27,"01","quantile",0.15,91.0288095222175
2024-02-03,0,"wk inc flu hosp",2024-02-03,"01","quantile",0.15,87.4348525679074
2024-02-03,1,"wk inc flu hosp",2024-02-10,"01","quantile",0.15,56.6634711460251
2024-02-03,2,"wk inc flu hosp",2024-02-17,"01","quantile",0.15,38.5118925591488
