"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2024-01-20,-1,"wk inc flu hosp",2024-01-13,"01","quantile",0.01,34.9851936577972
2024-01-20,0,"wk inc flu hosp",2024-01-20,"01","quantile",0.01,17.7185518171312
2024-01-20,1,"wk inc flu hosp",2024-01-27,"01","quantile",0.01,0
2024-01-20,2,"wk inc flu hosp",2024-02-03,"01","quantile",0.01,0
2024-01-20,3,"wk inc flu hosp",2024-02-10,"01","quantile",0.01,0
2024-01-20,-1,"wk inc flu hosp",2024-01-13,"01","quantile",0.025,79.3326007651464
2024-01-20,0,"wk inc flu hosp",2024-01-20,"01","quantile",0.025,69.541932906699
2024-01-20,1,"wk inc flu hosp",2024-01-27,"01","quantile",0.025,1.14396768547654
2024-01-20,2,"wk inc flu hosp",2024-02-03,"01","quantile",0.025,0
2024-01-20,3,"wk inc flu hosp",2024-02-10,"01","quantile",0.025,0
2024-01-20,-1,"wk inc flu hosp",2024-01-13,"01","quantile",0.05,95.7459594658818
2024-01-20,0,"wk inc flu hosp",2024-01-20,"01","quantile",0.05,85.6501384251143
2024-01-20,1,"wk inc flu hosp",2024-01-27,"01","quantile",0.05,24.4082755979888
2024-01-20,2,"wk inc flu hosp",2024-02-03,"01","quantile",0.05,0
2024-01-20,3,"wk inc flu hosp",2024-02-10,"01","quantile",0.05,0
2024-01-20,-1,"wk inc flu hosp",2024-01-13,"01","quantile",0.1,110.317196133371
2024-01-20,0,"wk inc flu hosp",2024-01-20,"01","quantile",0.1,98.4429589272708
2024-01-20,1,"wk inc flu hosp",2024-01-27,"01","quantile",0.1,39.7437802635439
2024-01-20,2,"wk inc flu hosp",2024-02-03,"01","quantile",0.1,11.3815934816624
2024-01-20,3,"wk inc flu hosp",2024-02-10,"01","quantile",0.1,0
2024-01-20,-1,"wk inc flu hosp",2024-01-13,"01","quantile",0.15,118.976057966786
2024-01-20,0,"wk inc flu hosp",2024-01-20,"01","quantile",0.15,105.871961235839
2024-01-20,1,"wk inc flu hosp",2024-01-27,"01","quantile",0.15,48.4503953706097
2024-01-20,2,"wk inc flu hosp",2024-02-03,"01","quantile",0.15,19.8990196687134
2024-01-20,3,"wk inc flu hosp",2024-02-10,"01","quantile",0.15,5.20410964135011
2024-01-20,-1,"wk inc flu hosp",2024-01-13,"01","quantile",0.2,125.965458564081
2024-01-20,0,"wk inc flu hosp",2024-01-20,"01","quantile",0.2,111.441257307652
2024-01-20,1,"wk inc flu hosp",2024-01-27,"01","quantile",0.2,55.0190840838215
2024-01-20,2,"wk inc flu hosp",2024-02-03,"01","quantile",0.2,26.5077582992025
2024-01-20,3,"wk inc flu hosp",2024-02-10,"01","quantile",0.2,11.4394680855225
2024-01-20,-1,"wk inc flu hosp",2024-01-13,"01","quantile",0.25,132.356313840464
2024-01-20,0,"wk inc flu hosp",2024-01-20,"01","quantile",0.25,116.625047398434
2024-01-20,1,"wk inc flu hosp",2024-01-27,"01","quantile",0.25,60.8157329946809
2024-01-20,2,"wk inc flu hosp",2024-02-03,"01","quantile",0.25,31.997283114448
2024-01-20,3,"wk inc flu hosp",2024-02-10,"01","quantile",0.25,16.563737581368
2024-01-20,-1,"wk inc flu hosp",2024-01-13,"01","quantile",0.3,138.161697056138
2024-01-20,0,"wk inc flu hosp",2024-01-20,"01","quantile",0.3,121.430345556536
2024-01-20,1,"wk inc flu hosp",2024-01-27,"01","quantile",0.3,66.2094442061209
2024-01-20,2,"wk inc flu hosp",2024-02-03,"01","quantile",0.3,37.0518199167679
2024-01-20,3,"wk inc flu hosp",2024-02-10,"01","quantile",0.3,21.4729237038382
2024-01-20,-1,"wk inc flu hosp",2024-01-13,"01","quantile",0.35,143.81462287015
2024-01-20,0,"wk inc flu hosp",2024-01-20,"01","quantile",0.35,126.101679714258
2024-01-20,1,"wk inc flu hosp",2024-01-27,"01","quantile",0.35,71.6604398506686
2024-01-20,2,"wk inc flu hosp",2024-02-03,"01","quantile",0.35,42.0085212433522
2024-01-20,3,"wk inc flu hosp",2024-02-10,"01","quantile",0.35,25.9709845200403
2024-01-20,-1,"wk inc flu hosp",2024-01-13,"01","quantile",0.4,149.365616625049
2024-01-20,0,"wk inc flu hosp",2024-01-20,"01","quantile",0.4,130.904826077255
2024-01-20,1,"wk inc flu hosp",2024-01-27,"01","quantile",0.4,77.1100861489707
2024-01-20,2,"wk inc flu hosp",2024-02-03,"01","quantile",0.4,47.2768134865891
2024-01-20,3,"wk inc flu hosp",2024-02-10,"01","quantile",0.4,30.5883246856372
2024-01-20,-1,"wk inc flu hosp",2024-01-13,"01","quantile",0.45,155.071983038191
2024-01-20,0,"wk inc flu hosp",2024-01-20,"01","quantile",0.45,135.818537642258
2024-01-20,1,"wk inc flu hosp",2024-01-27,"01","quantile",0.45,83.1064877815371
2024-01-20,2,"wk inc flu hosp",2024-02-03,"01","quantile",0.45,52.7855459196196
2024-01-20,3,"wk inc flu hosp",2024-02-10,"01","quantile",0.45,35.3749812159548
2024-01-20,-1,"wk inc flu hosp",2024-01-13,"01","quantile",0.5,161.03209381714
