"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2024-03-02,-1,"wk inc flu hosp",2024-02-24,"01","quantile",0.01,9.94509627765736
2024-03-02,0,"wk inc flu hosp",2024-03-02,"01","quantile",0.01,10.5139598884986
2024-03-02,1,"wk inc flu hosp",2024-03-09,"01","quantile",0.01,2.10251600603835
2024-03-02,2,"wk inc flu hosp",2024-03-16,"01","quantile",0.01,0.888289027185596
2024-03-02,3,"wk inc flu hosp",2024-03-23,"01","quantile",0.01,0.655432913356703
2024-03-02,-1,"wk inc flu hosp",2024-02-24,"01","quantile",0.025,18.5878759854016
2024-03-02,0,"wk inc flu hosp",2024-03-02,"01","quantile",0.025,18.4977127032255
2024-03-02,1,"wk inc flu hosp",2024-03-09,"01","quantile",0.025,4.85373699543892
2024-03-02,2,"wk inc flu hosp",2024-03-16,"01","quantile",0.025,2.21056088371341
2024-03-02,3,"wk inc flu hosp",2024-03-23,"01","quantile",0.025,1.64751212437543
2024-03-02,-1,"wk inc flu hosp",2024-02-24,"01","quantile",0.05,26.3247615878458
2024-03-02,0,"wk inc flu hosp",2024-03-02,"01","quantile",0.05,25.6725813413259
2024-03-02,1,"wk inc flu hosp",2024-03-09,"01","quantile",0.05,8.63169408109164
2024-03-02,2,"wk inc flu hosp",2024-03-16,"01","quantile",0.05,4.35370631953874
2024-03-02,3,"wk inc flu hosp",2024-03-23,"01","quantile",0.05,3.18648311984936
2024-03-02,-1,"wk inc flu hosp",2024-02-24,"01","quantile",0.1,34.8755855883591
2024-03-02,0,"wk inc flu hosp",2024-03-02,"01","quantile",0.1,33.5350054922925
2024-03-02,1,"wk inc flu hosp",2024-03-09,"01","quantile",0.1,14.5119660594609
2024-03-02,2,"wk inc flu hosp",2024-03-16,"01","quantile",0.1,8.24528700948042
2024-03-02,3,"wk inc flu hosp",2024-03-23,"01","quantile",0.1,6.14045991863183
2024-03-02,-1,"wk inc flu hosp",2024-02-24,"01","quantile",0.15,40.1641370513321
2024-03-02,0,"wk inc flu hosp",2024-03-02,"01","quantile",0.15,38.7402588185404
2024-03-02,1,"wk inc flu hosp",2024-03-09,"01","quantile",0.15,19.285848144055
