"","reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
"1",2023-11-25,0,"wk inc flu hosp",2023-11-25,"01","quantile",0.01,-22.5470477991805
"2",2023-11-25,0,"wk inc flu hosp",2023-11-25,"01","quantile",0.025,-7.21933509583291
"3",2023-11-25,0,"wk inc flu hosp",2023-11-25,"01","quantile",0.05,4.95422003693857
"4",2023-11-25,0,"wk inc flu hosp",2023-11-25,"01","quantile",0.1,19.8723182215298
"5",2023-11-25,0,"wk inc flu hosp",2023-11-25,"01","quantile",0.15,30.4058173091757
"6",2023-11-25,0,"wk inc flu hosp",2023-11-25,"01","quantile",0.2,38.7015879686237
"7",2023-11-25,0,"wk inc flu hosp",2023-11-25,"01","quantile",0.25,45.7494303800013
"8",2023-11-25,0,"wk inc flu hosp",2023-11-25,"01","quantile",0.3,51.7122729738289
"9",2023-11-25,0,"wk inc flu hosp",2023-11-25,"01","quantile",0.35,57.3781590626139
"10",2023-11-25,0,"wk inc flu hosp",2023-11-25,"01","quantile",0.4,62.8866975522763
"11",2023-11-25,0,"wk inc flu hosp",2023-11-25,"01","quantile",0.45,68.1026977870047
"12",2023-11-25,0,"wk inc flu hosp",2023-11-25,"01","quantile",0.5,73.2287152845738
"13",2023-11-25,0,"wk inc flu hosp",2023-11-25,"01","quantile",0.55,78.4012483400317
"14",2023-11-25,0,"wk inc flu hosp",2023-11-25,"01","quantile",0.6,83.4772672892413
"15",2023-11-25,0,"wk inc flu hosp",2023-11-25,"01","quantile",0.65,89.0232264373573
"16",2023-11-25,0,"wk inc flu hosp",2023-11-25,"01","quantile",0.7,94.7838794973093
"17",2023-11-25,0,"wk inc flu hosp",2023-11-25,"01","quantile",0.75,101.104045076553
"18",2023-11-25,0,"wk inc flu hosp",2023-11-25,"01","quantile",0.8,108.008471457844
"19",2023-11-25,0,"wk inc flu hosp",2023-11-25,"01","quantile",0.85,115.859206973638
"20",2023-11-25,0,"wk inc flu hosp",2023-11-25,"01","quantile",0.9,126.213736977872
