"","reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
"1",2024-01-06,0,"wk inc flu hosp",2024-01-06,"01","quantile",0.01,99.8864464691647
"2",2024-01-06,0,"wk inc flu hosp",2024-01-06,"01","quantile",0.025,118.488127607415
"3",2024-01-06,0,"wk inc flu hosp",2024-01-06,"01","quantile",0.05,140.022491607474
"4",2024-01-06,0,"wk inc flu hosp",2024-01-06,"01","quantile",0.1,167.406485444084
"5",2024-01-06,0,"wk inc flu hosp",2024-01-06,"01","quantile",0.15,189.94268230404
"6",2024-01-06,0,"wk inc flu hosp",2024-01-06,"01","quantile",0.2,209.080897037567
"7",2024-01-06,0,"wk inc flu hosp",2024-01-06,"01","quantile",0.25,227.418871378318
"8",2024-01-06,0,"wk inc flu hosp",2024-01-06,"01","quantile",0.3,245.109147664202
"9",2024-01-06,0,"wk inc flu hosp",2024-01-06,"01","quantile",0.35,262.892266529458
"10",2024-01-06,0,"wk inc flu hosp",2024-01-06,"01","quantile",0.4,281.109922261564
"11",2024-01-06,0,"wk inc flu hosp",2024-01-06,"01","quantile",0.45,300.02617490959
"12",2024-01-06,0,"wk inc flu hosp",2024-01-06,"01","quantile",0.5,319.245991495721
"13",2024-01-06,0,"wk inc flu hosp",2024-01-06,"01","quantile",0.55,339.712466092384
"14",2024-01-06,0,"wk inc flu hosp",2024-01-06,"01","quantile",0.6,361.551047125986
"15",2024-01-06,0,"wk inc flu hosp",2024-01-06,"01","quantile",0.65,385.894344983969
"16",2024-01-06,0,"wk inc flu hosp",2024-01-06,"01","quantile",0.7,413.299271963613
"17",2024-01-06,0,"wk inc flu hosp",2024-01-06,"01","quantile",0.75,446.6626795848
"18",2024-01-06,0,"wk inc flu hosp",2024-01-06,"01","quantile",0.8,485.115358210737
"19",2024-01-06,0,"wk inc flu hosp",2024-01-06,"01","quantile",0.85,534.245846528323
"20",2024-01-06,0,"wk inc flu hosp",2024-01-06,"01","quantile",0.9,605.421995448028
"21",2024-01-06,0,"wk inc flu hosp",2024-01-06,"01","quantile",0.95,728.247625724845
"22",2024-01-06,0,"wk inc flu hosp",2024-01-06,"01","quantile",0.975,852.187764480081
"23",2024-01-06,0,"wk inc flu hosp",2024-01-06,"01","quantile",0.99,1036.15942200016
"24",2024-01-06,1,"wk inc flu hosp",2024-01-13,"01","quantile",0.01,60.4783938736028
"25",2024-01-06,1,"wk inc flu hosp",2024-01-13,"01","quantile",0.025,78.4556226205121
"26",2024-01-06,1,"wk inc flu hosp",2024-01-13,"01","quantile",0.05,98.3521685320296
"27",2024-01-06,1,"wk inc flu hosp",2024-01-13,"01","quantile",0.1,126.854420504644
"28",2024-01-06,1,"wk inc flu hosp",2024-01-13,"01","quantile",0.15,151.807367916083
"29",2024-01-06,1,"wk inc flu hosp",2024-01-13,"01","quantile",0.2,174.647648489375
"30",2024-01-06,1,"wk inc flu hosp",2024-01-13,"01","quantile",0.25,197.639087486795
"31",2024-01-06,1,"wk inc flu hosp",2024-01-13,"01","quantile",0.3,218.977889621189
"32",2024-01-06,1,"wk inc flu hosp",2024-01-13,"01","quantile",0.35,242.199705644844
"33",2024-01-06,1,"wk inc flu hosp",2024-01-13,"01","quantile",0.4,265.479043387601
"34",2024-01-06,1,"wk inc flu hosp",2024-01-13,"01","quantile",0.45,290.3731115828
"35",2024-01-06,1,"wk inc flu hosp",2024-01-13,"01","quantile",0.5,318.019980704006
"36",2024-01-06,1,"wk inc flu hosp",2024-01-13,"01","quantile",0.55,347.436257134829
"37",2024-01-06,1,"wk inc flu hosp",2024-01-13,"01","quantile",0.6,381.185967623144
"38",2024-01-06,1,"wk inc flu hosp",2024-01-13,"01","quantile",0.65,418.321553593379
"39",2024-01-06,1,"wk inc flu hosp",2024-01-13,"01","quantile",0.7,461.576052626068
