"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2023-10-21,-1,"wk inc flu hosp",2023-10-14,"01","quantile",0.01,0.432398786507129
2023-10-21,0,"wk inc flu hosp",2023-10-21,"01","quantile",0.01,0.421469512587159
2023-10-21,1,"wk inc flu hosp",2023-10-28,"01","quantile",0.01,0.457398708821771
2023-10-21,2,"wk inc flu hosp",2023-11-04,"01","quantile",0.01,0.416514821834728
2023-10-21,3,"wk inc flu hosp",2023-11-11,"01","quantile",0.01,0.419530399206012
2023-10-21,-1,"wk inc flu hosp",2023-10-14,"01","quantile",0.025,1.08480480782998
2023-10-21,0,"wk inc flu hosp",2023-10-21,"01","quantile",0.025,1.06479805660525
2023-10-21,1,"wk inc flu hosp",2023-10-28,"01","quantile",0.025,1.08510538828315
2023-10-21,2,"wk inc flu hosp",2023-11-04,"01","quantile",0.025,1.04426356821002
2023-10-21,3,"wk inc flu hosp",2023-11-11,"01","quantile",0.025,1.02043873060862
2023-10-21,-1,"wk inc flu hosp",2023-10-14,"01","quantile",0.05,2.11370082668967
2023-10-21,0,"wk inc flu hosp",2023-10-21,"01","quantile",0.05,2.08540428891161
2023-10-21,1,"wk inc flu hosp",2023-10-28,"01","quantile",0.05,2.12681181609325
2023-10-21,2,"wk inc flu hosp",2023-11-04,"01","quantile",0.05,2.02090433960913
2023-10-21,3,"wk inc flu hosp",2023-11-11,"01","quantile",0.05,1.95055871065663
2023-10-21,-1,"wk inc flu hosp",2023-10-14,"01","quantile",0.1,4.14533383236294
2023-10-21,0,"wk inc flu hosp",2023-10-21,"01","quantile",0.1,4.21487371097139
2023-10-21,1,"wk inc flu hosp",2023-10-28,"01","quantile",0.1,4.12069872611124
2023-10-21,2,"wk inc flu hosp",2023-11-04,"01","quantile",0.1,3.82148776732188
2023-10-21,3,"wk inc flu hosp",2023-11-11,"01","quantile",0.1,3.72149278566888
2023-10-21,-1,"wk inc flu hosp",2023-10-14,"01","quantile",0.15,5.99563756686502
2023-10-21,0,"wk inc flu hosp",2023-10-21,"01","quantile",0.15,6.08620267613257
2023-10-21,1,"wk inc flu hosp",2023-10-28,"01","quantile",0.15,5.92431775293648
2023-10-21,2,"wk inc flu hosp",2023-11-04,"01","quantile",0.15,5.5536536719107
2023-10-21,3,"wk inc flu hosp",2023-11-11,"01","quantile",0.15,5.44871282521694
2023-10-21,-1,"wk inc flu hosp",2023-10-14,"01","quantile",0.2,7.80547132990026
2023-10-21,0,"wk inc flu hosp",2023-10-21,"01","quantile",0.2,7.92037521950849
2023-10-21,1,"wk inc flu hosp",2023-10-28,"01","quantile",0.2,7.65648371775727
2023-10-21,2,"wk inc flu hosp",2023-11-04,"01","quantile",0.2,7.26601899708464
2023-10-21,3,"wk inc flu hosp",2023-11-11,"01","quantile",0.2,7.03405098497897
2023-10-21,-1,"wk inc flu hosp",2023-10-14,"01","quantile",0.25,9.57958948284011
2023-10-21,0,"wk inc flu hosp",2023-10-21,"01","quantile",0.25,9.70069570008534
2023-10-21,1,"wk inc flu hosp",2023-10-28,"01","quantile",0.25,9.35279075535274
2023-10-21,2,"wk inc flu hosp",2023-11-04,"01","quantile",0.25,8.83830421073931
2023-10-21,3,"wk inc flu hosp",2023-11-11,"01","quantile",0.25,8.67597198361006
2023-10-21,-1,"wk inc flu hosp",2023-10-14,"01","quantile",0.3,11.2924883881376
2023-10-21,0,"wk inc flu hosp",2023-10-21,"01","quantile",0.3,11.4123670521726
2023-10-21,1,"wk inc flu hosp",2023-10-28,"01","quantile",0.3,10.998975623966
2023-10-21,2,"wk inc flu hosp",2023-11-04,"01","quantile",0.3,10.4846976652653
2023-10-21,3,"wk inc flu hosp",2023-11-11,"01","quantile",0.3,10.2290656543466
2023-10-21,-1,"wk inc flu hosp",2023-10-14,"01","quantile",0.35,12.9634368077865
2023-10-21,0,"wk inc flu hosp",2023-10-21,"01","quantile",0.35,13.0696968238469
2023-10-21,1,"wk inc flu hosp",2023-10-28,"01","quantile",0.35,12.5857716155895
2023-10-21,2,"wk inc flu hosp",2023-11-04,"01","quantile",0.35,12.0607667357501
2023-10-21,3,"wk inc flu hosp",2023-11-11,"01","quantile",0.35,11.8425593656371
2023-10-21,-1,"wk inc flu hosp",2023-10-14,"01","quantile",0.4,14.5836309495834
2023-10-21,0,"wk inc flu hosp",2023-10-21,"01","quantile",0.4,14.6982690794427
2023-10-21,1,"wk inc flu hosp",2023-10-28,"01","quantile",0.4,14.2127680536841
2023-10-21,2,"wk inc flu hosp",2023-11-04,"01","quantile",0.4,13.7105985991269
2023-10-21,3,"wk inc flu hosp",2023-11-11,"01","quantile",0.4,13.4179583819574
2023-10-21,-1,"wk inc flu hosp",2023-10-14,"01","quantile",0.45,16.2237329330614
2023-10-21,0,"wk inc flu hosp",2023-10-21,"01","quantile",0.45,16.3314707639388
2023-10-21,1,"wk inc flu hosp",2023-10-28,"01","quantile",0.45,15.8644699745502
2023-10-21,2,"wk inc flu hosp",2023-11-04,"01","quantile",0.45,15.378027653215
2023-10-21,3,"wk inc flu hosp",2023-11-11,"01","quantile",0.45,15.0375163987874
2023-10-21,-1,"wk inc flu hosp",2023-10-14,"01","quantile",0.5,17.942940338722
2023-10-21,0,"wk inc flu hosp",2023-10-21,"01","quantile",0.5,18.0329719154462
2023-10-21,1,"wk inc flu hosp",2023-10-28,"01","quantile",0.5,17.5541535756262
2023-10-21,2,"wk inc flu hosp",2023-11-04,"01","quantile",0.5,17.1139895513143
2023-10-21,3,"wk inc flu hosp",2023-11-11,"01","quantile",0.5,16.7759622311996
2023-10-21,-1,"wk inc flu hosp",2023-10-14,"01","quantile",0.55,19.688630195913
2023-10-21,0,"wk inc flu hosp",2023-10-21,"01","quantile",0.55,19.7767414263122
2023-10-21,1,"wk inc flu hosp",2023-10-28,"01","quantile",0.55,19.3722751477011
2023-10-21,2,"wk inc flu hosp",2023-11-04,"01","quantile",0.55,18.9342945622673
2023-10-21,3,"wk inc flu hosp",2023-11-11,"01","quantile",0.55,18.5994790546294
2023-10-21,-1,"wk inc flu hosp",2023-10-14,"01","quantile",0.6,21.5465986041091
2023-10-21,0,"wk inc flu hosp",2023-10-21,"01","quantile",0.6,21.5441704703139
2023-10-21,1,"wk inc flu hosp",2023-10-28,"01","quantile",0.6,21.2646523660244
2023-10-21,2,"wk inc flu hosp",2023-11-04,"01","quantile",0.6,20.9065352121505
2023-10-21,3,"wk inc flu hosp",2023-11-11,"01","quantile",0.6,20.5835826673724
2023-10-21,-1,"wk inc flu hosp",2023-10-14,"01","quantile",0.65,23.4073187447573
2023-10-21,0,"wk inc flu hosp",2023-10-21,"01","quantile",0.65,23.4289223629261
2023-10-21,1,"wk inc flu hosp",2023-10-28,"01","quantile",0.65,23.3154504242614
2023-10-21,2,"wk inc flu hosp",2023-11-04,"01","quantile",0.65,22.9923671679231
2023-10-21,3,"wk inc flu hosp",2023-11-11,"01","quantile",0.65,22.7376618170008
2023-10-21,-1,"wk inc flu hosp",2023-10-14,"01","quantile",0.7,25.4818344750094
2023-10-21,0,"wk inc flu hosp",2023-10-21,"01","quantile",0.7,25.4628955441746
2023-10-21,1,"wk inc flu hosp",2023-10-28,"01","quantile",0.7,25.5219136442757
2023-10-21,2,"wk inc flu hosp",2023-11-04,"01","quantile",0.7,25.3388793870517
2023-10-21,3,"wk inc flu hosp",2023-11-11,"01","quantile",0.7,25.1655084015548
2023-10-21,-1,"wk inc flu hosp",2023-10-14,"01","quantile",0.75,27.6949966598608
2023-10-21,0,"wk inc flu hosp",2023-10-21,"01","quantile",0.75,27.6880143114703
2023-10-21,1,"wk inc flu hosp",2023-10-28,"01","quantile",0.75,28.13720177258
2023-10-21,2,"wk inc flu hosp",2023-11-04,"01","quantile",0.75,28.0876290026572
2023-10-21,3,"wk inc flu hosp",2023-11-11,"01","quantile",0.75,27.8936185217863
2023-10-21,-1,"wk inc flu hosp",2023-10-14,"01","quantile",0.8,30.3215759617153
2023-10-21,0,"wk inc flu hosp",2023-10-21,"01","quantile",0.8,30.3937453020326
2023-10-21,1,"wk inc flu hosp",2023-10-28,"01","quantile",0.8,31.1885784477494
2023-10-21,2,"wk inc flu hosp",2023-11-04,"01","quantile",0.8,31.3478571802601
2023-10-21,3,"wk inc flu hosp",2023-11-11,"01","quantile",0.8,31.1607317978166
2023-10-21,-1,"wk inc flu hosp",2023-10-14,"01","quantile",0.85,33.5147877837095
2023-10-21,0,"wk inc flu hosp",2023-10-21,"01","quantile",0.85,33.6235006904444
2023-10-21,1,"wk inc flu hosp",2023-10-28,"01","quantile",0.85,34.9886556277632
2023-10-21,2,"wk inc flu hosp",2023-11-04,"01","quantile",0.85,35.528096798319
2023-10-21,3,"wk inc flu hosp",2023-11-11,"01","quantile",0.85,35.4780489298525
2023-10-21,-1,"wk inc flu hosp",2023-10-14,"01","quantile",0.9,37.711311805072
2023-10-21,0,"wk inc flu hosp",2023-10-21,"01","quantile",0.9,37.7599174353741
2023-10-21,1,"wk inc flu hosp",2023-10-28,"01","quantile",0.9,40.3541045074659
2023-10-21,2,"wk inc flu hosp",2023-11-04,"01","quantile",0.9,41.4070654901152
2023-10-21,3,"wk inc flu hosp",2023-11-11,"01","quantile",0.9,41.7897581098431
2023-10-21,-1,"wk inc flu hosp",2023-10-14,"01","quantile",0.95,44.4511584784571
2023-10-21,0,"wk inc flu hosp",2023-10-21,"01","quantile",0.95,44.4799452884467
2023-10-21,1,"wk inc flu hosp",2023-10-28,"01","quantile",0.95,49.3775471501184
2023-10-21,2,"wk inc flu hosp",2023-11-04,"01","quantile",0.95,51.8660140815726
2023-10-21,3,"wk inc flu hosp",2023-11-11,"01","quantile",0.95,52.9861480516702
2023-10-21,-1,"wk inc flu hosp",2023-10-14,"01","quantile",0.975,51.0830703819213
2023-10-21,0,"wk inc flu hosp",2023-10-21,"01","quantile",0.975,51.0028051611341
2023-10-21,1,"wk inc flu hosp",2023-10-28,"01","quantile",0.975,58.3193290703385
2023-10-21,2,"wk inc flu hosp",2023-11-04,"01","quantile",0.975,62.4288477708563
2023-10-21,3,"wk inc flu hosp",2023-11-11,"01","quantile",0.975,65.1512990360812
2023-10-21,-1,"wk inc flu hosp",2023-10-14,"01","quantile",0.99,59.5213545947018
2023-10-21,0,"wk inc flu hosp",2023-10-21,"01","quantile",0.99,59.6071261577998
2023-10-21,1,"wk inc flu hosp",2023-10-28,"01","quantile",0.99,71.0411295418886
2023-10-21,2,"wk inc flu hosp",2023-11-04,"01","quantile",0.99,77.683855277355
2023-10-21,3,"wk inc flu hosp",2023-11-11,"01","quantile",0.99,82.0734404865361
2023-10-21,-1,"wk inc flu hosp",2023-10-14,"02","quantile",0.01,3.66764462489353
2023-10-21,0,"wk inc flu hosp",2023-10-21,"02","quantile",0.01,3.68628101038924
2023-10-21,1,"wk inc flu hosp",2023-10-28,"02","quantile",0.01,1.20657314677278
2023-10-21,2,"wk inc flu hosp",2023-11-04,"02","quantile",0.01,0.553150592690802
2023-10-21,3,"wk inc flu hosp",2023-11-11,"02","quantile",0.01,0.390692413523067
2023-10-21,-1,"wk inc flu hosp",2023-10-14,"02","quantile",0.025,5.36069854506104
2023-10-21,0,"wk inc flu hosp",2023-10-21,"02","quantile",0.025,5.49419342747837
2023-10-21,1,"wk inc flu hosp",2023-10-28,"02","quantile",0.025,2.58351854070578
2023-10-21,2,"wk inc flu hosp",2023-11-04,"02","quantile",0.025,1.53493961584182
2023-10-21,3,"wk inc flu hosp",2023-11-11,"02","quantile",0.025,1.05289590798624
2023-10-21,-1,"wk inc flu hosp",2023-10-14,"02","quantile",0.05,6.83732632124893
2023-10-21,0,"wk inc flu hosp",2023-10-21,"02","quantile",0.05,7.01843047012667
2023-10-21,1,"wk inc flu hosp",2023-10-28,"02","quantile",0.05,4.24948408865291
2023-10-21,2,"wk inc flu hosp",2023-11-04,"02","quantile",0.05,3.01564838320465
2023-10-21,3,"wk inc flu hosp",2023-11-11,"02","quantile",0.05,2.36489089643113
2023-10-21,-1,"wk inc flu hosp",2023-10-14,"02","quantile",0.1,8.62845085388231
2023-10-21,0,"wk inc flu hosp",2023-10-21,"02","quantile",0.1,8.78520673872139
2023-10-21,1,"wk inc flu hosp",2023-10-28,"02","quantile",0.1,6.47948470181241
2023-10-21,2,"wk inc flu hosp",2023-11-04,"02","quantile",0.1,5.2941241880909
2023-10-21,3,"wk inc flu hosp",2023-11-11,"02","quantile",0.1,4.62817973669446
2023-10-21,-1,"wk inc flu hosp",2023-10-14,"02","quantile",0.15,9.73967891557293
2023-10-21,0,"wk inc flu hosp",2023-10-21,"02","quantile",0.15,9.9221344367284
2023-10-21,1,"wk inc flu hosp",2023-10-28,"02","quantile",0.15,8.06053078378604
2023-10-21,2,"wk inc flu hosp",2023-11-04,"02","quantile",0.15,7.00097859808725
2023-10-21,3,"wk inc flu hosp",2023-11-11,"02","quantile",0.15,6.43613232563802
2023-10-21,-1,"wk inc flu hosp",2023-10-14,"02","quantile",0.2,10.6832257077816
2023-10-21,0,"wk inc flu hosp",2023-10-21,"02","quantile",0.2,10.8713513551474
2023-10-21,1,"wk inc flu hosp",2023-10-28,"02","quantile",0.2,9.37347707163759
2023-10-21,2,"wk inc flu hosp",2023-11-04,"02","quantile",0.2,8.55316619805352
2023-10-21,3,"wk inc flu hosp",2023-11-11,"02","quantile",0.2,7.99985702633525
2023-10-21,-1,"wk inc flu hosp",2023-10-14,"02","quantile",0.25,11.4907318515672
2023-10-21,0,"wk inc flu hosp",2023-10-21,"02","quantile",0.25,11.6751173467722
2023-10-21,1,"wk inc flu hosp",2023-10-28,"02","quantile",0.25,10.5539906582548
2023-10-21,2,"wk inc flu hosp",2023-11-04,"02","quantile",0.25,9.91656708857776
2023-10-21,3,"wk inc flu hosp",2023-11-11,"02","quantile",0.25,9.53022169927962
2023-10-21,-1,"wk inc flu hosp",2023-10-14,"02","quantile",0.3,12.1848791073196
2023-10-21,0,"wk inc flu hosp",2023-10-21,"02","quantile",0.3,12.38248488921
2023-10-21,1,"wk inc flu hosp",2023-10-28,"02","quantile",0.3,11.6325916202713
2023-10-21,2,"wk inc flu hosp",2023-11-04,"02","quantile",0.3,11.2522676336845
2023-10-21,3,"wk inc flu hosp",2023-11-11,"02","quantile",0.3,11.0244208349048
2023-10-21,-1,"wk inc flu hosp",2023-10-14,"02","quantile",0.35,12.8403095522535
2023-10-21,0,"wk inc flu hosp",2023-10-21,"02","quantile",0.35,13.0520834296507
2023-10-21,1,"wk inc flu hosp",2023-10-28,"02","quantile",0.35,12.6702175342329
2023-10-21,2,"wk inc flu hosp",2023-11-04,"02","quantile",0.35,12.5446529302369
2023-10-21,3,"wk inc flu hosp",2023-11-11,"02","quantile",0.35,12.4172348279242
2023-10-21,-1,"wk inc flu hosp",2023-10-14,"02","quantile",0.4,13.4718743678221
2023-10-21,0,"wk inc flu hosp",2023-10-21,"02","quantile",0.4,13.6778228891531
2023-10-21,1,"wk inc flu hosp",2023-10-28,"02","quantile",0.4,13.7049927820828
2023-10-21,2,"wk inc flu hosp",2023-11-04,"02","quantile",0.4,13.813792366168
2023-10-21,3,"wk inc flu hosp",2023-11-11,"02","quantile",0.4,13.8297914871921
2023-10-21,-1,"wk inc flu hosp",2023-10-14,"02","quantile",0.45,14.0892324883999
2023-10-21,0,"wk inc flu hosp",2023-10-21,"02","quantile",0.45,14.2764396966645
2023-10-21,1,"wk inc flu hosp",2023-10-28,"02","quantile",0.45,14.7097687575902
2023-10-21,2,"wk inc flu hosp",2023-11-04,"02","quantile",0.45,15.080634092651
2023-10-21,3,"wk inc flu hosp",2023-11-11,"02","quantile",0.45,15.3262580364973
2023-10-21,-1,"wk inc flu hosp",2023-10-14,"02","quantile",0.5,14.6965699197919
2023-10-21,0,"wk inc flu hosp",2023-10-21,"02","quantile",0.5,14.9004316469334
2023-10-21,1,"wk inc flu hosp",2023-10-28,"02","quantile",0.5,15.7288233253634
2023-10-21,2,"wk inc flu hosp",2023-11-04,"02","quantile",0.5,16.3862263682107
2023-10-21,3,"wk inc flu hosp",2023-11-11,"02","quantile",0.5,16.8361323229083
2023-10-21,-1,"wk inc flu hosp",2023-10-14,"02","quantile",0.55,15.3124494860627
2023-10-21,0,"wk inc flu hosp",2023-10-21,"02","quantile",0.55,15.5411867500529
2023-10-21,1,"wk inc flu hosp",2023-10-28,"02","quantile",0.55,16.7792877139976
2023-10-21,2,"wk inc flu hosp",2023-11-04,"02","quantile",0.55,17.7490908930147
2023-10-21,3,"wk inc flu hosp",2023-11-11,"02","quantile",0.55,18.495930844482
2023-10-21,-1,"wk inc flu hosp",2023-10-14,"02","quantile",0.6,15.9301746923932
2023-10-21,0,"wk inc flu hosp",2023-10-21,"02","quantile",0.6,16.1729402702106
2023-10-21,1,"wk inc flu hosp",2023-10-28,"02","quantile",0.6,17.8662896425246
2023-10-21,2,"wk inc flu hosp",2023-11-04,"02","quantile",0.6,19.1832379422544
2023-10-21,3,"wk inc flu hosp",2023-11-11,"02","quantile",0.6,20.2416692632267
2023-10-21,-1,"wk inc flu hosp",2023-10-14,"02","quantile",0.65,16.5814619647792
2023-10-21,0,"wk inc flu hosp",2023-10-21,"02","quantile",0.65,16.8305758010841
2023-10-21,1,"wk inc flu hosp",2023-10-28,"02","quantile",0.65,18.9928824510885
2023-10-21,2,"wk inc flu hosp",2023-11-04,"02","quantile",0.65,20.7100794261469
2023-10-21,3,"wk inc flu hosp",2023-11-11,"02","quantile",0.65,22.1003317984573
2023-10-21,-1,"wk inc flu hosp",2023-10-14,"02","quantile",0.7,17.3095087821844
2023-10-21,0,"wk inc flu hosp",2023-10-21,"02","quantile",0.7,17.5459364099041
2023-10-21,1,"wk inc flu hosp",2023-10-28,"02","quantile",0.7,20.2844760847482
2023-10-21,2,"wk inc flu hosp",2023-11-04,"02","quantile",0.7,22.4801902402883
2023-10-21,3,"wk inc flu hosp",2023-11-11,"02","quantile",0.7,24.1307624382529
2023-10-21,-1,"wk inc flu hosp",2023-10-14,"02","quantile",0.75,18.0636888314788
2023-10-21,0,"wk inc flu hosp",2023-10-21,"02","quantile",0.75,18.3537844763194
2023-10-21,1,"wk inc flu hosp",2023-10-28,"02","quantile",0.75,21.6387923796941
2023-10-21,2,"wk inc flu hosp",2023-11-04,"02","quantile",0.75,24.345193880973
2023-10-21,3,"wk inc flu hosp",2023-11-11,"02","quantile",0.75,26.4663369184785
2023-10-21,-1,"wk inc flu hosp",2023-10-14,"02","quantile",0.8,18.977350769098
2023-10-21,0,"wk inc flu hosp",2023-10-21,"02","quantile",0.8,19.2541356354234
2023-10-21,1,"wk inc flu hosp",2023-10-28,"02","quantile",0.8,23.2788372239814
2023-10-21,2,"wk inc flu hosp",2023-11-04,"02","quantile",0.8,26.5464145630647
