"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2024-04-13,-1,"wk inc flu hosp",2024-04-06,"01","quantile",0.01,10.3573244495216
2024-04-13,0,"wk inc flu hosp",2024-04-13,"01","quantile",0.01,10.3394773760155
2024-04-13,1,"wk inc flu hosp",2024-04-20,"01","quantile",0.01,6.23638548871456
2024-04-13,2,"wk inc flu hosp",2024-04-27,"01","quantile",0.01,4.45982251067285
2024-04-13,3,"wk inc flu hosp",2024-05-04,"01","quantile",0.01,3.62506693853669
2024-04-13,-1,"wk inc flu hosp",2024-04-06,"01","quantile",0.025,12.8434674852897
2024-04-13,0,"wk inc flu hosp",2024-04-13,"01","quantile",0.025,12.4734766791464
2024-04-13,1,"wk inc flu hosp",2024-04-20,"01","quantile",0.025,8.24846423357445
2024-04-13,2,"wk inc flu hosp",2024-04-27,"01","quantile",0.025,6.16230000602254
2024-04-13,3,"wk inc flu hosp",2024-05-04,"01","quantile",0.025,5.12614401616466
2024-04-13,-1,"wk inc flu hosp",2024-04-06,"01","quantile",0.05,15.2805211345191
2024-04-13,0,"wk inc flu hosp",2024-04-13,"01","quantile",0.05,14.9221069944581
2024-04-13,1,"wk inc flu hosp",2024-04-20,"01","quantile",0.05,10.2728846098751
2024-04-13,2,"wk inc flu hosp",2024-04-27,"01","quantile",0.05,8.05421823223423
2024-04-13,3,"wk inc flu hosp",2024-05-04,"01","quantile",0.05,6.83061779856777
2024-04-13,-1,"wk inc flu hosp",2024-04-06,"01","quantile",0.1,18.5567936416502
2024-04-13,0,"wk inc flu hosp",2024-04-13,"01","quantile",0.1,18.4171997404613
2024-04-13,1,"wk inc flu hosp",2024-04-20,"01","quantile",0.1,13.4116397412544
2024-04-13,2,"wk inc flu hosp",2024-04-27,"01","quantile",0.1,10.8850196747804
2024-04-13,3,"wk inc flu hosp",2024-05-04,"01","quantile",0.1,9.37789959796851
2024-04-13,-1,"wk inc flu hosp",2024-04-06,"01","quantile",0.15,21.2269730467088
2024-04-13,0,"wk inc flu hosp",2024-04-13,"01","quantile",0.15,21.0036556788594
2024-04-13,1,"wk inc flu hosp",2024-04-20,"01","quantile",0.15,15.9452469464184
2024-04-13,2,"wk inc flu hosp",2024-04-27,"01","quantile",0.15,13.2829622038717
2024-04-13,3,"wk inc flu hosp",2024-05-04,"01","quantile",0.15,11.6224435054268
2024-04-13,-1,"wk inc flu hosp",2024-04-06,"01","quantile",0.2,23.5785498327174
2024-04-13,0,"wk inc flu hosp",2024-04-13,"01","quantile",0.2,23.2725670622056
2024-04-13,1,"wk inc flu hosp",2024-04-20,"01","quantile",0.2,18.3668099891934
2024-04-13,2,"wk inc flu hosp",2024-04-27,"01","quantile",0.2,15.5626812078368
2024-04-13,3,"wk inc flu hosp",2024-05-04,"01","quantile",0.2,13.7079859873535
2024-04-13,-1,"wk inc flu hosp",2024-04-06,"01","quantile",0.25,25.8547337362216
2024-04-13,0,"wk inc flu hosp",2024-04-13,"01","quantile",0.25,25.345230824988
2024-04-13,1,"wk inc flu hosp",2024-04-20,"01","quantile",0.25,20.714774218803
