"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2024-03-30,-1,"wk inc flu hosp",2024-03-23,"01","quantile",0.01,11.754427652324
2024-03-30,0,"wk inc flu hosp",2024-03-30,"01","quantile",0.01,11.7105111217801
2024-03-30,1,"wk inc flu hosp",2024-04-06,"01","quantile",0.01,4.120512419505
2024-03-30,2,"wk inc flu hosp",2024-04-13,"01","quantile",0.01,2.09370311248194
2024-03-30,3,"wk inc flu hosp",2024-04-20,"01","quantile",0.01,1.30781251406207
2024-03-30,-1,"wk inc flu hosp",2024-03-23,"01","quantile",0.025,14.0273320710082
2024-03-30,0,"wk inc flu hosp",2024-03-30,"01","quantile",0.025,14.0085978434177
2024-03-30,1,"wk inc flu hosp",2024-04-06,"01","quantile",0.025,5.34811769152132
2024-03-30,2,"wk inc flu hosp",2024-04-13,"01","quantile",0.025,2.89849233251279
2024-03-30,3,"wk inc flu hosp",2024-04-20,"01","quantile",0.025,1.89983739506217
2024-03-30,-1,"wk inc flu hosp",2024-03-23,"01","quantile",0.05,16.3131838020008
2024-03-30,0,"wk inc flu hosp",2024-03-30,"01","quantile",0.05,16.301519207214
2024-03-30,1,"wk inc flu hosp",2024-04-06,"01","quantile",0.05,6.70011537301512
2024-03-30,2,"wk inc flu hosp",2024-04-13,"01","quantile",0.05,3.76595777483309
2024-03-30,3,"wk inc flu hosp",2024-04-20,"01","quantile",0.05,2.57982557911236
2024-03-30,-1,"wk inc flu hosp",2024-03-23,"01","quantile",0.1,19.2482257096609
2024-03-30,0,"wk inc flu hosp",2024-03-30,"01","quantile",0.1,19.2362126028329
2024-03-30,1,"wk inc flu hosp",2024-04-06,"01","quantile",0.1,8.55187254316722
2024-03-30,2,"wk inc flu hosp",2024-04-13,"01","quantile",0.1,5.06011290201181
2024-03-30,3,"wk inc flu hosp",2024-04-20,"01","quantile",0.1,3.57399418892682
2024-03-30,-1,"wk inc flu hosp",2024-03-23,"01","quantile",0.15,21.6012210800586
2024-03-30,0,"wk inc flu hosp",2024-03-30,"01","quantile",0.15,21.6042031276154
2024-03-30,1,"wk inc flu hosp",2024-04-06,"01","quantile",0.15,10.1584750019112
2024-03-30,2,"wk inc flu hosp",2024-04-13,"01","quantile",0.15,6.17640274923394
2024-03-30,3,"wk inc flu hosp",2024-04-20,"01","quantile",0.15,4.44032624971777
2024-03-30,-1,"wk inc flu hosp",2024-03-23,"01","quantile",0.2,23.6233996746662
2024-03-30,0,"wk inc flu hosp",2024-03-30,"01","quantile",0.2,23.6308870393222
2024-03-30,1,"wk inc flu hosp",2024-04-06,"01","quantile",0.2,11.6289991824277
2024-03-30,2,"wk inc flu hosp",2024-04-13,"01","quantile",0.2,7.27254023948987
2024-03-30,3,"wk inc flu hosp",2024-04-20,"01","quantile",0.2,5.32268694559302
2024-03-30,-1,"wk inc flu hosp",2024-03-23,"01","quantile",0.25,25.4228371280202
2024-03-30,0,"wk inc flu hosp",2024-03-30,"01","quantile",0.25,25.420323954456
2024-03-30,1,"wk inc flu hosp",2024-04-06,"01","quantile",0.25,13.0061822539524
2024-03-30,2,"wk inc flu hosp",2024-04-13,"01","quantile",0.25,8.31727055900905
2024-03-30,3,"wk inc flu hosp",2024-04-20,"01","quantile",0.25,6.14266220192141
2024-03-30,-1,"wk inc flu hosp",2024-03-23,"01","quantile",0.3,27.1326067255459
2024-03-30,0,"wk inc flu hosp",2024-03-30,"01","quantile",0.3,27.1270028469171
2024-03-30,1,"wk inc flu hosp",2024-04-06,"01","quantile",0.3,14.3895655097709
2024-03-30,2,"wk inc flu hosp",2024-04-13,"01","quantile",0.3,9.39615081008498
2024-03-30,3,"wk inc flu hosp",2024-04-20,"01","quantile",0.3,7.04587594118246
2024-03-30,-1,"wk inc flu hosp",2024-03-23,"01","quantile",0.35,28.8617913123349
2024-03-30,0,"wk inc flu hosp",2024-03-30,"01","quantile",0.35,28.8466006664084
2024-03-30,1,"wk inc flu hosp",2024-04-06,"01","quantile",0.35,15.8465070588307
2024-03-30,2,"wk inc flu hosp",2024-04-13,"01","quantile",0.35,10.5383005847109
2024-03-30,3,"wk inc flu hosp",2024-04-20,"01","quantile",0.35,7.96331281093383
2024-03-30,-1,"wk inc flu hosp",2024-03-23,"01","quantile",0.4,30.5571491055389
2024-03-30,0,"wk inc flu hosp",2024-03-30,"01","quantile",0.4,30.5543296874111
2024-03-30,1,"wk inc flu hosp",2024-04-06,"01","quantile",0.4,17.3363388796072
2024-03-30,2,"wk inc flu hosp",2024-04-13,"01","quantile",0.4,11.7451658857451
2024-03-30,3,"wk inc flu hosp",2024-04-20,"01","quantile",0.4,9.00224182789743
2024-03-30,-1,"wk inc flu hosp",2024-03-23,"01","quantile",0.45,32.3197710296682
2024-03-30,0,"wk inc flu hosp",2024-03-30,"01","quantile",0.45,32.3043602084424
2024-03-30,1,"wk inc flu hosp",2024-04-06,"01","quantile",0.45,18.9159379821997
2024-03-30,2,"wk inc flu hosp",2024-04-13,"01","quantile",0.45,13.0552481834705
2024-03-30,3,"wk inc flu hosp",2024-04-20,"01","quantile",0.45,10.1120991597774
2024-03-30,-1,"wk inc flu hosp",2024-03-23,"01","quantile",0.5,34.0869880445353
2024-03-30,0,"wk inc flu hosp",2024-03-30,"01","quantile",0.5,34.0862757095975
2024-03-30,1,"wk inc flu hosp",2024-04-06,"01","quantile",0.5,20.6556527295139
2024-03-30,2,"wk inc flu hosp",2024-04-13,"01","quantile",0.5,14.5198797673291
2024-03-30,3,"wk inc flu hosp",2024-04-20,"01","quantile",0.5,11.3714251635333
2024-03-30,-1,"wk inc flu hosp",2024-03-23,"01","quantile",0.55,35.9157501146096
2024-03-30,0,"wk inc flu hosp",2024-03-30,"01","quantile",0.55,35.9176806090062
2024-03-30,1,"wk inc flu hosp",2024-04-06,"01","quantile",0.55,22.452324176558
2024-03-30,2,"wk inc flu hosp",2024-04-13,"01","quantile",0.55,16.1439415713587
2024-03-30,3,"wk inc flu hosp",2024-04-20,"01","quantile",0.55,12.8008233968801
2024-03-30,-1,"wk inc flu hosp",2024-03-23,"01","quantile",0.6,38.025837011337
2024-03-30,0,"wk inc flu hosp",2024-03-30,"01","quantile",0.6,38.0001783952076
2024-03-30,1,"wk inc flu hosp",2024-04-06,"01","quantile",0.6,24.6251375846442
2024-03-30,2,"wk inc flu hosp",2024-04-13,"01","quantile",0.6,18.0878437244735
2024-03-30,3,"wk inc flu hosp",2024-04-20,"01","quantile",0.6,14.5057166189533
2024-03-30,-1,"wk inc flu hosp",2024-03-23,"01","quantile",0.65,40.2599571133914
2024-03-30,0,"wk inc flu hosp",2024-03-30,"01","quantile",0.65,40.2548863836327
2024-03-30,1,"wk inc flu hosp",2024-04-06,"01","quantile",0.65,27.0302048110108
2024-03-30,2,"wk inc flu hosp",2024-04-13,"01","quantile",0.65,20.3327393112304
2024-03-30,3,"wk inc flu hosp",2024-04-20,"01","quantile",0.65,16.5686973408944
2024-03-30,-1,"wk inc flu hosp",2024-03-23,"01","quantile",0.7,42.7258776162496
2024-03-30,0,"wk inc flu hosp",2024-03-30,"01","quantile",0.7,42.7007667272189
2024-03-30,1,"wk inc flu hosp",2024-04-06,"01","quantile",0.7,29.8217242596437
2024-03-30,2,"wk inc flu hosp",2024-04-13,"01","quantile",0.7,22.9785166574574
2024-03-30,3,"wk inc flu hosp",2024-04-20,"01","quantile",0.7,19.0452752667324
2024-03-30,-1,"wk inc flu hosp",2024-03-23,"01","quantile",0.75,45.523244439918
2024-03-30,0,"wk inc flu hosp",2024-03-30,"01","quantile",0.75,45.5216227989488
2024-03-30,1,"wk inc flu hosp",2024-04-06,"01","quantile",0.75,33.1770499261256
2024-03-30,2,"wk inc flu hosp",2024-04-13,"01","quantile",0.75,26.2654252477258
2024-03-30,3,"wk inc flu hosp",2024-04-20,"01","quantile",0.75,22.1531683744371
2024-03-30,-1,"wk inc flu hosp",2024-03-23,"01","quantile",0.8,48.8322749832546
2024-03-30,0,"wk inc flu hosp",2024-03-30,"01","quantile",0.8,48.830640161795
2024-03-30,1,"wk inc flu hosp",2024-04-06,"01","quantile",0.8,37.3581831457832
2024-03-30,2,"wk inc flu hosp",2024-04-13,"01","quantile",0.8,30.5916204576633
2024-03-30,3,"wk inc flu hosp",2024-04-20,"01","quantile",0.8,26.410678347392
2024-03-30,-1,"wk inc flu hosp",2024-03-23,"01","quantile",0.85,53.1531481835355
2024-03-30,0,"wk inc flu hosp",2024-03-30,"01","quantile",0.85,53.127119540751
2024-03-30,1,"wk inc flu hosp",2024-04-06,"01","quantile",0.85,43.0941061065148
2024-03-30,2,"wk inc flu hosp",2024-04-13,"01","quantile",0.85,36.8330998330263
2024-03-30,3,"wk inc flu hosp",2024-04-20,"01","quantile",0.85,32.6890315792244
2024-03-30,-1,"wk inc flu hosp",2024-03-23,"01","quantile",0.9,59.3172173926289
2024-03-30,0,"wk inc flu hosp",2024-03-30,"01","quantile",0.9,59.2891519288177
2024-03-30,1,"wk inc flu hosp",2024-04-06,"01","quantile",0.9,52.1548534638267
