"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.01,0
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.01,0
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.01,0
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.01,0
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.01,0
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.025,0
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.025,0
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.025,0
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.025,0
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.025,0
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.05,0
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.05,0
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.05,0
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.05,0
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.05,0
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.1,0
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.1,0
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.1,0
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.1,0
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.1,0
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.15,0
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.15,0
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.15,0
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.15,0
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.15,0
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.2,0
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.2,0
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.2,0
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.2,0
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.2,0
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.25,0
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.25,0
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.25,0
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.25,0
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.25,0
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.3,0
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.3,0
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.3,0
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.3,0
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.3,0
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.35,0
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.35,0
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.35,0
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.35,0
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.35,0
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.4,0
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.4,0
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.4,0
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.4,0
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.4,0
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.45,0.217784995653495
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.45,0.220377014123721
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.45,0.17643171084659
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.45,0
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.45,0
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.5,0.804088549894091
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.5,0.80402865044701
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.5,0.755557892530211
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.5,0.341780816365188
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.5,0.405443288019749
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.55,1.70575854066592
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.55,1.7068063406627
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.55,1.61328913993556
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.55,1.05219076623035
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.55,1.14193982381668
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.6,3.08839751378676
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.6,3.10660572908184
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.6,2.87568884289539
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.6,2.16921438180935
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.6,2.28497094377706
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.65,5.18545301561586
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.65,5.20280928058671
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.65,4.86507073084655
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.65,4.01366273576601
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.65,4.16036968776273
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.7,8.60288334332103
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.7,8.62334854703662
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.7,8.22174167169528
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.7,7.18365650809756
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.7,7.32892745173147
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.75,14.7872330485005
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.75,14.8210926667867
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.75,14.1719163148291
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.75,13.25263660923
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.75,13.3293079864087
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.8,26.399867190082
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.8,26.4095415800353
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.8,26.088084446976
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.8,25.7835106948702
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.8,25.7925897623237
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.85,50.5634328566544
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.85,50.7202071324673
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.85,53.8710498136457
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.85,55.8815271683066
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.85,56.3842319703558
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.9,114.039247432845
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.9,114.277282268569
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.9,143.81754608711
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.9,159.695507359518
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.9,164.60847964829
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.95,393.08527016429
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.95,395.59057840715
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.95,693.932307699974
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.95,896.169137517515
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.95,1013.50013872923
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.975,1136.18190496234
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.975,1135.37832022921
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.975,3222.83522306172
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.975,5173.89921704524
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.975,6732.77601302252
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.99,4285.18124615129
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.99,4293.82205373794
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.99,21443.3134196527
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.99,54090.7844075516
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.99,98799.7915737328
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"02","quantile",0.01,0
2023-10-28,0,"wk inc flu hosp",2023-10-28,"02","quantile",0.01,0
2023-10-28,1,"wk inc flu hosp",2023-11-04,"02","quantile",0.01,0
2023-10-28,2,"wk inc flu hosp",2023-11-11,"02","quantile",0.01,0
2023-10-28,3,"wk inc flu hosp",2023-11-18,"02","quantile",0.01,0
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"02","quantile",0.025,0
2023-10-28,0,"wk inc flu hosp",2023-10-28,"02","quantile",0.025,0
2023-10-28,1,"wk inc flu hosp",2023-11-04,"02","quantile",0.025,0
2023-10-28,2,"wk inc flu hosp",2023-11-11,"02","quantile",0.025,0
2023-10-28,3,"wk inc flu hosp",2023-11-18,"02","quantile",0.025,0
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"02","quantile",0.05,0
2023-10-28,0,"wk inc flu hosp",2023-10-28,"02","quantile",0.05,0
2023-10-28,1,"wk inc flu hosp",2023-11-04,"02","quantile",0.05,0
2023-10-28,2,"wk inc flu hosp",2023-11-11,"02","quantile",0.05,0
2023-10-28,3,"wk inc flu hosp",2023-11-18,"02","quantile",0.05,0
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"02","quantile",0.1,0
2023-10-28,0,"wk inc flu hosp",2023-10-28,"02","quantile",0.1,0
2023-10-28,1,"wk inc flu hosp",2023-11-04,"02","quantile",0.1,0
2023-10-28,2,"wk inc flu hosp",2023-11-11,"02","quantile",0.1,0
2023-10-28,3,"wk inc flu hosp",2023-11-18,"02","quantile",0.1,0
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"02","quantile",0.15,0
2023-10-28,0,"wk inc flu hosp",2023-10-28,"02","quantile",0.15,0
2023-10-28,1,"wk inc flu hosp",2023-11-04,"02","quantile",0.15,0
2023-10-28,2,"wk inc flu hosp",2023-11-11,"02","quantile",0.15,0
2023-10-28,3,"wk inc flu hosp",2023-11-18,"02","quantile",0.15,0
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"02","quantile",0.2,0
2023-10-28,0,"wk inc flu hosp",2023-10-28,"02","quantile",0.2,0
