"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2023-12-23,-1,"wk inc flu hosp",2023-12-16,"01","quantile",0.01,85.6547550742872
2023-12-23,0,"wk inc flu hosp",2023-12-23,"01","quantile",0.01,85.6568096682986
2023-12-23,1,"wk inc flu hosp",2023-12-30,"01","quantile",0.01,56.1271508575827
2023-12-23,2,"wk inc flu hosp",2024-01-06,"01","quantile",0.01,37.8333082289084
2023-12-23,3,"wk inc flu hosp",2024-01-13,"01","quantile",0.01,25.4620507251896
2023-12-23,-1,"wk inc flu hosp",2023-12-16,"01","quantile",0.025,95.1904970139943
2023-12-23,0,"wk inc flu hosp",2023-12-23,"01","quantile",0.025,95.2398674066411
2023-12-23,1,"wk inc flu hosp",2023-12-30,"01","quantile",0.025,68.1068454650032
2023-12-23,2,"wk inc flu hosp",2024-01-06,"01","quantile",0.025,50.9705587488639
2023-12-23,3,"wk inc flu hosp",2024-01-13,"01","quantile",0.025,38.8594035663685
2023-12-23,-1,"wk inc flu hosp",2023-12-16,"01","quantile",0.05,103.101257689325
2023-12-23,0,"wk inc flu hosp",2023-12-23,"01","quantile",0.05,103.312525022975
2023-12-23,1,"wk inc flu hosp",2023-12-30,"01","quantile",0.05,79.3640251433997
2023-12-23,2,"wk inc flu hosp",2024-01-06,"01","quantile",0.05,63.0849877496317
2023-12-23,3,"wk inc flu hosp",2024-01-13,"01","quantile",0.05,52.5057214011934
2023-12-23,-1,"wk inc flu hosp",2023-12-16,"01","quantile",0.1,111.871387866253
2023-12-23,0,"wk inc flu hosp",2023-12-23,"01","quantile",0.1,112.47076052314
2023-12-23,1,"wk inc flu hosp",2023-12-30,"01","quantile",0.1,92.9831467167735
2023-12-23,2,"wk inc flu hosp",2024-01-06,"01","quantile",0.1,78.9378079740378
2023-12-23,3,"wk inc flu hosp",2024-01-13,"01","quantile",0.1,69.0280963798821
2023-12-23,-1,"wk inc flu hosp",2023-12-16,"01","quantile",0.15,117.986022758836
2023-12-23,0,"wk inc flu hosp",2023-12-23,"01","quantile",0.15,118.446757533412
2023-12-23,1,"wk inc flu hosp",2023-12-30,"01","quantile",0.15,102.149388651516
2023-12-23,2,"wk inc flu hosp",2024-01-06,"01","quantile",0.15,90.2252227611177
2023-12-23,3,"wk inc flu hosp",2024-01-13,"01","quantile",0.15,81.4121139076701
2023-12-23,-1,"wk inc flu hosp",2023-12-16,"01","quantile",0.2,122.712627412953
2023-12-23,0,"wk inc flu hosp",2023-12-23,"01","quantile",0.2,123.233345605784
2023-12-23,1,"wk inc flu hosp",2023-12-30,"01","quantile",0.2,109.409659704803
2023-12-23,2,"wk inc flu hosp",2024-01-06,"01","quantile",0.2,99.5694905291204
2023-12-23,3,"wk inc flu hosp",2024-01-13,"01","quantile",0.2,92.114154461983
2023-12-23,-1,"wk inc flu hosp",2023-12-16,"01","quantile",0.25,126.682117913528
2023-12-23,0,"wk inc flu hosp",2023-12-23,"01","quantile",0.25,127.361148369986
2023-12-23,1,"wk inc flu hosp",2023-12-30,"01","quantile",0.25,116.247559120414
2023-12-23,2,"wk inc flu hosp",2024-01-06,"01","quantile",0.25,107.856173451649
2023-12-23,3,"wk inc flu hosp",2024-01-13,"01","quantile",0.25,101.728379546314
2023-12-23,-1,"wk inc flu hosp",2023-12-16,"01","quantile",0.3,130.363040370273
2023-12-23,0,"wk inc flu hosp",2023-12-23,"01","quantile",0.3,130.821704965403
2023-12-23,1,"wk inc flu hosp",2023-12-30,"01","quantile",0.3,122.258764676418
2023-12-23,2,"wk inc flu hosp",2024-01-06,"01","quantile",0.3,115.925524816992
2023-12-23,3,"wk inc flu hosp",2024-01-13,"01","quantile",0.3,110.810535207306
2023-12-23,-1,"wk inc flu hosp",2023-12-16,"01","quantile",0.35,133.52105338484
2023-12-23,0,"wk inc flu hosp",2023-12-23,"01","quantile",0.35,134.115801684506
2023-12-23,1,"wk inc flu hosp",2023-12-30,"01","quantile",0.35,127.908662703107
2023-12-23,2,"wk inc flu hosp",2024-01-06,"01","quantile",0.35,123.253670862572
2023-12-23,3,"wk inc flu hosp",2024-01-13,"01","quantile",0.35,119.570304724871
2023-12-23,-1,"wk inc flu hosp",2023-12-16,"01","quantile",0.4,136.497128619474
2023-12-23,0,"wk inc flu hosp",2023-12-23,"01","quantile",0.4,137.208915686155
2023-12-23,1,"wk inc flu hosp",2023-12-30,"01","quantile",0.4,133.240469312682
2023-12-23,2,"wk inc flu hosp",2024-01-06,"01","quantile",0.4,130.377783374449
2023-12-23,3,"wk inc flu hosp",2024-01-13,"01","quantile",0.4,128.009998443023
2023-12-23,-1,"wk inc flu hosp",2023-12-16,"01","quantile",0.45,139.391517540566
2023-12-23,0,"wk inc flu hosp",2023-12-23,"01","quantile",0.45,140.229806532825
2023-12-23,1,"wk inc flu hosp",2023-12-30,"01","quantile",0.45,138.437130736571
2023-12-23,2,"wk inc flu hosp",2024-01-06,"01","quantile",0.45,137.286841881806
2023-12-23,3,"wk inc flu hosp",2024-01-13,"01","quantile",0.45,136.407482627012
2023-12-23,-1,"wk inc flu hosp",2023-12-16,"01","quantile",0.5,142.328459614021
2023-12-23,0,"wk inc flu hosp",2023-12-23,"01","quantile",0.5,142.997990301106
2023-12-23,1,"wk inc flu hosp",2023-12-30,"01","quantile",0.5,143.569204022859
2023-12-23,2,"wk inc flu hosp",2024-01-06,"01","quantile",0.5,144.190386266887
2023-12-23,3,"wk inc flu hosp",2024-01-13,"01","quantile",0.5,145.083675689355
2023-12-23,-1,"wk inc flu hosp",2023-12-16,"01","quantile",0.55,145.325215049959
2023-12-23,0,"wk inc flu hosp",2023-12-23,"01","quantile",0.55,145.935550353031
2023-12-23,1,"wk inc flu hosp",2023-12-30,"01","quantile",0.55,148.793937459781
2023-12-23,2,"wk inc flu hosp",2024-01-06,"01","quantile",0.55,151.539501527501
2023-12-23,3,"wk inc flu hosp",2024-01-13,"01","quantile",0.55,154.135548697958
2023-12-23,-1,"wk inc flu hosp",2023-12-16,"01","quantile",0.6,148.272233304903
2023-12-23,0,"wk inc flu hosp",2023-12-23,"01","quantile",0.6,148.94106215537
2023-12-23,1,"wk inc flu hosp",2023-12-30,"01","quantile",0.6,154.198772375574
2023-12-23,2,"wk inc flu hosp",2024-01-06,"01","quantile",0.6,159.092880153996
2023-12-23,3,"wk inc flu hosp",2024-01-13,"01","quantile",0.6,163.598704816339
2023-12-23,-1,"wk inc flu hosp",2023-12-16,"01","quantile",0.65,151.323473427433
2023-12-23,0,"wk inc flu hosp",2023-12-23,"01","quantile",0.65,152.020852067731
2023-12-23,1,"wk inc flu hosp",2023-12-30,"01","quantile",0.65,159.800762624627
2023-12-23,2,"wk inc flu hosp",2024-01-06,"01","quantile",0.65,167.122804470272
2023-12-23,3,"wk inc flu hosp",2024-01-13,"01","quantile",0.65,173.887011254346
2023-12-23,-1,"wk inc flu hosp",2023-12-16,"01","quantile",0.7,154.614873915808
2023-12-23,0,"wk inc flu hosp",2023-12-23,"01","quantile",0.7,155.436480814705
2023-12-23,1,"wk inc flu hosp",2023-12-30,"01","quantile",0.7,166.021135020519
2023-12-23,2,"wk inc flu hosp",2024-01-06,"01","quantile",0.7,175.754155227487
2023-12-23,3,"wk inc flu hosp",2024-01-13,"01","quantile",0.7,184.777005972958
2023-12-23,-1,"wk inc flu hosp",2023-12-16,"01","quantile",0.75,158.161263540752
2023-12-23,0,"wk inc flu hosp",2023-12-23,"01","quantile",0.75,159.048143154738
2023-12-23,1,"wk inc flu hosp",2023-12-30,"01","quantile",0.75,172.757351219689
2023-12-23,2,"wk inc flu hosp",2024-01-06,"01","quantile",0.75,185.415311881982
2023-12-23,3,"wk inc flu hosp",2024-01-13,"01","quantile",0.75,196.779054079834
2023-12-23,-1,"wk inc flu hosp",2023-12-16,"01","quantile",0.8,162.251453861
2023-12-23,0,"wk inc flu hosp",2023-12-23,"01","quantile",0.8,163.153648375281
2023-12-23,1,"wk inc flu hosp",2023-12-30,"01","quantile",0.8,180.294515796291
2023-12-23,2,"wk inc flu hosp",2024-01-06,"01","quantile",0.8,196.242508201806
2023-12-23,3,"wk inc flu hosp",2024-01-13,"01","quantile",0.8,211.055371201398
2023-12-23,-1,"wk inc flu hosp",2023-12-16,"01","quantile",0.85,167.27782291123
2023-12-23,0,"wk inc flu hosp",2023-12-23,"01","quantile",0.85,168.090148661496
2023-12-23,1,"wk inc flu hosp",2023-12-30,"01","quantile",0.85,189.784335014743
2023-12-23,2,"wk inc flu hosp",2024-01-06,"01","quantile",0.85,209.632096382586
2023-12-23,3,"wk inc flu hosp",2024-01-13,"01","quantile",0.85,228.071507620121
2023-12-23,-1,"wk inc flu hosp",2023-12-16,"01","quantile",0.9,173.720966367823
2023-12-23,0,"wk inc flu hosp",2023-12-23,"01","quantile",0.9,174.669469004248
2023-12-23,1,"wk inc flu hosp",2023-12-30,"01","quantile",0.9,202.191627095149
2023-12-23,2,"wk inc flu hosp",2024-01-06,"01","quantile",0.9,227.373635853922
2023-12-23,3,"wk inc flu hosp",2024-01-13,"01","quantile",0.9,251.344166837537
2023-12-23,-1,"wk inc flu hosp",2023-12-16,"01","quantile",0.95,184.165541721675
2023-12-23,0,"wk inc flu hosp",2023-12-23,"01","quantile",0.95,185.306224003824
2023-12-23,1,"wk inc flu hosp",2023-12-30,"01","quantile",0.95,221.955219655911
2023-12-23,2,"wk inc flu hosp",2024-01-06,"01","quantile",0.95,256.994332503369
2023-12-23,3,"wk inc flu hosp",2024-01-13,"01","quantile",0.95,288.802562739209
2023-12-23,-1,"wk inc flu hosp",2023-12-16,"01","quantile",0.975,194.172280558389
2023-12-23,0,"wk inc flu hosp",2023-12-23,"01","quantile",0.975,195.640979689612
2023-12-23,1,"wk inc flu hosp",2023-12-30,"01","quantile",0.975,241.372265742255
2023-12-23,2,"wk inc flu hosp",2024-01-06,"01","quantile",0.975,284.33778967119
2023-12-23,3,"wk inc flu hosp",2024-01-13,"01","quantile",0.975,324.569441022092
2023-12-23,-1,"wk inc flu hosp",2023-12-16,"01","quantile",0.99,206.332567026527
2023-12-23,0,"wk inc flu hosp",2023-12-23,"01","quantile",0.99,208.070373097055
2023-12-23,1,"wk inc flu hosp",2023-12-30,"01","quantile",0.99,265.220327809151
2023-12-23,2,"wk inc flu hosp",2024-01-06,"01","quantile",0.99,317.939165530245
2023-12-23,3,"wk inc flu hosp",2024-01-13,"01","quantile",0.99,369.570817228871
2023-12-23,-1,"wk inc flu hosp",2023-12-16,"02","quantile",0.01,0
2023-12-23,0,"wk inc flu hosp",2023-12-23,"02","quantile",0.01,0
2023-12-23,1,"wk inc flu hosp",2023-12-30,"02","quantile",0.01,0
2023-12-23,2,"wk inc flu hosp",2024-01-06,"02","quantile",0.01,0
2023-12-23,3,"wk inc flu hosp",2024-01-13,"02","quantile",0.01,0
2023-12-23,-1,"wk inc flu hosp",2023-12-16,"02","quantile",0.025,0
2023-12-23,0,"wk inc flu hosp",2023-12-23,"02","quantile",0.025,0
2023-12-23,1,"wk inc flu hosp",2023-12-30,"02","quantile",0.025,0
2023-12-23,2,"wk inc flu hosp",2024-01-06,"02","quantile",0.025,0
2023-12-23,3,"wk inc flu hosp",2024-01-13,"02","quantile",0.025,0
2023-12-23,-1,"wk inc flu hosp",2023-12-16,"02","quantile",0.05,0
2023-12-23,0,"wk inc flu hosp",2023-12-23,"02","quantile",0.05,0
2023-12-23,1,"wk inc flu hosp",2023-12-30,"02","quantile",0.05,0
2023-12-23,2,"wk inc flu hosp",2024-01-06,"02","quantile",0.05,0
2023-12-23,3,"wk inc flu hosp",2024-01-13,"02","quantile",0.05,0
2023-12-23,-1,"wk inc flu hosp",2023-12-16,"02","quantile",0.1,0
2023-12-23,0,"wk inc flu hosp",2023-12-23,"02","quantile",0.1,0
2023-12-23,1,"wk inc flu hosp",2023-12-30,"02","quantile",0.1,0
2023-12-23,2,"wk inc flu hosp",2024-01-06,"02","quantile",0.1,0
2023-12-23,3,"wk inc flu hosp",2024-01-13,"02","quantile",0.1,0
2023-12-23,-1,"wk inc flu hosp",2023-12-16,"02","quantile",0.15,0.526514427996698
2023-12-23,0,"wk inc flu hosp",2023-12-23,"02","quantile",0.15,0.331157746084216
2023-12-23,1,"wk inc flu hosp",2023-12-30,"02","quantile",0.15,0
