"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"01","quantile",0.01,0
2023-11-18,0,"wk inc flu hosp",2023-11-18,"01","quantile",0.01,0
2023-11-18,1,"wk inc flu hosp",2023-11-25,"01","quantile",0.01,0
2023-11-18,2,"wk inc flu hosp",2023-12-02,"01","quantile",0.01,0
2023-11-18,3,"wk inc flu hosp",2023-12-09,"01","quantile",0.01,0
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"01","quantile",0.025,0
2023-11-18,0,"wk inc flu hosp",2023-11-18,"01","quantile",0.025,0
2023-11-18,1,"wk inc flu hosp",2023-11-25,"01","quantile",0.025,0
2023-11-18,2,"wk inc flu hosp",2023-12-02,"01","quantile",0.025,0
2023-11-18,3,"wk inc flu hosp",2023-12-09,"01","quantile",0.025,0
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"01","quantile",0.05,4.68174517647145
2023-11-18,0,"wk inc flu hosp",2023-11-18,"01","quantile",0.05,5.45153586446506
2023-11-18,1,"wk inc flu hosp",2023-11-25,"01","quantile",0.05,0
2023-11-18,2,"wk inc flu hosp",2023-12-02,"01","quantile",0.05,0
2023-11-18,3,"wk inc flu hosp",2023-12-09,"01","quantile",0.05,0
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"01","quantile",0.1,13.5646403454476
2023-11-18,0,"wk inc flu hosp",2023-11-18,"01","quantile",0.1,14.2480933217383
2023-11-18,1,"wk inc flu hosp",2023-11-25,"01","quantile",0.1,7.67511865439451
2023-11-18,2,"wk inc flu hosp",2023-12-02,"01","quantile",0.1,4.82320800466188
2023-11-18,3,"wk inc flu hosp",2023-12-09,"01","quantile",0.1,3.95579705085063
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"01","quantile",0.15,19.5188569502457
2023-11-18,0,"wk inc flu hosp",2023-11-18,"01","quantile",0.15,20.4156045700459
2023-11-18,1,"wk inc flu hosp",2023-11-25,"01","quantile",0.15,13.7602542071807
2023-11-18,2,"wk inc flu hosp",2023-12-02,"01","quantile",0.15,10.9135717032349
2023-11-18,3,"wk inc flu hosp",2023-12-09,"01","quantile",0.15,10.304120523956
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"01","quantile",0.2,24.440310839826
2023-11-18,0,"wk inc flu hosp",2023-11-18,"01","quantile",0.2,25.4366403382645
2023-11-18,1,"wk inc flu hosp",2023-11-25,"01","quantile",0.2,18.9962167098921
2023-11-18,2,"wk inc flu hosp",2023-12-02,"01","quantile",0.2,16.5489744200698
2023-11-18,3,"wk inc flu hosp",2023-12-09,"01","quantile",0.2,15.9773902514284
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"01","quantile",0.25,28.9160185164035
