"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2024-04-06,-1,"wk inc flu hosp",2024-03-30,"01","quantile",0.01,0
2024-04-06,0,"wk inc flu hosp",2024-04-06,"01","quantile",0.01,0
2024-04-06,1,"wk inc flu hosp",2024-04-13,"01","quantile",0.01,0
2024-04-06,2,"wk inc flu hosp",2024-04-20,"01","quantile",0.01,0
2024-04-06,3,"wk inc flu hosp",2024-04-27,"01","quantile",0.01,0
2024-04-06,-1,"wk inc flu hosp",2024-03-30,"01","quantile",0.025,2.42072857992775
2024-04-06,0,"wk inc flu hosp",2024-04-06,"01","quantile",0.025,0.763457192140697
2024-04-06,1,"wk inc flu hosp",2024-04-13,"01","quantile",0.025,0
2024-04-06,2,"wk inc flu hosp",2024-04-20,"01","quantile",0.025,0
2024-04-06,3,"wk inc flu hosp",2024-04-27,"01","quantile",0.025,0
2024-04-06,-1,"wk inc flu hosp",2024-03-30,"01","quantile",0.05,12.5096056385333
2024-04-06,0,"wk inc flu hosp",2024-04-06,"01","quantile",0.05,11.7121327847856
2024-04-06,1,"wk inc flu hosp",2024-04-13,"01","quantile",0.05,0
2024-04-06,2,"wk inc flu hosp",2024-04-20,"01","quantile",0.05,0
2024-04-06,3,"wk inc flu hosp",2024-04-27,"01","quantile",0.05,0
2024-04-06,-1,"wk inc flu hosp",2024-03-30,"01","quantile",0.1,21.6379296578793
2024-04-06,0,"wk inc flu hosp",2024-04-06,"01","quantile",0.1,20.7034452854381
2024-04-06,1,"wk inc flu hosp",2024-04-13,"01","quantile",0.1,3.10509158548754
2024-04-06,2,"wk inc flu hosp",2024-04-20,"01","quantile",0.1,0
2024-04-06,3,"wk inc flu hosp",2024-04-27,"01","quantile",0.1,0
2024-04-06,-1,"wk inc flu hosp",2024-03-30,"01","quantile",0.15,26.8738971931816
2024-04-06,0,"wk inc flu hosp",2024-04-06,"01","quantile",0.15,25.8253971074666
2024-04-06,1,"wk inc flu hosp",2024-04-13,"01","quantile",0.15,9.59949784173799
2024-04-06,2,"wk inc flu hosp",2024-04-20,"01","quantile",0.15,0.0246969831255362
2024-04-06,3,"wk inc flu hosp",2024-04-27,"01","quantile",0.15,0
2024-04-06,-1,"wk inc flu hosp",2024-03-30,"01","quantile",0.2,30.6423737371993
2024-04-06,0,"wk inc flu hosp",2024-04-06,"01","quantile",0.2,29.7259024225819
