"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2024-02-17,-1,"wk inc flu hosp",2024-02-10,"01","quantile",0.01,20.9380412570173
2024-02-17,0,"wk inc flu hosp",2024-02-17,"01","quantile",0.01,20.2035290449759
2024-02-17,1,"wk inc flu hosp",2024-02-24,"01","quantile",0.01,0
2024-02-17,2,"wk inc flu hosp",2024-03-02,"01","quantile",0.01,0
2024-02-17,3,"wk inc flu hosp",2024-03-09,"01","quantile",0.01,0
2024-02-17,-1,"wk inc flu hosp",2024-02-10,"01","quantile",0.025,29.8870820835473
2024-02-17,0,"wk inc flu hosp",2024-02-17,"01","quantile",0.025,28.7775283518568
2024-02-17,1,"wk inc flu hosp",2024-02-24,"01","quantile",0.025,0
2024-02-17,2,"wk inc flu hosp",2024-03-02,"01","quantile",0.025,0
2024-02-17,3,"wk inc flu hosp",2024-03-09,"01","quantile",0.025,0
2024-02-17,-1,"wk inc flu hosp",2024-02-10,"01","quantile",0.05,37.3623263530748
2024-02-17,0,"wk inc flu hosp",2024-02-17,"01","quantile",0.05,36.3458998028991
2024-02-17,1,"wk inc flu hosp",2024-02-24,"01","quantile",0.05,5.21353368544392
2024-02-17,2,"wk inc flu hosp",2024-03-02,"01","quantile",0.05,0
2024-02-17,3,"wk inc flu hosp",2024-03-09,"01","quantile",0.05,0
2024-02-17,-1,"wk inc flu hosp",2024-02-10,"01","quantile",0.1,45.6668946967247
2024-02-17,0,"wk inc flu hosp",2024-02-17,"01","quantile",0.1,44.629226548319
2024-02-17,1,"wk inc flu hosp",2024-02-24,"01","quantile",0.1,15.1813707110456
2024-02-17,2,"wk inc flu hosp",2024-03-02,"01","quantile",0.1,0
2024-02-17,3,"wk inc flu hosp",2024-03-09,"01","quantile",0.1,0
2024-02-17,-1,"wk inc flu hosp",2024-02-10,"01","quantile",0.15,51.285200963464
2024-02-17,0,"wk inc flu hosp",2024-02-17,"01","quantile",0.15,50.2154170361828
2024-02-17,1,"wk inc flu hosp",2024-02-24,"01","quantile",0.15,21.9667669995156
2024-02-17,2,"wk inc flu hosp",2024-03-02,"01","quantile",0.15,5.72071917934139
2024-02-17,3,"wk inc flu hosp",2024-03-09,"01","quantile",0.15,0
2024-02-17,-1,"wk inc flu hosp",2024-02-10,"01","quantile",0.2,55.7730298009552
2024-02-17,0,"wk inc flu hosp",2024-02-17,"01","quantile",0.2,54.5819652538217
2024-02-17,1,"wk inc flu hosp",2024-02-24,"01","quantile",0.2,27.5228483122238
2024-02-17,2,"wk inc flu hosp",2024-03-02,"01","quantile",0.2,11.3575019077377
2024-02-17,3,"wk inc flu hosp",2024-03-09,"01","quantile",0.2,1.22129035696853
2024-02-17,-1,"wk inc flu hosp",2024-02-10,"01","quantile",0.25,59.674701494301
2024-02-17,0,"wk inc flu hosp",2024-02-17,"01","quantile",0.25,58.3183401237821
2024-02-17,1,"wk inc flu hosp",2024-02-24,"01","quantile",0.25,32.1214061656906
2024-02-17,2,"wk inc flu hosp",2024-03-02,"01","quantile",0.25,16.4834756387714
2024-02-17,3,"wk inc flu hosp",2024-03-09,"01","quantile",0.25,6.42664236894355
2024-02-17,-1,"wk inc flu hosp",2024-02-10,"01","quantile",0.3,63.1688824876525
2024-02-17,0,"wk inc flu hosp",2024-02-17,"01","quantile",0.3,61.8791284539172
2024-02-17,1,"wk inc flu hosp",2024-02-24,"01","quantile",0.3,36.4120518571997
2024-02-17,2,"wk inc flu hosp",2024-03-02,"01","quantile",0.3,21.0823274744124
2024-02-17,3,"wk inc flu hosp",2024-03-09,"01","quantile",0.3,11.0369426896039
2024-02-17,-1,"wk inc flu hosp",2024-02-10,"01","quantile",0.35,66.4568402087269
2024-02-17,0,"wk inc flu hosp",2024-02-17,"01","quantile",0.35,65.0983749238154
2024-02-17,1,"wk inc flu hosp",2024-02-24,"01","quantile",0.35,40.4207258923238
2024-02-17,2,"wk inc flu hosp",2024-03-02,"01","quantile",0.35,25.3320046231774
2024-02-17,3,"wk inc flu hosp",2024-03-09,"01","quantile",0.35,15.3457205004181
2024-02-17,-1,"wk inc flu hosp",2024-02-10,"01","quantile",0.4,69.684364520337
2024-02-17,0,"wk inc flu hosp",2024-02-17,"01","quantile",0.4,68.2540867273096
2024-02-17,1,"wk inc flu hosp",2024-02-24,"01","quantile",0.4,44.2675955295674
2024-02-17,2,"wk inc flu hosp",2024-03-02,"01","quantile",0.4,29.4792733218693
2024-02-17,3,"wk inc flu hosp",2024-03-09,"01","quantile",0.4,19.64868057222
2024-02-17,-1,"wk inc flu hosp",2024-02-10,"01","quantile",0.45,72.8923917192849
2024-02-17,0,"wk inc flu hosp",2024-02-17,"01","quantile",0.45,71.3657665075155
2024-02-17,1,"wk inc flu hosp",2024-02-24,"01","quantile",0.45,48.0596259046827
2024-02-17,2,"wk inc flu hosp",2024-03-02,"01","quantile",0.45,33.5659506217608
