"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2023-11-25,-1,"wk inc flu hosp",2023-11-18,"01","quantile",0.01,10.6532447586791
2023-11-25,0,"wk inc flu hosp",2023-11-25,"01","quantile",0.01,10.715522461323
2023-11-25,1,"wk inc flu hosp",2023-12-02,"01","quantile",0.01,3.89428162269291
2023-11-25,2,"wk inc flu hosp",2023-12-09,"01","quantile",0.01,2.1874716070887
2023-11-25,3,"wk inc flu hosp",2023-12-16,"01","quantile",0.01,1.71058581957785
2023-11-25,-1,"wk inc flu hosp",2023-11-18,"01","quantile",0.025,19.9623248754636
2023-11-25,0,"wk inc flu hosp",2023-11-25,"01","quantile",0.025,19.8847136551268
2023-11-25,1,"wk inc flu hosp",2023-12-02,"01","quantile",0.025,9.02009248752542
2023-11-25,2,"wk inc flu hosp",2023-12-09,"01","quantile",0.025,5.52649083887185
2023-11-25,3,"wk inc flu hosp",2023-12-16,"01","quantile",0.025,4.26494967832642
2023-11-25,-1,"wk inc flu hosp",2023-11-18,"01","quantile",0.05,28.1097884417245
2023-11-25,0,"wk inc flu hosp",2023-11-25,"01","quantile",0.05,28.5413153133492
2023-11-25,1,"wk inc flu hosp",2023-12-02,"01","quantile",0.05,15.3221314853551
2023-11-25,2,"wk inc flu hosp",2023-12-09,"01","quantile",0.05,10.38037635076
2023-11-25,3,"wk inc flu hosp",2023-12-16,"01","quantile",0.05,8.5231390994526
2023-11-25,-1,"wk inc flu hosp",2023-11-18,"01","quantile",0.1,37.0845040679991
2023-11-25,0,"wk inc flu hosp",2023-11-25,"01","quantile",0.1,37.4849120743101
2023-11-25,1,"wk inc flu hosp",2023-12-02,"01","quantile",0.1,24.6563855353081
2023-11-25,2,"wk inc flu hosp",2023-12-09,"01","quantile",0.1,18.6383287550774
2023-11-25,3,"wk inc flu hosp",2023-12-16,"01","quantile",0.1,15.9943207214217
2023-11-25,-1,"wk inc flu hosp",2023-11-18,"01","quantile",0.15,43.011291393404
2023-11-25,0,"wk inc flu hosp",2023-11-25,"01","quantile",0.15,43.5960444568588
2023-11-25,1,"wk inc flu hosp",2023-12-02,"01","quantile",0.15,31.4806819079783
2023-11-25,2,"wk inc flu hosp",2023-12-09,"01","quantile",0.15,25.4956195771623
2023-11-25,3,"wk inc flu hosp",2023-12-16,"01","quantile",0.15,22.574619094424
2023-11-25,-1,"wk inc flu hosp",2023-11-18,"01","quantile",0.2,47.8139480257844
