"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2023-12-30,-1,"wk inc flu hosp",2023-12-23,"01","quantile",0.01,136.005914471151
2023-12-30,0,"wk inc flu hosp",2023-12-30,"01","quantile",0.01,136.26880079549
2023-12-30,1,"wk inc flu hosp",2024-01-06,"01","quantile",0.01,80.7168908563998
2023-12-30,2,"wk inc flu hosp",2024-01-13,"01","quantile",0.01,54.1833001079716
2023-12-30,3,"wk inc flu hosp",2024-01-20,"01","quantile",0.01,39.2411366470349
2023-12-30,-1,"wk inc flu hosp",2023-12-23,"01","quantile",0.025,164.291505338995
2023-12-30,0,"wk inc flu hosp",2023-12-30,"01","quantile",0.025,164.889282858375
2023-12-30,1,"wk inc flu hosp",2024-01-06,"01","quantile",0.025,110.07667960512
2023-12-30,2,"wk inc flu hosp",2024-01-13,"01","quantile",0.025,79.2355666402619
2023-12-30,3,"wk inc flu hosp",2024-01-20,"01","quantile",0.025,60.8071827903096
2023-12-30,-1,"wk inc flu hosp",2023-12-23,"01","quantile",0.05,185.722790825416
2023-12-30,0,"wk inc flu hosp",2023-12-30,"01","quantile",0.05,185.389493414378
2023-12-30,1,"wk inc flu hosp",2024-01-06,"01","quantile",0.05,135.386143974064
2023-12-30,2,"wk inc flu hosp",2024-01-13,"01","quantile",0.05,103.405804823237
2023-12-30,3,"wk inc flu hosp",2024-01-20,"01","quantile",0.05,83.1525133198891
2023-12-30,-1,"wk inc flu hosp",2023-12-23,"01","quantile",0.1,205.072498855811
2023-12-30,0,"wk inc flu hosp",2023-12-30,"01","quantile",0.1,205.240501405885
2023-12-30,1,"wk inc flu hosp",2024-01-06,"01","quantile",0.1,162.967706099114
2023-12-30,2,"wk inc flu hosp",2024-01-13,"01","quantile",0.1,133.405885505725
2023-12-30,3,"wk inc flu hosp",2024-01-20,"01","quantile",0.1,112.67206957431
2023-12-30,-1,"wk inc flu hosp",2023-12-23,"01","quantile",0.15,216.811845803018
2023-12-30,0,"wk inc flu hosp",2023-12-30,"01","quantile",0.15,217.155062542462
2023-12-30,1,"wk inc flu hosp",2024-01-06,"01","quantile",0.15,180.805520179589
2023-12-30,2,"wk inc flu hosp",2024-01-13,"01","quantile",0.15,154.266143049289
2023-12-30,3,"wk inc flu hosp",2024-01-20,"01","quantile",0.15,134.895852203574
2023-12-30,-1,"wk inc flu hosp",2023-12-23,"01","quantile",0.2,225.714850339077
2023-12-30,0,"wk inc flu hosp",2023-12-30,"01","quantile",0.2,226.125770881177
2023-12-30,1,"wk inc flu hosp",2024-01-06,"01","quantile",0.2,195.116963339187
2023-12-30,2,"wk inc flu hosp",2024-01-13,"01","quantile",0.2,171.687053375932
2023-12-30,3,"wk inc flu hosp",2024-01-20,"01","quantile",0.2,154.045397543408
2023-12-30,-1,"wk inc flu hosp",2023-12-23,"01","quantile",0.25,233.05654708504
2023-12-30,0,"wk inc flu hosp",2023-12-30,"01","quantile",0.25,233.71661718975
2023-12-30,1,"wk inc flu hosp",2024-01-06,"01","quantile",0.25,207.182340092431
2023-12-30,2,"wk inc flu hosp",2024-01-13,"01","quantile",0.25,186.717921908792
2023-12-30,3,"wk inc flu hosp",2024-01-20,"01","quantile",0.25,170.874725638475
2023-12-30,-1,"wk inc flu hosp",2023-12-23,"01","quantile",0.3,239.392991973075
2023-12-30,0,"wk inc flu hosp",2023-12-30,"01","quantile",0.3,240.067151832657
2023-12-30,1,"wk inc flu hosp",2024-01-06,"01","quantile",0.3,218.011327040567
2023-12-30,2,"wk inc flu hosp",2024-01-13,"01","quantile",0.3,200.410565029181
2023-12-30,3,"wk inc flu hosp",2024-01-20,"01","quantile",0.3,186.689924794079
2023-12-30,-1,"wk inc flu hosp",2023-12-23,"01","quantile",0.35,245.011827233405
2023-12-30,0,"wk inc flu hosp",2023-12-30,"01","quantile",0.35,245.651435622294
2023-12-30,1,"wk inc flu hosp",2024-01-06,"01","quantile",0.35,227.338680793135
2023-12-30,2,"wk inc flu hosp",2024-01-13,"01","quantile",0.35,213.014131212678
2023-12-30,3,"wk inc flu hosp",2024-01-20,"01","quantile",0.35,201.349197280151
2023-12-30,-1,"wk inc flu hosp",2023-12-23,"01","quantile",0.4,249.976773814199
2023-12-30,0,"wk inc flu hosp",2023-12-30,"01","quantile",0.4,250.593681900368
2023-12-30,1,"wk inc flu hosp",2024-01-06,"01","quantile",0.4,236.114886459479
2023-12-30,2,"wk inc flu hosp",2024-01-13,"01","quantile",0.4,224.493832386478
2023-12-30,3,"wk inc flu hosp",2024-01-20,"01","quantile",0.4,215.160232375235
2023-12-30,-1,"wk inc flu hosp",2023-12-23,"01","quantile",0.45,254.584897291882
2023-12-30,0,"wk inc flu hosp",2023-12-30,"01","quantile",0.45,255.332371008949
2023-12-30,1,"wk inc flu hosp",2024-01-06,"01","quantile",0.45,244.487049849342
2023-12-30,2,"wk inc flu hosp",2024-01-13,"01","quantile",0.45,235.794514677823
2023-12-30,3,"wk inc flu hosp",2024-01-20,"01","quantile",0.45,229.117949129963
2023-12-30,-1,"wk inc flu hosp",2023-12-23,"01","quantile",0.5,259.079673322326
2023-12-30,0,"wk inc flu hosp",2023-12-30,"01","quantile",0.5,259.80543064831
2023-12-30,1,"wk inc flu hosp",2024-01-06,"01","quantile",0.5,252.673050821448
2023-12-30,2,"wk inc flu hosp",2024-01-13,"01","quantile",0.5,246.865995692121
2023-12-30,3,"wk inc flu hosp",2024-01-20,"01","quantile",0.5,242.694090385363
2023-12-30,-1,"wk inc flu hosp",2023-12-23,"01","quantile",0.55,263.519379182429
2023-12-30,0,"wk inc flu hosp",2023-12-30,"01","quantile",0.55,264.187824129199
2023-12-30,1,"wk inc flu hosp",2024-01-06,"01","quantile",0.55,260.648730490753
2023-12-30,2,"wk inc flu hosp",2024-01-13,"01","quantile",0.55,258.291058796562
2023-12-30,3,"wk inc flu hosp",2024-01-20,"01","quantile",0.55,256.746460821648
2023-12-30,-1,"wk inc flu hosp",2023-12-23,"01","quantile",0.6,267.620060115642
2023-12-30,0,"wk inc flu hosp",2023-12-30,"01","quantile",0.6,268.373993490062
2023-12-30,1,"wk inc flu hosp",2024-01-06,"01","quantile",0.6,268.467382363798
2023-12-30,2,"wk inc flu hosp",2024-01-13,"01","quantile",0.6,269.474085275977
2023-12-30,3,"wk inc flu hosp",2024-01-20,"01","quantile",0.6,271.044021398685
2023-12-30,-1,"wk inc flu hosp",2023-12-23,"01","quantile",0.65,271.860878301918
2023-12-30,0,"wk inc flu hosp",2023-12-30,"01","quantile",0.65,272.719652131355
2023-12-30,1,"wk inc flu hosp",2024-01-06,"01","quantile",0.65,276.600331773298
2023-12-30,2,"wk inc flu hosp",2024-01-13,"01","quantile",0.65,281.118440062671
2023-12-30,3,"wk inc flu hosp",2024-01-20,"01","quantile",0.65,285.510995270777
