"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"02","quantile",0.01,29.3212306462532
2023-11-18,0,"wk inc flu hosp",2023-11-18,"02","quantile",0.01,29.4393742038051
2023-11-18,1,"wk inc flu hosp",2023-11-25,"02","quantile",0.01,22.9220536950597
2023-11-18,2,"wk inc flu hosp",2023-12-02,"02","quantile",0.01,16.924640407375
2023-11-18,3,"wk inc flu hosp",2023-12-09,"02","quantile",0.01,12.4044033482839
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"02","quantile",0.025,32.6824002452507
2023-11-18,0,"wk inc flu hosp",2023-11-18,"02","quantile",0.025,32.6865134681417
2023-11-18,1,"wk inc flu hosp",2023-11-25,"02","quantile",0.025,28.8209234077212
2023-11-18,2,"wk inc flu hosp",2023-12-02,"02","quantile",0.025,25.3976913886802
2023-11-18,3,"wk inc flu hosp",2023-12-09,"02","quantile",0.025,22.4835562200632
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"02","quantile",0.05,35.5281226776101
2023-11-18,0,"wk inc flu hosp",2023-11-18,"02","quantile",0.05,35.566834081769
2023-11-18,1,"wk inc flu hosp",2023-11-25,"02","quantile",0.05,33.8598535982434
2023-11-18,2,"wk inc flu hosp",2023-12-02,"02","quantile",0.05,32.4481799730564
2023-11-18,3,"wk inc flu hosp",2023-12-09,"02","quantile",0.05,30.9835669357618
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"02","quantile",0.1,38.7195297203007
2023-11-18,0,"wk inc flu hosp",2023-11-18,"02","quantile",0.1,38.9375344834025
2023-11-18,1,"wk inc flu hosp",2023-11-25,"02","quantile",0.1,39.8036565862814
2023-11-18,2,"wk inc flu hosp",2023-12-02,"02","quantile",0.1,40.5045604844302
2023-11-18,3,"wk inc flu hosp",2023-12-09,"02","quantile",0.1,41.1528704459729
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"02","quantile",0.15,40.8468916066369
2023-11-18,0,"wk inc flu hosp",2023-11-18,"02","quantile",0.15,41.0872929415749
2023-11-18,1,"wk inc flu hosp",2023-11-25,"02","quantile",0.15,43.7426327755016
2023-11-18,2,"wk inc flu hosp",2023-12-02,"02","quantile",0.15,46.1170161182059
2023-11-18,3,"wk inc flu hosp",2023-12-09,"02","quantile",0.15,48.2240287522927
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"02","quantile",0.2,42.4934093947694
2023-11-18,0,"wk inc flu hosp",2023-11-18,"02","quantile",0.2,42.8210416039217
2023-11-18,1,"wk inc flu hosp",2023-11-25,"02","quantile",0.2,46.9856660902658
2023-11-18,2,"wk inc flu hosp",2023-12-02,"02","quantile",0.2,50.7767976488332
2023-11-18,3,"wk inc flu hosp",2023-12-09,"02","quantile",0.2,54.0680212044418
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"02","quantile",0.25,43.9364899548713
2023-11-18,0,"wk inc flu hosp",2023-11-18,"02","quantile",0.25,44.3085935381465
2023-11-18,1,"wk inc flu hosp",2023-11-25,"02","quantile",0.25,49.778177348863
2023-11-18,2,"wk inc flu hosp",2023-12-02,"02","quantile",0.25,54.7528809921163
2023-11-18,3,"wk inc flu hosp",2023-12-09,"02","quantile",0.25,59.2024997662414
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"02","quantile",0.3,45.2067861344796
2023-11-18,0,"wk inc flu hosp",2023-11-18,"02","quantile",0.3,45.630684654888
2023-11-18,1,"wk inc flu hosp",2023-11-25,"02","quantile",0.3,52.329022436745
2023-11-18,2,"wk inc flu hosp",2023-12-02,"02","quantile",0.3,58.4546822082719
2023-11-18,3,"wk inc flu hosp",2023-12-09,"02","quantile",0.3,63.7749130255921
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"02","quantile",0.35,46.404380203832
2023-11-18,0,"wk inc flu hosp",2023-11-18,"02","quantile",0.35,46.8895389193877
2023-11-18,1,"wk inc flu hosp",2023-11-25,"02","quantile",0.35,54.6519946554306
2023-11-18,2,"wk inc flu hosp",2023-12-02,"02","quantile",0.35,61.8538765272899
2023-11-18,3,"wk inc flu hosp",2023-12-09,"02","quantile",0.35,68.1292470176633
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"02","quantile",0.4,47.5074816581164
2023-11-18,0,"wk inc flu hosp",2023-11-18,"02","quantile",0.4,48.0924396182669
2023-11-18,1,"wk inc flu hosp",2023-11-25,"02","quantile",0.4,56.8910818477897
2023-11-18,2,"wk inc flu hosp",2023-12-02,"02","quantile",0.4,65.0908731909507
2023-11-18,3,"wk inc flu hosp",2023-12-09,"02","quantile",0.4,72.3157363703343
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"02","quantile",0.45,48.6212542060111
2023-11-18,0,"wk inc flu hosp",2023-11-18,"02","quantile",0.45,49.1943574567296
2023-11-18,1,"wk inc flu hosp",2023-11-25,"02","quantile",0.45,58.9664458883493
2023-11-18,2,"wk inc flu hosp",2023-12-02,"02","quantile",0.45,68.1769147418655
2023-11-18,3,"wk inc flu hosp",2023-12-09,"02","quantile",0.45,76.4548783709623
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"02","quantile",0.5,49.7065224379466
2023-11-18,0,"wk inc flu hosp",2023-11-18,"02","quantile",0.5,50.3021098880386
2023-11-18,1,"wk inc flu hosp",2023-11-25,"02","quantile",0.5,61.0852369454335
2023-11-18,2,"wk inc flu hosp",2023-12-02,"02","quantile",0.5,71.1586697546087
2023-11-18,3,"wk inc flu hosp",2023-12-09,"02","quantile",0.5,80.4837478143943
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"02","quantile",0.55,50.767389581227
2023-11-18,0,"wk inc flu hosp",2023-11-18,"02","quantile",0.55,51.4521978206915
2023-11-18,1,"wk inc flu hosp",2023-11-25,"02","quantile",0.55,63.2739338399629
2023-11-18,2,"wk inc flu hosp",2023-12-02,"02","quantile",0.55,74.3262699274686
2023-11-18,3,"wk inc flu hosp",2023-12-09,"02","quantile",0.55,84.5740431825969
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"02","quantile",0.6,51.8787186237243
2023-11-18,0,"wk inc flu hosp",2023-11-18,"02","quantile",0.6,52.6167569032228
2023-11-18,1,"wk inc flu hosp",2023-11-25,"02","quantile",0.6,65.5072215662481
2023-11-18,2,"wk inc flu hosp",2023-12-02,"02","quantile",0.6,77.6734719486511
2023-11-18,3,"wk inc flu hosp",2023-12-09,"02","quantile",0.6,88.8420396058014
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"02","quantile",0.65,52.9986375709816
2023-11-18,0,"wk inc flu hosp",2023-11-18,"02","quantile",0.65,53.8452541165327
2023-11-18,1,"wk inc flu hosp",2023-11-25,"02","quantile",0.65,67.9139376522024
2023-11-18,2,"wk inc flu hosp",2023-12-02,"02","quantile",0.65,81.2929189333932
2023-11-18,3,"wk inc flu hosp",2023-12-09,"02","quantile",0.65,93.5308960270262
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"02","quantile",0.7,54.2539669954475
2023-11-18,0,"wk inc flu hosp",2023-11-18,"02","quantile",0.7,55.12299841314
2023-11-18,1,"wk inc flu hosp",2023-11-25,"02","quantile",0.7,70.3990815699247
2023-11-18,2,"wk inc flu hosp",2023-12-02,"02","quantile",0.7,85.0549307280913
2023-11-18,3,"wk inc flu hosp",2023-12-09,"02","quantile",0.7,98.5023821844992
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"02","quantile",0.75,55.6165172022744
2023-11-18,0,"wk inc flu hosp",2023-11-18,"02","quantile",0.75,56.5389864147215
2023-11-18,1,"wk inc flu hosp",2023-11-25,"02","quantile",0.75,73.2381519741144
2023-11-18,2,"wk inc flu hosp",2023-12-02,"02","quantile",0.75,89.0230907658703
2023-11-18,3,"wk inc flu hosp",2023-12-09,"02","quantile",0.75,104.061889314888
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"02","quantile",0.8,57.1541718401389
2023-11-18,0,"wk inc flu hosp",2023-11-18,"02","quantile",0.8,58.1877292508137
2023-11-18,1,"wk inc flu hosp",2023-11-25,"02","quantile",0.8,76.3750138131309
2023-11-18,2,"wk inc flu hosp",2023-12-02,"02","quantile",0.8,93.7684259246873
2023-11-18,3,"wk inc flu hosp",2023-12-09,"02","quantile",0.8,110.374536957117
