"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2023-12-16,-1,"wk inc flu hosp",2023-12-09,"01","quantile",0.01,8.49364248599247
2023-12-16,0,"wk inc flu hosp",2023-12-16,"01","quantile",0.01,8.89037592853809
2023-12-16,1,"wk inc flu hosp",2023-12-23,"01","quantile",0.01,3.34958010353889
2023-12-16,2,"wk inc flu hosp",2023-12-30,"01","quantile",0.01,1.87845543551457
2023-12-16,3,"wk inc flu hosp",2024-01-06,"01","quantile",0.01,1.32587692856818
2023-12-16,-1,"wk inc flu hosp",2023-12-09,"01","quantile",0.025,18.1524027034733
2023-12-16,0,"wk inc flu hosp",2023-12-16,"01","quantile",0.025,19.35216739918
2023-12-16,1,"wk inc flu hosp",2023-12-23,"01","quantile",0.025,7.76584049510129
2023-12-16,2,"wk inc flu hosp",2023-12-30,"01","quantile",0.025,4.74467235545106
2023-12-16,3,"wk inc flu hosp",2024-01-06,"01","quantile",0.025,3.34649414147345
2023-12-16,-1,"wk inc flu hosp",2023-12-09,"01","quantile",0.05,28.287849202084
2023-12-16,0,"wk inc flu hosp",2023-12-16,"01","quantile",0.05,29.5479027922445
2023-12-16,1,"wk inc flu hosp",2023-12-23,"01","quantile",0.05,14.0815671184043
2023-12-16,2,"wk inc flu hosp",2023-12-30,"01","quantile",0.05,9.28765866112712
2023-12-16,3,"wk inc flu hosp",2024-01-06,"01","quantile",0.05,7.32302427986743
2023-12-16,-1,"wk inc flu hosp",2023-12-09,"01","quantile",0.1,39.9689158871009
2023-12-16,0,"wk inc flu hosp",2023-12-16,"01","quantile",0.1,40.6756358548063
2023-12-16,1,"wk inc flu hosp",2023-12-23,"01","quantile",0.1,23.5732116610061
2023-12-16,2,"wk inc flu hosp",2023-12-30,"01","quantile",0.1,17.4340749037607
2023-12-16,3,"wk inc flu hosp",2024-01-06,"01","quantile",0.1,14.9233607342265
2023-12-16,-1,"wk inc flu hosp",2023-12-09,"01","quantile",0.15,47.9013643590192
2023-12-16,0,"wk inc flu hosp",2023-12-16,"01","quantile",0.15,48.5995881207948
2023-12-16,1,"wk inc flu hosp",2023-12-23,"01","quantile",0.15,31.1680806331034
2023-12-16,2,"wk inc flu hosp",2023-12-30,"01","quantile",0.15,24.9840609154671
2023-12-16,3,"wk inc flu hosp",2024-01-06,"01","quantile",0.15,22.3649205379698
2023-12-16,-1,"wk inc flu hosp",2023-12-09,"01","quantile",0.2,54.3357954423657
2023-12-16,0,"wk inc flu hosp",2023-12-16,"01","quantile",0.2,55.0185278944468
2023-12-16,1,"wk inc flu hosp",2023-12-23,"01","quantile",0.2,38.1746931796384
2023-12-16,2,"wk inc flu hosp",2023-12-30,"01","quantile",0.2,31.9459968702985
