"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"01","quantile",0.01,4.12718949628294
2023-11-18,0,"wk inc flu hosp",2023-11-18,"01","quantile",0.01,5.06036120521067
2023-11-18,1,"wk inc flu hosp",2023-11-25,"01","quantile",0.01,0
2023-11-18,2,"wk inc flu hosp",2023-12-02,"01","quantile",0.01,0
2023-11-18,3,"wk inc flu hosp",2023-12-09,"01","quantile",0.01,0
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"01","quantile",0.025,12.7581007681043
2023-11-18,0,"wk inc flu hosp",2023-11-18,"01","quantile",0.025,13.3656314940395
2023-11-18,1,"wk inc flu hosp",2023-11-25,"01","quantile",0.025,7.10870699507137
2023-11-18,2,"wk inc flu hosp",2023-12-02,"01","quantile",0.025,3.52586601387397
2023-11-18,3,"wk inc flu hosp",2023-12-09,"01","quantile",0.025,2.06282699268676
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"01","quantile",0.05,19.7607613628278
2023-11-18,0,"wk inc flu hosp",2023-11-18,"01","quantile",0.05,20.3178823201623
2023-11-18,1,"wk inc flu hosp",2023-11-25,"01","quantile",0.05,13.3344821120339
2023-11-18,2,"wk inc flu hosp",2023-12-02,"01","quantile",0.05,9.97684143761284
2023-11-18,3,"wk inc flu hosp",2023-12-09,"01","quantile",0.05,9.20769230236732
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"01","quantile",0.1,27.3193324907996
2023-11-18,0,"wk inc flu hosp",2023-11-18,"01","quantile",0.1,28.1707162057869
2023-11-18,1,"wk inc flu hosp",2023-11-25,"01","quantile",0.1,20.773017382969
2023-11-18,2,"wk inc flu hosp",2023-12-02,"01","quantile",0.1,18.285950965002
2023-11-18,3,"wk inc flu hosp",2023-12-09,"01","quantile",0.1,17.5973525623674
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"01","quantile",0.15,32.4665795684041
2023-11-18,0,"wk inc flu hosp",2023-11-18,"01","quantile",0.15,33.2403752517638
2023-11-18,1,"wk inc flu hosp",2023-11-25,"01","quantile",0.15,26.3187414022476
2023-11-18,2,"wk inc flu hosp",2023-12-02,"01","quantile",0.15,24.2750991718222
2023-11-18,3,"wk inc flu hosp",2023-12-09,"01","quantile",0.15,23.470539312261
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"01","quantile",0.2,36.4592576123397
2023-11-18,0,"wk inc flu hosp",2023-11-18,"01","quantile",0.2,37.3835521156769
2023-11-18,1,"wk inc flu hosp",2023-11-25,"01","quantile",0.2,30.9368843374609
2023-11-18,2,"wk inc flu hosp",2023-12-02,"01","quantile",0.2,29.0461712551509
2023-11-18,3,"wk inc flu hosp",2023-12-09,"01","quantile",0.2,28.436488672872
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"01","quantile",0.25,39.9149971723445
2023-11-18,0,"wk inc flu hosp",2023-11-18,"01","quantile",0.25,40.8964591764593
2023-11-18,1,"wk inc flu hosp",2023-11-25,"01","quantile",0.25,35.1360290763906
2023-11-18,2,"wk inc flu hosp",2023-12-02,"01","quantile",0.25,33.2974709352703
2023-11-18,3,"wk inc flu hosp",2023-12-09,"01","quantile",0.25,33.0710872797496
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"01","quantile",0.3,42.9107914544583
2023-11-18,0,"wk inc flu hosp",2023-11-18,"01","quantile",0.3,43.923157423302
2023-11-18,1,"wk inc flu hosp",2023-11-25,"01","quantile",0.3,38.9943941521853
2023-11-18,2,"wk inc flu hosp",2023-12-02,"01","quantile",0.3,37.3496656217596
2023-11-18,3,"wk inc flu hosp",2023-12-09,"01","quantile",0.3,37.3009893988325
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"01","quantile",0.35,45.6364111122838
2023-11-18,0,"wk inc flu hosp",2023-11-18,"01","quantile",0.35,46.8577579667825
2023-11-18,1,"wk inc flu hosp",2023-11-25,"01","quantile",0.35,42.71356621779
2023-11-18,2,"wk inc flu hosp",2023-12-02,"01","quantile",0.35,41.3023296377649
2023-11-18,3,"wk inc flu hosp",2023-12-09,"01","quantile",0.35,41.4285958018174
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"01","quantile",0.4,48.3801614610994
