"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2024-01-06,-1,"wk inc flu hosp",2023-12-30,"01","quantile",0.01,51.4394881357435
2024-01-06,0,"wk inc flu hosp",2024-01-06,"01","quantile",0.01,51.232445941251
2024-01-06,1,"wk inc flu hosp",2024-01-13,"01","quantile",0.01,28.9420666230975
2024-01-06,2,"wk inc flu hosp",2024-01-20,"01","quantile",0.01,21.9529865865334
2024-01-06,3,"wk inc flu hosp",2024-01-27,"01","quantile",0.01,19.791017560223
2024-01-06,-1,"wk inc flu hosp",2023-12-30,"01","quantile",0.025,65.5609902548152
2024-01-06,0,"wk inc flu hosp",2024-01-06,"01","quantile",0.025,68.041782130853
2024-01-06,1,"wk inc flu hosp",2024-01-13,"01","quantile",0.025,40.8132807146033
2024-01-06,2,"wk inc flu hosp",2024-01-20,"01","quantile",0.025,31.7145714494863
2024-01-06,3,"wk inc flu hosp",2024-01-27,"01","quantile",0.025,28.9475826461006
2024-01-06,-1,"wk inc flu hosp",2023-12-30,"01","quantile",0.05,81.1883224674176
2024-01-06,0,"wk inc flu hosp",2024-01-06,"01","quantile",0.05,84.8901437173133
2024-01-06,1,"wk inc flu hosp",2024-01-13,"01","quantile",0.05,53.9244744232521
2024-01-06,2,"wk inc flu hosp",2024-01-20,"01","quantile",0.05,44.0553600801076
2024-01-06,3,"wk inc flu hosp",2024-01-27,"01","quantile",0.05,40.6352043483493
2024-01-06,-1,"wk inc flu hosp",2023-12-30,"01","quantile",0.1,103.855314217916
2024-01-06,0,"wk inc flu hosp",2024-01-06,"01","quantile",0.1,109.47951487078
2024-01-06,1,"wk inc flu hosp",2024-01-13,"01","quantile",0.1,75.3995588085959
2024-01-06,2,"wk inc flu hosp",2024-01-20,"01","quantile",0.1,63.8711224781973
2024-01-06,3,"wk inc flu hosp",2024-01-27,"01","quantile",0.1,60.6207404170375
2024-01-06,-1,"wk inc flu hosp",2023-12-30,"01","quantile",0.15,123.542599090798
2024-01-06,0,"wk inc flu hosp",2024-01-06,"01","quantile",0.15,129.090903874453
2024-01-06,1,"wk inc flu hosp",2024-01-13,"01","quantile",0.15,94.4569530969587
2024-01-06,2,"wk inc flu hosp",2024-01-20,"01","quantile",0.15,82.6095757787433
2024-01-06,3,"wk inc flu hosp",2024-01-27,"01","quantile",0.15,78.647565520261
2024-01-06,-1,"wk inc flu hosp",2023-12-30,"01","quantile",0.2,141.438372513328
2024-01-06,0,"wk inc flu hosp",2024-01-06,"01","quantile",0.2,147.433356188192
2024-01-06,1,"wk inc flu hosp",2024-01-13,"01","quantile",0.2,113.566615067445
2024-01-06,2,"wk inc flu hosp",2024-01-20,"01","quantile",0.2,101.460715188207
2024-01-06,3,"wk inc flu hosp",2024-01-27,"01","quantile",0.2,98.0312108885705
2024-01-06,-1,"wk inc flu hosp",2023-12-30,"01","quantile",0.25,158.744274844853
2024-01-06,0,"wk inc flu hosp",2024-01-06,"01","quantile",0.25,165.392726236401
2024-01-06,1,"wk inc flu hosp",2024-01-13,"01","quantile",0.25,132.158116091302
2024-01-06,2,"wk inc flu hosp",2024-01-20,"01","quantile",0.25,121.21909560691
2024-01-06,3,"wk inc flu hosp",2024-01-27,"01","quantile",0.25,118.460673387503
2024-01-06,-1,"wk inc flu hosp",2023-12-30,"01","quantile",0.3,175.816163237318
2024-01-06,0,"wk inc flu hosp",2024-01-06,"01","quantile",0.3,182.93005899278
2024-01-06,1,"wk inc flu hosp",2024-01-13,"01","quantile",0.3,152.180598358088
2024-01-06,2,"wk inc flu hosp",2024-01-20,"01","quantile",0.3,142.793938554262
2024-01-06,3,"wk inc flu hosp",2024-01-27,"01","quantile",0.3,142.126132446884
2024-01-06,-1,"wk inc flu hosp",2023-12-30,"01","quantile",0.35,193.356962017636
2024-01-06,0,"wk inc flu hosp",2024-01-06,"01","quantile",0.35,200.942821030854
2024-01-06,1,"wk inc flu hosp",2024-01-13,"01","quantile",0.35,173.698994205566
2024-01-06,2,"wk inc flu hosp",2024-01-20,"01","quantile",0.35,166.829507225073
2024-01-06,3,"wk inc flu hosp",2024-01-27,"01","quantile",0.35,168.096171476512
2024-01-06,-1,"wk inc flu hosp",2023-12-30,"01","quantile",0.4,211.611910097012
2024-01-06,0,"wk inc flu hosp",2024-01-06,"01","quantile",0.4,219.660277796467
2024-01-06,1,"wk inc flu hosp",2024-01-13,"01","quantile",0.4,197.172852044315
2024-01-06,2,"wk inc flu hosp",2024-01-20,"01","quantile",0.4,193.029517338484
2024-01-06,3,"wk inc flu hosp",2024-01-27,"01","quantile",0.4,197.544927132087
2024-01-06,-1,"wk inc flu hosp",2023-12-30,"01","quantile",0.45,230.611019202873
2024-01-06,0,"wk inc flu hosp",2024-01-06,"01","quantile",0.45,239.949675523278
2024-01-06,1,"wk inc flu hosp",2024-01-13,"01","quantile",0.45,223.041637871831
2024-01-06,2,"wk inc flu hosp",2024-01-20,"01","quantile",0.45,222.287477337458
2024-01-06,3,"wk inc flu hosp",2024-01-27,"01","quantile",0.45,230.663113710877
2024-01-06,-1,"wk inc flu hosp",2023-12-30,"01","quantile",0.5,250.53513655825
2024-01-06,0,"wk inc flu hosp",2024-01-06,"01","quantile",0.5,261.886806544899
2024-01-06,1,"wk inc flu hosp",2024-01-13,"01","quantile",0.5,251.773343114988
2024-01-06,2,"wk inc flu hosp",2024-01-20,"01","quantile",0.5,257.337860041422
