"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.01,6.52043062298229
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.01,6.57048654554995
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.01,4.25334168410876
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.01,3.4652252719119
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.01,3.02959461909144
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.025,8.34258536497909
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.025,8.46347744300883
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.025,5.91264470915445
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.025,5.00325798188101
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.025,4.58582608316229
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.05,10.4224377582929
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.05,10.5075227263147
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.05,7.89160844683187
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.05,6.83037423371438
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.05,6.24028850652694
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.1,13.2294836846919
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.1,13.4186093048671
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.1,10.7271132079682
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.1,9.66508710847563
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.1,9.08441996228012
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.15,15.5362562638455
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.15,15.7951264636877
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.15,13.2471960374984
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.15,12.2023384693344
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.15,11.6414323088272
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.2,17.6781085985739
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.2,17.9233249525898
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.2,15.5324524213559
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.2,14.5584950615795
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.2,14.1474910096795
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.25,19.6609180482701
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.25,19.9608013719928
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.25,17.8307327600889
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.25,17.0039289812548
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.25,16.7207870412443
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.3,21.6005683286951
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.3,21.9652018176941
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.3,20.1820620954629
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.3,19.5710113568708
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.3,19.306025251801
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.35,23.6667377755354
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.35,23.9775804121034
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.35,22.7452321476812
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.35,22.3079332696109
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.35,22.2783441563912
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.4,25.75427052595
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.4,26.1104896286954
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.4,25.3247418269281
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.4,25.2606992967182
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.4,25.4176465073533
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.45,27.8916020474106
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.45,28.3132027288131
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.45,28.1757286575886
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.45,28.5418961910295
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.45,28.855311103497
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.5,30.142831666613
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.5,30.5858653484358
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.5,31.2887301462593
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.5,32.1076963419642
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.5,32.8024274359515
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.55,32.6412594933048
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.55,33.1895009491911
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.55,34.7737722657527
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.55,36.2838751496563
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.55,37.3271216048342
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.6,35.4199334717441
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.6,36.0128769883015
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.6,38.5433918170448
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.6,40.89507393522
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.6,42.5532778707582
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.65,38.5403298726921
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.65,39.1890922361938
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.65,43.2509406784577
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.65,46.5946291537391
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.65,48.9292843336192
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.7,42.1046921878709
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.7,42.6949980272706
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.7,48.6599101629999
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.7,53.351728256273
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.7,56.8404176744324
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.75,46.3386701872199
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.75,47.1076807982095
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.75,55.0399110503558
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.75,61.9866366997323
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.75,67.0784402564605
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.8,51.575057530707
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.8,52.3502140496344
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.8,63.5755565242775
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.8,73.2295195321817
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.8,80.6176597159915
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.85,58.1618156940345
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.85,59.21277630774
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.85,75.4330739117665
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.85,88.7189988381551
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.85,100.212605172809
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.9,67.8548981987357
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.9,68.8061212640974
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.9,93.2370184177717
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.9,114.824768984743
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.9,134.209978477411
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.95,84.291108224506
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.95,85.8723748423903
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.95,128.315217979801
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.95,169.695763816106
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.95,206.829451791241
